fare_id,route_id,origin_id,destination_id,contains_id
9000020442089_130_00,8005023,8288 9,8290 9,
9000020442089_130_00,8005023,8288 9,8291 9,
9000020442089_130_00,8005023,8288 9,8289 9,
9000020442089_130_00,8005023,8274 9,8275 9,
9000020442089_130_00,8005023,8274 9,8276 9,
9000020442089_130_00,8005023,8284 9,8287 9,
9000020442089_130_00,8005023,8284 9,8285 9,
9000020442089_130_00,8005023,8284 9,8286 9,
9000020442089_130_00,8005023,8302 9,8271 9,
9000020442089_130_00,8005023,8302 9,8304 9,
9000020442089_130_00,8005023,8302 9,8303 2,
9000020442089_130_00,8005023,8287 9,8288 9,
9000020442089_130_00,8005023,8287 9,8290 9,
9000020442089_130_00,8005023,8287 9,8291 9,
9000020442089_130_00,8005023,8287 9,8289 9,
9000020442089_130_00,8005023,8271 9,8272 9,
9000020442089_130_00,8005023,8275 9,8276 9,
9000020442089_130_00,8005023,8304 9,8271 9,
9000020442089_130_00,8005023,8279 9,8280 9,
9000020442089_130_00,8005023,8283 9,8284 9,
9000020442089_130_00,8005023,8283 9,8285 9,
9000020442089_130_00,8005023,8283 9,8286 9,
9000020442089_130_00,8005023,8278 9,8279 9,
9000020442089_130_00,8005023,8280 9,8284 9,
9000020442089_130_00,8005023,8280 9,8283 9,
9000020442089_130_00,8005023,8280 9,8281 9,
9000020442089_130_00,8005023,8280 9,8282 9,
9000020442089_130_00,8005023,8281 9,8284 9,
9000020442089_130_00,8005023,8281 9,8283 9,
9000020442089_130_00,8005023,8281 9,8282 9,
9000020442089_130_00,8005023,8276 9,8279 9,
9000020442089_130_00,8005023,8276 9,8278 9,
9000020442089_130_00,8005023,8276 9,8277 9,
9000020442089_130_00,8005023,8291 9,8290 9,
9000020442089_130_00,8005023,8301 9,8302 9,
9000020442089_130_00,8005023,8301 9,8271 9,
9000020442089_130_00,8005023,8301 9,8304 9,
9000020442089_130_00,8005023,8301 9,8303 2,
9000020442089_130_00,8005023,8282 9,8284 9,
9000020442089_130_00,8005023,8282 9,8283 9,
9000020442089_130_00,8005023,8282 9,8285 9,
9000020442089_130_00,8005023,8282 9,8286 9,
9000020442089_130_00,8005023,8285 9,8288 9,
9000020442089_130_00,8005023,8285 9,8287 9,
9000020442089_130_00,8005023,8285 9,8286 9,
9000020442089_130_00,8005023,8272 9,8273 9,
9000020442089_130_00,8005023,8273 9,8274 9,
9000020442089_130_00,8005023,8277 9,8279 9,
9000020442089_130_00,8005023,8277 9,8278 9,
9000020442089_130_00,8005023,8286 9,8288 9,
9000020442089_130_00,8005023,8286 9,8287 9,
9000020442089_130_00,8005023,8303 2,8271 9,
9000020442089_130_00,8005023,8303 2,8304 9,
9000020442089_130_00,8005023,8289 9,8290 9,
9000020442089_130_00,8005023,8289 9,8291 9,
9000020442089_130_00,8044034,8486 9,8485 9,
9000020442089_130_00,8044034,8474 9,8471 9,
9000020442089_130_00,8044034,8474 9,8042 2,
9000020442089_130_00,8044034,8474 9,8473 9,
9000020442089_130_00,8044034,8474 9,8472 1,
9000020442089_130_00,8044034,8482 9,8481 9,
9000020442089_130_00,8044034,8302 9,8303 2,
9000020442089_130_00,8044034,8478 9,8477 9,
9000020442089_130_00,8044034,8491 9,8490 9,
9000020442089_130_00,8044034,8480 9,8479 9,
9000020442089_130_00,8044034,8490 9,8488 9,
9000020442089_130_00,8044034,8471 9,8042 2,
9000020442089_130_00,8044034,8487 9,8486 9,
9000020442089_130_00,8044034,8487 9,8485 9,
9000020442089_130_00,8044034,8479 9,8478 9,
9000020442089_130_00,8044034,8479 9,8477 9,
9000020442089_130_00,8044034,8477 9,8474 9,
9000020442089_130_00,8044034,8477 9,8475 9,
9000020442089_130_00,8044034,8477 9,8476 9,
9000020442089_130_00,8044034,8477 9,8473 9,
9000020442089_130_00,8044034,8481 9,8480 9,
9000020442089_130_00,8044034,8481 9,8479 9,
9000020442089_130_00,8044034,8475 9,8474 9,
9000020442089_130_00,8044034,8475 9,8473 9,
9000020442089_130_00,8044034,8476 9,8474 9,
9000020442089_130_00,8044034,8476 9,8475 9,
9000020442089_130_00,8044034,8476 9,8473 9,
9000020442089_130_00,8044034,8458 9,8491 9,
9000020442089_130_00,8044034,8458 9,8490 9,
9000020442089_130_00,8044034,8484 9,8482 9,
9000020442089_130_00,8044034,8484 9,8481 9,
9000020442089_130_00,8044034,8484 9,8483 9,
9000020442089_130_00,8044034,8473 9,8471 9,
9000020442089_130_00,8044034,8473 9,8042 2,
9000020442089_130_00,8044034,8473 9,8472 1,
9000020442089_130_00,8044034,8472 1,8471 9,
9000020442089_130_00,8044034,8472 1,8042 2,
9000020442089_130_00,8044034,8483 9,8482 9,
9000020442089_130_00,8044034,8483 9,8481 9,
9000020442089_130_00,8044034,8301 9,8302 9,
9000020442089_130_00,8044034,8301 9,8303 2,
9000020442089_130_00,8044034,8488 9,8487 9,
9000020442089_130_00,8044033,8486 9,8487 9,
9000020442089_130_00,8044033,8303 1,8302 9,
9000020442089_130_00,8044033,8303 1,8301 9,
9000020442089_130_00,8044033,8474 9,8477 9,
9000020442089_130_00,8044033,8474 9,8475 9,
9000020442089_130_00,8044033,8474 9,8476 9,
9000020442089_130_00,8044033,8482 9,8484 9,
9000020442089_130_00,8044033,8482 9,8483 9,
9000020442089_130_00,8044033,8302 9,8301 9,
9000020442089_130_00,8044033,8478 9,8479 9,
9000020442089_130_00,8044033,8491 9,8458 9,
9000020442089_130_00,8044033,8480 9,8481 9,
9000020442089_130_00,8044033,8490 9,8491 9,
9000020442089_130_00,8044033,8490 9,8458 9,
9000020442089_130_00,8044033,8471 9,8474 9,
9000020442089_130_00,8044033,8471 9,8473 9,
9000020442089_130_00,8044033,8471 9,8472 2,
9000020442089_130_00,8044033,8487 9,8488 9,
9000020442089_130_00,8044033,8479 9,8480 9,
9000020442089_130_00,8044033,8479 9,8481 9,
9000020442089_130_00,8044033,8477 9,8478 9,
9000020442089_130_00,8044033,8477 9,8479 9,
9000020442089_130_00,8044033,8481 9,8482 9,
9000020442089_130_00,8044033,8481 9,8484 9,
9000020442089_130_00,8044033,8481 9,8483 9,
9000020442089_130_00,8044033,8042 2,8474 9,
9000020442089_130_00,8044033,8042 2,8471 9,
9000020442089_130_00,8044033,8042 2,8473 9,
9000020442089_130_00,8044033,8042 2,8472 2,
9000020442089_130_00,8044033,8475 9,8477 9,
9000020442089_130_00,8044033,8475 9,8476 9,
9000020442089_130_00,8044033,8485 9,8486 9,
9000020442089_130_00,8044033,8485 9,8487 9,
9000020442089_130_00,8044033,8476 9,8477 9,
9000020442089_130_00,8044033,8473 9,8474 9,
9000020442089_130_00,8044033,8473 9,8477 9,
9000020442089_130_00,8044033,8473 9,8475 9,
9000020442089_130_00,8044033,8473 9,8476 9,
9000020442089_130_00,8044033,8483 9,8484 9,
9000020442089_130_00,8044033,8472 2,8474 9,
9000020442089_130_00,8044033,8472 2,8473 9,
9000020442089_130_00,8044033,8488 9,8490 9,
9000020442089_130_00,8006014,8303 1,8302 9,
9000020442089_130_00,8006014,8303 1,8301 9,
9000020442089_130_00,8006014,8284 9,8262 9,
9000020442089_130_00,8006014,8284 9,8283 9,
9000020442089_130_00,8006014,8284 9,8282 9,
9000020442089_130_00,8006014,8246 9,8245 9,
9000020442089_130_00,8006014,8302 9,8301 9,
9000020442089_130_00,8006014,8262 9,8260 9,
9000020442089_130_00,8006014,8262 9,8261 9,
9000020442089_130_00,8006014,8262 9,8259 9,
9000020442089_130_00,8006014,8251 9,8249 9,
9000020442089_130_00,8006014,8251 9,8250 9,
9000020442089_130_00,8006014,8241 9,8303 1,
9000020442089_130_00,8006014,8241 9,8302 9,
9000020442089_130_00,8006014,8241 9,8171 9,
9000020442089_130_00,8006014,8241 9,8172 9,
9000020442089_130_00,8006014,8241 9,8301 9,
9000020442089_130_00,8006014,8260 9,8258 9,
9000020442089_130_00,8006014,8260 9,8257 9,
9000020442089_130_00,8006014,8260 9,8259 9,
9000020442089_130_00,8006014,8249 9,8247 9,
9000020442089_130_00,8006014,8249 9,8248 9,
9000020442089_130_00,8006014,8242 9,8303 1,
9000020442089_130_00,8006014,8242 9,8302 9,
9000020442089_130_00,8006014,8242 9,8241 9,
9000020442089_130_00,8006014,8242 9,8171 9,
9000020442089_130_00,8006014,8242 9,8172 9,
9000020442089_130_00,8006014,8243 9,8241 9,
9000020442089_130_00,8006014,8243 9,8242 9,
9000020442089_130_00,8006014,8243 9,8172 9,
9000020442089_130_00,8006014,8258 9,8256 9,
9000020442089_130_00,8006014,8258 9,8254 9,
9000020442089_130_00,8006014,8258 9,8257 9,
9000020442089_130_00,8006014,8258 9,8255 9,
9000020442089_130_00,8006014,8256 9,8254 9,
9000020442089_130_00,8006014,8256 9,8255 9,
9000020442089_130_00,8006014,8171 9,8303 1,
9000020442089_130_00,8006014,8171 9,8302 9,
9000020442089_130_00,8006014,8171 9,8301 9,
9000020442089_130_00,8006014,8283 9,8262 9,
9000020442089_130_00,8006014,8283 9,8282 9,
9000020442089_130_00,8006014,8247 9,8246 9,
9000020442089_130_00,8006014,8247 9,8245 9,
9000020442089_130_00,8006014,8261 9,8260 9,
9000020442089_130_00,8006014,8261 9,8258 9,
9000020442089_130_00,8006014,8261 9,8257 9,
9000020442089_130_00,8006014,8261 9,8259 9,
9000020442089_130_00,8006014,8250 9,8249 9,
9000020442089_130_00,8006014,8245 9,8243 9,
9000020442089_130_00,8006014,8245 9,8244 9,
9000020442089_130_00,8006014,8257 9,8256 9,
9000020442089_130_00,8006014,8257 9,8254 9,
9000020442089_130_00,8006014,8257 9,8255 9,
9000020442089_130_00,8006014,8172 9,8303 1,
9000020442089_130_00,8006014,8172 9,8302 9,
9000020442089_130_00,8006014,8172 9,8171 9,
9000020442089_130_00,8006014,8172 9,8301 9,
9000020442089_130_00,8006014,8259 9,8258 9,
9000020442089_130_00,8006014,8259 9,8256 9,
9000020442089_130_00,8006014,8259 9,8257 9,
9000020442089_130_00,8006014,8259 9,8255 9,
9000020442089_130_00,8006014,8244 9,8242 9,
9000020442089_130_00,8006014,8244 9,8243 9,
9000020442089_130_00,8006014,8255 9,8254 9,
9000020442089_130_00,8006014,8248 9,8247 9,
9000020442089_130_00,8006014,8282 9,8262 9,
9000020442089_130_00,8019014,8474 9,8471 9,
9000020442089_130_00,8019014,8474 9,8042 2,
9000020442089_130_00,8019014,8474 9,8473 9,
9000020442089_130_00,8019014,8474 9,8472 1,
9000020442089_130_00,8019014,8503 9,8502 9,
9000020442089_130_00,8019014,8505 9,8503 9,
9000020442089_130_00,8019014,8505 9,8502 9,
9000020442089_130_00,8019014,8505 9,8504 9,
9000020442089_130_00,8019014,8502 9,8501 9,
9000020442089_130_00,8019014,8502 9,8477 9,
9000020442089_130_00,8019014,8507 9,8505 9,
9000020442089_130_00,8019014,8507 9,8506 9,
9000020442089_130_00,8019014,8471 9,8042 2,
9000020442089_130_00,8019014,8501 9,8477 9,
9000020442089_130_00,8019014,8477 9,8474 9,
9000020442089_130_00,8019014,8477 9,8475 9,
9000020442089_130_00,8019014,8477 9,8476 9,
9000020442089_130_00,8019014,8477 9,8473 9,
9000020442089_130_00,8019014,8475 9,8474 9,
9000020442089_130_00,8019014,8475 9,8473 9,
9000020442089_130_00,8019014,8506 9,8503 9,
9000020442089_130_00,8019014,8506 9,8505 9,
9000020442089_130_00,8019014,8506 9,8502 9,
9000020442089_130_00,8019014,8506 9,8504 9,
9000020442089_130_00,8019014,8504 9,8503 9,
9000020442089_130_00,8019014,8504 9,8502 9,
9000020442089_130_00,8019014,8476 9,8474 9,
9000020442089_130_00,8019014,8476 9,8475 9,
9000020442089_130_00,8019014,8476 9,8473 9,
9000020442089_130_00,8019014,8508 9,8505 9,
9000020442089_130_00,8019014,8508 9,8507 9,
9000020442089_130_00,8019014,8508 9,8506 9,
9000020442089_130_00,8019014,8473 9,8471 9,
9000020442089_130_00,8019014,8473 9,8042 2,
9000020442089_130_00,8019014,8473 9,8472 1,
9000020442089_130_00,8019014,8472 1,8471 9,
9000020442089_130_00,8019014,8472 1,8042 2,
9000020442089_130_00,8005014,8288 9,8287 9,
9000020442089_130_00,8005014,8288 9,8285 9,
9000020442089_130_00,8005014,8288 9,8286 9,
9000020442089_130_00,8005014,8303 1,8302 9,
9000020442089_130_00,8005014,8303 1,8301 9,
9000020442089_130_00,8005014,8274 9,8273 9,
9000020442089_130_00,8005014,8284 9,8283 9,
9000020442089_130_00,8005014,8284 9,8280 9,
9000020442089_130_00,8005014,8284 9,8281 9,
9000020442089_130_00,8005014,8284 9,8282 9,
9000020442089_130_00,8005014,8302 9,8301 9,
9000020442089_130_00,8005014,8287 9,8284 9,
9000020442089_130_00,8005014,8287 9,8285 9,
9000020442089_130_00,8005014,8287 9,8286 9,
9000020442089_130_00,8005014,8271 9,8303 1,
9000020442089_130_00,8005014,8271 9,8302 9,
9000020442089_130_00,8005014,8271 9,8304 9,
9000020442089_130_00,8005014,8271 9,8301 9,
9000020442089_130_00,8005014,8275 9,8274 9,
9000020442089_130_00,8005014,8304 9,8303 1,
9000020442089_130_00,8005014,8304 9,8302 9,
9000020442089_130_00,8005014,8304 9,8301 9,
9000020442089_130_00,8005014,8279 9,8278 9,
9000020442089_130_00,8005014,8279 9,8276 9,
9000020442089_130_00,8005014,8279 9,8277 9,
9000020442089_130_00,8005014,8283 9,8280 9,
9000020442089_130_00,8005014,8283 9,8281 9,
9000020442089_130_00,8005014,8283 9,8282 9,
9000020442089_130_00,8005014,8290 9,8288 9,
9000020442089_130_00,8005014,8290 9,8287 9,
9000020442089_130_00,8005014,8290 9,8291 9,
9000020442089_130_00,8005014,8290 9,8289 9,
9000020442089_130_00,8005014,8278 9,8276 9,
9000020442089_130_00,8005014,8278 9,8277 9,
9000020442089_130_00,8005014,8280 9,8279 9,
9000020442089_130_00,8005014,8281 9,8280 9,
9000020442089_130_00,8005014,8276 9,8274 9,
9000020442089_130_00,8005014,8276 9,8275 9,
9000020442089_130_00,8005014,8291 9,8288 9,
9000020442089_130_00,8005014,8291 9,8287 9,
9000020442089_130_00,8005014,8291 9,8289 9,
9000020442089_130_00,8005014,8282 9,8280 9,
9000020442089_130_00,8005014,8282 9,8281 9,
9000020442089_130_00,8005014,8285 9,8284 9,
9000020442089_130_00,8005014,8285 9,8283 9,
9000020442089_130_00,8005014,8285 9,8282 9,
9000020442089_130_00,8005014,8272 9,8271 9,
9000020442089_130_00,8005014,8273 9,8272 9,
9000020442089_130_00,8005014,8277 9,8276 9,
9000020442089_130_00,8005014,8286 9,8284 9,
9000020442089_130_00,8005014,8286 9,8283 9,
9000020442089_130_00,8005014,8286 9,8282 9,
9000020442089_130_00,8005014,8286 9,8285 9,
9000020442089_130_00,8005014,8289 9,8288 9,
9000020442089_130_00,8005014,8289 9,8287 9,
9000020442089_130_00,8010013,8302 9,8305 9,
9000020442089_130_00,8010013,8302 9,8306 9,
9000020442089_130_00,8010013,8302 9,8304 9,
9000020442089_130_00,8010013,8302 9,8307 2,
9000020442089_130_00,8010013,8302 9,8303 2,
9000020442089_130_00,8010013,8305 9,8306 9,
9000020442089_130_00,8010013,8305 9,8307 2,
9000020442089_130_00,8010013,8306 9,8307 2,
9000020442089_130_00,8010013,8306 9,8331 9,
9000020442089_130_00,8010013,8306 9,8332 9,
9000020442089_130_00,8010013,8304 9,8305 9,
9000020442089_130_00,8010013,8304 9,8306 9,
9000020442089_130_00,8010013,8304 9,8307 2,
9000020442089_130_00,8010013,8307 2,8331 9,
9000020442089_130_00,8010013,8307 2,8332 9,
9000020442089_130_00,8010013,8333 9,8334 9,
9000020442089_130_00,8010013,8331 9,8332 9,
9000020442089_130_00,8010013,8332 9,8334 9,
9000020442089_130_00,8010013,8332 9,8333 9,
9000020442089_130_00,8010013,8301 9,8302 9,
9000020442089_130_00,8010013,8301 9,8304 9,
9000020442089_130_00,8010013,8301 9,8303 2,
9000020442089_130_00,8010013,8303 2,8305 9,
9000020442089_130_00,8010013,8303 2,8306 9,
9000020442089_130_00,8010013,8303 2,8304 9,
9000020442089_130_00,8010013,8303 2,8307 2,
9000020442089_130_00,8008011,8288 9,8290 9,
9000020442089_130_00,8008011,8288 9,8291 9,
9000020442089_130_00,8008011,8288 9,8289 9,
9000020442089_130_00,8008011,8284 9,8287 9,
9000020442089_130_00,8008011,8284 9,8285 9,
9000020442089_130_00,8008011,8284 9,8286 9,
9000020442089_130_00,8008011,8262 9,8284 9,
9000020442089_130_00,8008011,8262 9,8283 9,
9000020442089_130_00,8008011,8262 9,8282 9,
9000020442089_130_00,8008011,8287 9,8288 9,
9000020442089_130_00,8008011,8287 9,8290 9,
9000020442089_130_00,8008011,8287 9,8291 9,
9000020442089_130_00,8008011,8287 9,8289 9,
9000020442089_130_00,8008011,8260 9,8262 9,
9000020442089_130_00,8008011,8260 9,8261 9,
9000020442089_130_00,8008011,8258 9,8260 9,
9000020442089_130_00,8008011,8258 9,8261 9,
9000020442089_130_00,8008011,8258 9,8259 9,
9000020442089_130_00,8008011,8283 9,8284 9,
9000020442089_130_00,8008011,8283 9,8285 9,
9000020442089_130_00,8008011,8283 9,8286 9,
9000020442089_130_00,8008011,8261 9,8262 9,
9000020442089_130_00,8008011,8257 9,8260 9,
9000020442089_130_00,8008011,8257 9,8258 9,
9000020442089_130_00,8008011,8257 9,8261 9,
9000020442089_130_00,8008011,8257 9,8259 9,
9000020442089_130_00,8008011,8291 9,8290 9,
9000020442089_130_00,8008011,8259 9,8262 9,
9000020442089_130_00,8008011,8259 9,8260 9,
9000020442089_130_00,8008011,8259 9,8261 9,
9000020442089_130_00,8008011,8282 9,8284 9,
9000020442089_130_00,8008011,8282 9,8283 9,
9000020442089_130_00,8008011,8282 9,8285 9,
9000020442089_130_00,8008011,8282 9,8286 9,
9000020442089_130_00,8008011,8285 9,8288 9,
9000020442089_130_00,8008011,8285 9,8287 9,
9000020442089_130_00,8008011,8285 9,8286 9,
9000020442089_130_00,8008011,8286 9,8288 9,
9000020442089_130_00,8008011,8286 9,8287 9,
9000020442089_130_00,8008011,8289 9,8290 9,
9000020442089_130_00,8008011,8289 9,8291 9,
9000020442089_130_00,8006013,8246 9,8247 9,
9000020442089_130_00,8006013,8302 9,8241 9,
9000020442089_130_00,8006013,8302 9,8242 9,
9000020442089_130_00,8006013,8302 9,8171 9,
9000020442089_130_00,8006013,8302 9,8172 9,
9000020442089_130_00,8006013,8302 9,8303 2,
9000020442089_130_00,8006013,8262 9,8284 9,
9000020442089_130_00,8006013,8262 9,8283 9,
9000020442089_130_00,8006013,8262 9,8282 9,
9000020442089_130_00,8006013,8241 9,8242 9,
9000020442089_130_00,8006013,8241 9,8243 9,
9000020442089_130_00,8006013,8260 9,8262 9,
9000020442089_130_00,8006013,8260 9,8261 9,
9000020442089_130_00,8006013,8249 9,8251 9,
9000020442089_130_00,8006013,8249 9,8250 9,
9000020442089_130_00,8006013,8242 9,8243 9,
9000020442089_130_00,8006013,8242 9,8244 9,
9000020442089_130_00,8006013,8243 9,8245 9,
9000020442089_130_00,8006013,8243 9,8244 9,
9000020442089_130_00,8006013,8258 9,8260 9,
9000020442089_130_00,8006013,8258 9,8261 9,
9000020442089_130_00,8006013,8258 9,8259 9,
9000020442089_130_00,8006013,8256 9,8258 9,
9000020442089_130_00,8006013,8256 9,8257 9,
9000020442089_130_00,8006013,8256 9,8259 9,
9000020442089_130_00,8006013,8171 9,8241 9,
9000020442089_130_00,8006013,8171 9,8242 9,
9000020442089_130_00,8006013,8171 9,8172 9,
9000020442089_130_00,8006013,8283 9,8284 9,
9000020442089_130_00,8006013,8247 9,8249 9,
9000020442089_130_00,8006013,8247 9,8248 9,
9000020442089_130_00,8006013,8254 9,8258 9,
9000020442089_130_00,8006013,8254 9,8256 9,
9000020442089_130_00,8006013,8254 9,8257 9,
9000020442089_130_00,8006013,8254 9,8255 9,
9000020442089_130_00,8006013,8261 9,8262 9,
9000020442089_130_00,8006013,8250 9,8251 9,
9000020442089_130_00,8006013,8245 9,8246 9,
9000020442089_130_00,8006013,8245 9,8247 9,
9000020442089_130_00,8006013,8257 9,8260 9,
9000020442089_130_00,8006013,8257 9,8258 9,
9000020442089_130_00,8006013,8257 9,8261 9,
9000020442089_130_00,8006013,8257 9,8259 9,
9000020442089_130_00,8006013,8172 9,8241 9,
9000020442089_130_00,8006013,8172 9,8242 9,
9000020442089_130_00,8006013,8172 9,8243 9,
9000020442089_130_00,8006013,8259 9,8262 9,
9000020442089_130_00,8006013,8259 9,8260 9,
9000020442089_130_00,8006013,8259 9,8261 9,
9000020442089_130_00,8006013,8244 9,8245 9,
9000020442089_130_00,8006013,8301 9,8302 9,
9000020442089_130_00,8006013,8301 9,8241 9,
9000020442089_130_00,8006013,8301 9,8171 9,
9000020442089_130_00,8006013,8301 9,8172 9,
9000020442089_130_00,8006013,8301 9,8303 2,
9000020442089_130_00,8006013,8255 9,8258 9,
9000020442089_130_00,8006013,8255 9,8256 9,
9000020442089_130_00,8006013,8255 9,8257 9,
9000020442089_130_00,8006013,8255 9,8259 9,
9000020442089_130_00,8006013,8248 9,8249 9,
9000020442089_130_00,8006013,8282 9,8284 9,
9000020442089_130_00,8006013,8282 9,8283 9,
9000020442089_130_00,8006013,8303 2,8241 9,
9000020442089_130_00,8006013,8303 2,8242 9,
9000020442089_130_00,8006013,8303 2,8171 9,
9000020442089_130_00,8006013,8303 2,8172 9,
9000020442089_130_00,8011014,8344 9,8343 9,
9000020442089_130_00,8011014,8364 9,8362 9,
9000020442089_130_00,8011014,8364 9,8363 9,
9000020442089_130_00,8011014,8345 9,8344 9,
9000020442089_130_00,8011014,8345 9,8343 9,
9000020442089_130_00,8011014,8367 9,8365 9,
9000020442089_130_00,8011014,8367 9,8366 9,
9000020442089_130_00,8011014,8370 9,8369 9,
9000020442089_130_00,8011014,8361 9,8360 9,
9000020442089_130_00,8011014,8361 9,8349 9,
9000020442089_130_00,8011014,8365 9,8364 9,
9000020442089_130_00,8011014,8365 9,8362 9,
9000020442089_130_00,8011014,8365 9,8363 9,
9000020442089_130_00,8011014,8362 9,8361 9,
9000020442089_130_00,8011014,8362 9,8360 9,
9000020442089_130_00,8011014,8362 9,8349 9,
9000020442089_130_00,8011014,8360 9,8349 9,
9000020442089_130_00,8011014,8349 9,8347 9,
9000020442089_130_00,8011014,8349 9,8348 9,
9000020442089_130_00,8011014,8346 9,8344 9,
9000020442089_130_00,8011014,8346 9,8345 9,
9000020442089_130_00,8011014,8346 9,8343 9,
9000020442089_130_00,8011014,8343 9,8341 9,
9000020442089_130_00,8011014,8343 9,8342 9,
9000020442089_130_00,8011014,8347 9,8346 9,
9000020442089_130_00,8011014,8371 9,8370 9,
9000020442089_130_00,8011014,8371 9,8369 9,
9000020442089_130_00,8011014,8368 9,8367 9,
9000020442089_130_00,8011014,8383 9,8382 9,
9000020442089_130_00,8011014,8363 9,8361 9,
9000020442089_130_00,8011014,8363 9,8362 9,
9000020442089_130_00,8011014,8363 9,8360 9,
9000020442089_130_00,8011014,8363 9,8349 9,
9000020442089_130_00,8011014,8366 9,8365 9,
9000020442089_130_00,8011014,8341 9,8383 9,
9000020442089_130_00,8011014,8341 9,8382 9,
9000020442089_130_00,8011014,8342 9,8383 9,
9000020442089_130_00,8011014,8342 9,8382 9,
9000020442089_130_00,8011014,8342 9,8341 9,
9000020442089_130_00,8011014,8369 9,8368 9,
9000020442089_130_00,8011014,8348 9,8347 9,
9000020442089_130_00,8005033,8274 9,8275 9,
