route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8005023,9000020442089,,馬背野線,,3,,BF1920,FFFFFF
8044034,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8044033,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8006014,9000020442089,,岩本線,,3,,DC9736,000000
8019014,9000020442089,,雉が平線,,3,,84B0CE,000000
8005014,9000020442089,,馬背野線,,3,,BF1920,FFFFFF
8010013,9000020442089,,渡瀬線,,3,,968CAC,000000
8051033,9000020442089,,向之原線,,3,,DE9586,000000
8008011,9000020442089,,岩本線,,3,,DC9736,000000
8051032,9000020442089,,向之原線,,3,,DE9586,000000
8006013,9000020442089,,岩本線,,3,,DC9736,000000
8011014,9000020442089,,久保線,,3,,2B7E3A,FFFFFF
8005033,9000020442089,,馬背野線,,3,,BF1920,FFFFFF
8005034,9000020442089,,馬背野線,,3,,BF1920,FFFFFF
8006021,9000020442089,,岩本線,,3,,DC9736,000000
8010014,9000020442089,,渡瀬線,,3,,968CAC,000000
8012014,9000020442089,,刈小野線,,3,,A0B619,000000
8035022,9000020442089,,馬背野線,,3,,BF1920,FFFFFF
8019013,9000020442089,,雉が平線,,3,,84B0CE,000000
8006033,9000020442089,,岩本線,,3,,DC9736,000000
8044073,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8044054,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8011013,9000020442089,,久保線,,3,,2B7E3A,FFFFFF
8012013,9000020442089,,刈小野線,,3,,A0B619,000000
8044083,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8044053,9000020442089,,高伏～直入線,,3,,457DBF,FFFFFF
8006022,9000020442089,,岩本線,,3,,DC9736,000000
