stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2028 1,,向之原駅,,33.1968834,131.5140097,2028 1,,0,,,,
2028 2,,向之原駅,,33.1968832,131.5139755,2028 2,,0,,,,
8040 1,,竹田市役所,,32.9733082,131.3972036,8040 1,,0,,,,
8041 1,,竹田温泉花水月,,32.9713008,131.391773,8041 1,,0,,,,
8041 2,,竹田温泉花水月,,32.971379,131.3917502,8041 2,,0,,,,
8042 2,,竹田駅前,,32.9709279,131.3902521,8042 2,,0,,,,
8043 1,,古町,,32.969214,131.39099,8043 1,,0,,,,
8043 2,,古町,,32.9690993,131.3909906,8043 2,,0,,,,
8044 1,,竹田本町,,32.9674633,131.3927056,8044 1,,0,,,,
8044 2,,竹田本町,,32.9674495,131.3927807,8044 2,,0,,,,
8045 1,,山川,,32.965818,131.3919451,8045 1,,0,,,,
8045 2,,山川,,32.9657331,131.3919947,8045 2,,0,,,,
8046 1,,山手,,32.9645019,131.3874809,8046 1,,0,,,,
8046 2,,山手,,32.964462,131.3875633,8046 2,,0,,,,
8047 1,,鳥越,,32.9624084,131.3853943,8047 1,,0,,,,
8047 2,,鳥越,,32.9623797,131.3854862,8047 2,,0,,,,
8048 1,,竹田営業所,,32.959808,131.382355,8048 1,,0,,,,
8048 2,,竹田営業所,,32.959808,131.382355,8048 2,,0,,,,
8050 9,,グランツたけた,,32.9598572,131.3840332,8050 9,,0,,,,
8171 9,,東中,,32.9501434,131.3758082,8171 9,,0,,,,
8172 9,,玉来駅前,,32.9482875,131.3758855,8172 9,,0,,,,
8241 9,,八幡社前,,32.9464241,131.3758663,8241 9,,0,,,,
8242 9,,上村,,32.9431785,131.3735252,8242 9,,0,,,,
8243 9,,猿口,,32.9379619,131.3686384,8243 9,,0,,,,
8244 9,,小岩本,,32.9352638,131.3618474,8244 9,,0,,,,
8245 9,,岩本,,32.9302769,131.3594207,8245 9,,0,,,,
8246 9,,中畑,,32.9274249,131.3540631,8246 9,,0,,,,
8247 9,,河原立,,32.9244588,131.3495452,8247 9,,0,,,,
8248 9,,高岩,,32.9250757,131.3452598,8248 9,,0,,,,
8249 9,,川床,,32.9209488,131.3436206,8249 9,,0,,,,
8250 9,,鴫田,,32.916767,131.333878,8250 9,,0,,,,
8251 9,,鴫田公民館前,,32.91502,131.332474,8251 9,,0,,,,
8252 9,,黒野入口,,32.912884,131.328491,8252 9,,0,,,,
8253 9,,舞次,,32.912241,131.3225856,8253 9,,0,,,,
8254 9,,西福寺,,32.9079188,131.3190256,8254 9,,0,,,,
8255 9,,向原,,32.9055631,131.3109863,8255 9,,0,,,,
8256 9,,うえ原,,32.9046337,131.3080632,8256 9,,0,,,,
8257 2,,宮平,,32.9035447,131.3036799,8257 2,,0,,,,
8257 9,,宮平,,32.9035357,131.3037,8257 9,,0,,,,
8258 9,,公民館前,,32.9053753,131.3027362,8258 9,,0,,,,
8259 9,,東福寺,,32.9067992,131.3061048,8259 9,,0,,,,
8260 9,,瓜作,,32.9115618,131.3043365,8260 9,,0,,,,
8261 9,,水口,,32.9118874,131.2985359,8261 9,,0,,,,
8262 9,,岩戸,,32.9172658,131.2977944,8262 9,,0,,,,
8271 9,,上新道,,32.9496894,131.3740715,8271 9,,0,,,,
8272 9,,小石原,,32.939377,131.364136,8272 9,,0,,,,
8273 9,,地蔵前,,32.9372908,131.3581033,8273 9,,0,,,,
8274 9,,馬背野,,32.9317635,131.3478638,8274 9,,0,,,,
8275 9,,高鼻公園前,,32.9309173,131.3426644,8275 9,,0,,,,
8276 9,,下津江,,32.9272252,131.3367103,8276 9,,0,,,,
