fare_id,route_id,origin_id,destination_id,contains_id
2000020442062_130_00,5104013,5285 9,5286 9,
2000020442062_130_00,5104013,5285 9,5287 9,
2000020442062_130_00,5104013,5267 9,5264 9,
2000020442062_130_00,5104013,5267 9,5265 9,
2000020442062_130_00,5104013,5267 9,5266 9,
2000020442062_130_00,5104013,5264 9,5263 1,
2000020442062_130_00,5104013,5282 9,5283 9,
2000020442062_130_00,5104013,5284 9,5285 9,
2000020442062_130_00,5104013,5294 9,5268 9,
2000020442062_130_00,5104013,5294 9,5295 9,
2000020442062_130_00,5104013,5265 9,5263 1,
2000020442062_130_00,5104013,5265 9,5264 9,
2000020442062_130_00,5104013,5291 9,5292 9,
2000020442062_130_00,5104013,5291 9,5293 9,
2000020442062_130_00,5104013,5283 9,5285 9,
2000020442062_130_00,5104013,5283 9,5284 9,
2000020442062_130_00,5104013,5290 9,5291 9,
2000020442062_130_00,5104013,5290 9,5292 9,
2000020442062_130_00,5104013,5268 9,5267 9,
2000020442062_130_00,5104013,5268 9,5264 9,
2000020442062_130_00,5104013,5268 9,5265 9,
2000020442062_130_00,5104013,5268 9,5266 9,
2000020442062_130_00,5104013,5292 9,5293 9,
2000020442062_130_00,5104013,5295 9,5267 9,
2000020442062_130_00,5104013,5295 9,5264 9,
2000020442062_130_00,5104013,5295 9,5265 9,
2000020442062_130_00,5104013,5295 9,5268 9,
2000020442062_130_00,5104013,5295 9,5266 9,
2000020442062_130_00,5104013,5266 9,5263 1,
2000020442062_130_00,5104013,5266 9,5264 9,
2000020442062_130_00,5104013,5266 9,5265 9,
2000020442062_130_00,5104013,5281 9,5282 9,
2000020442062_130_00,5104013,5281 9,5283 9,
2000020442062_130_00,5104013,5289 9,5291 9,
2000020442062_130_00,5104013,5289 9,5290 9,
2000020442062_130_00,5104013,5289 9,5292 9,
2000020442062_130_00,5104013,5288 9,5289 9,
2000020442062_130_00,5104013,5293 9,5294 9,
2000020442062_130_00,5104013,5293 9,5268 9,
2000020442062_130_00,5104013,5293 9,5295 9,
2000020442062_130_00,5104013,5286 9,5289 9,
2000020442062_130_00,5104013,5286 9,5288 9,
2000020442062_130_00,5104013,5286 9,5287 9,
2000020442062_130_00,5104013,5287 9,5289 9,
2000020442062_130_00,5104013,5287 9,5288 9,
2000020442062_130_00,5103013,5192 9,5193 9,
2000020442062_130_00,5103013,5192 9,5194 9,
2000020442062_130_00,5103013,5193 9,5194 9,
2000020442062_130_00,5103013,5188 9,5189 9,
2000020442062_130_00,5103013,5197 9,5198 2,
2000020442062_130_00,5103013,5185 9,5188 9,
2000020442062_130_00,5103013,5185 9,5187 9,
2000020442062_130_00,5103013,5185 9,5189 9,
2000020442062_130_00,5103013,5190 9,5191 9,
2000020442062_130_00,5103013,5194 9,5196 9,
2000020442062_130_00,5103013,5194 9,5195 9,
2000020442062_130_00,5103013,5196 9,5197 9,
2000020442062_130_00,5103013,5196 9,5198 2,
2000020442062_130_00,5103013,5187 9,5188 9,
2000020442062_130_00,5103013,5187 9,5189 9,
2000020442062_130_00,5103013,5125 2,5182 9,
2000020442062_130_00,5103013,5125 2,5183 9,
2000020442062_130_00,5103013,5125 2,5184 9,
2000020442062_130_00,5103013,5182 9,5183 9,
2000020442062_130_00,5103013,5182 9,5184 9,
2000020442062_130_00,5103013,5195 9,5196 9,
2000020442062_130_00,5103013,5191 9,5192 9,
2000020442062_130_00,5103013,5183 9,5185 9,
2000020442062_130_00,5103013,5183 9,5184 9,
2000020442062_130_00,5103013,5183 9,5186 9,
2000020442062_130_00,5103013,5184 9,5188 9,
2000020442062_130_00,5103013,5184 9,5185 9,
2000020442062_130_00,5103013,5184 9,5187 9,
2000020442062_130_00,5103013,5184 9,5186 9,
2000020442062_130_00,5103013,5186 9,5188 9,
2000020442062_130_00,5103013,5186 9,5185 9,
2000020442062_130_00,5103013,5186 9,5187 9,
2000020442062_130_00,5103013,5189 9,5190 9,
2000020442062_130_00,5103013,5189 9,5191 9,
2000020442062_130_00,5103014,5192 9,5191 9,
2000020442062_130_00,5103014,5193 9,5192 9,
2000020442062_130_00,5103014,5188 9,5185 9,
2000020442062_130_00,5103014,5188 9,5187 9,
2000020442062_130_00,5103014,5188 9,5184 9,
2000020442062_130_00,5103014,5188 9,5186 9,
