stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3008 1,,野津南,,33.0421572,131.6904962,3008 1,,0,,,,
3008 2,,野津南,,33.0424565,131.6904186,3008 2,,0,,,,
3009 1,,野津南保育園前,,33.0391946,131.6896624,3009 1,,0,,,,
3009 2,,野津南保育園前,,33.0391906,131.6897836,3009 2,,0,,,,
3010 1,,板屋,,33.0362719,131.6895008,3010 1,,0,,,,
3010 2,,板屋,,33.0363002,131.6893472,3010 2,,0,,,,
3011 1,,野口,,33.0318976,131.6906851,3011 1,,0,,,,
3011 2,,野口,,33.0316828,131.6908815,3011 2,,0,,,,
3012 1,,下落谷,,33.0206171,131.6975006,3012 1,,0,,,,
3012 2,,下落谷,,33.0205475,131.6974062,3012 2,,0,,,,
3013 1,,落谷,,33.017114,131.7010966,3013 1,,0,,,,
3013 2,,落谷,,33.0163158,131.7008031,3013 2,,0,,,,
3014 9,,野津黒土,,33.0107088,131.7036686,3014 9,,0,,,,
3015 1,,清水原,,33.0079814,131.7083054,3015 1,,0,,,,
3015 2,,清水原,,33.0075399,131.708286,3015 2,,0,,,,
5023 1,,深田,,33.09461373,131.7625244,5023 1,,0,,,,
5023 2,,深田,,33.09474707,131.7634743,5023 2,,0,,,,
5025 1,,望月,,33.09819681,131.7694903,5025 1,,0,,,,
5025 2,,望月,,33.0982378,131.7697536,5025 2,,0,,,,
5027 1,,粟手原,,33.10269633,131.7700067,5027 1,,0,,,,
5027 2,,粟手原,,33.102613,131.7702373,5027 2,,0,,,,
5028 1,,清太郎,,33.10681261,131.772723,5028 1,,0,,,,
5028 2,,清太郎,,33.1067397,131.7728362,5028 2,,0,,,,
5029 1,,白馬渓,,33.10876245,131.7758893,5029 1,,0,,,,
5029 2,,白馬渓,,33.108599,131.7759526,5029 2,,0,,,,
5030 1,,野田入口,,33.1100457,131.7795223,5030 1,,0,,,,
5030 2,,野田入口,,33.109862,131.7795696,5030 2,,0,,,,
5031 1,,手無地蔵,,33.1114151,131.7833074,5031 1,,0,,,,
5031 2,,手無地蔵,,33.11124565,131.7833886,5031 2,,0,,,,
5032 1,,温井入口,,33.112769,131.7871694,5032 1,,0,,,,
5032 2,,温井入口,,33.1127025,131.7872363,5032 2,,0,,,,
5033 1,,土橋,,33.1145894,131.7919974,5033 1,,0,,,,
5033 2,,土橋,,33.1141766,131.791308,5033 2,,0,,,,
5035 1,,平清水,,33.1173701,131.7950456,5035 1,,0,,,,
5035 2,,平清水,,33.1174546,131.795232,5035 2,,0,,,,
5036 1,,住吉橋,,33.1197972,131.7957766,5036 1,,0,,,,
5036 2,,住吉橋,,33.11949499,131.7957705,5036 2,,0,,,,
5037 1,,辻口,,33.12224477,131.8004866,5037 1,,0,,,,
5037 2,,辻口,,33.1220545,131.7995041,5037 2,,0,,,,
5039 1,,城北,,33.12292811,131.8045696,5039 1,,0,,,,
5039 2,,城北,,33.1225856,131.8033537,5039 2,,0,,,,
5041 1,,保健所前,,33.1244346,131.8051497,5041 1,,0,,,,
5041 2,,保健所前,,33.124525,131.8052187,5041 2,,0,,,,
5042 1,,臼杵市役所,,33.1254325,131.8054732,5042 1,,0,,,,
5042 2,,臼杵市役所,,33.1253382,131.8053907,5042 2,,0,,,,
5120 9,,臼津交通本社前,,33.1203256,131.7920153,5120 9,,0,,,,
5121 1,,市浜入口,,33.1176188,131.7920573,5121 1,,0,,,,
5121 2,,市浜入口,,33.117555,131.7920234,5121 2,,0,,,,
5122 1,,市浜,,33.1199064,131.7918145,5122 1,,0,,,,
5122 2,,市浜,,33.1197901,131.7916053,5122 2,,0,,,,
5123 1,,新地,,33.122135,131.793716,5123 1,,0,,,,
5123 2,,新地,,33.1221698,131.7936483,5123 2,,0,,,,
5124 1,,新地中通り,,33.1238807,131.7928085,5124 1,,0,,,,
5124 2,,新地中通り,,33.1238368,131.7927441,5124 2,,0,,,,
5125 1,,江無田,,33.1269012,131.7898536,5125 1,,0,,,,
5125 2,,江無田,,33.126872,131.789751,5125 2,,0,,,,
5126 1,,弥生,,33.1293344,131.7894983,5126 1,,0,,,,
5126 2,,弥生,,33.1293007,131.7894239,5126 2,,0,,,,
5127 1,,北中学校前,,33.1322545,131.7891537,5127 1,,0,,,,
5127 2,,北中学校前,,33.1320916,131.7890719,5127 2,,0,,,,
5128 1,,熊崎駅前,,33.1348809,131.7889386,5128 1,,0,,,,
5128 2,,熊崎駅前,,33.1357535,131.7886878,5128 2,,0,,,,
5129 1,,熊崎支所前,,33.1383659,131.7891309,5129 1,,0,,,,
5129 2,,熊崎支所前,,33.1391396,131.7891996,5129 2,,0,,,,
5130 1,,下北農協前,,33.1413295,131.789747,5130 1,,0,,,,
5130 2,,下北農協前,,33.1411752,131.7895888,5130 2,,0,,,,
5131 9,,下北小学校入口,,33.1437773,131.7907142,5131 9,,0,,,,
5132 9,,岩崎,,33.148884,131.795408,5132 9,,0,,,,
5133 9,,原,,33.151035,131.801468,5133 9,,0,,,,
5134 9,,大野,,33.1536329,131.8068101,5134 9,,0,,,,
5135 9,,井岡入口,,33.1554457,131.809706,5135 9,,0,,,,
5136 9,,下の江駅前,,33.1569495,131.811736,5136 9,,0,,,,
5137 9,,ふれあいセンター前,,33.157578,131.8132127,5137 9,,0,,,,
5138 9,,浜田,,33.1577976,131.8153472,5138 9,,0,,,,
5139 9,,汐浜,,33.1548001,131.8193157,5139 9,,0,,,,
5140 9,,下の江浦,,33.1565202,131.8212682,5140 9,,0,,,,
5141 9,,豊洋中学校前,,33.1655768,131.8229153,5141 9,,0,,,,
5142 1,,藤田,,33.1736483,131.8263348,5142 1,,0,,,,
5142 2,,藤田,,33.1736046,131.8262517,5142 2,,0,,,,
5143 1,,桑原,,33.177323,131.8277095,5143 1,,0,,,,
5143 2,,桑原,,33.1774285,131.8276612,5143 2,,0,,,,
5144 1,,尾本,,33.1792475,131.8301022,5144 1,,0,,,,
5144 2,,尾本,,33.1792003,131.8299171,5144 2,,0,,,,
5145 1,,黒島入口,,33.1814032,131.8330686,5145 1,,0,,,,
5145 2,,黒島入口,,33.1815362,131.8331068,5145 2,,0,,,,
5181 9,,江無田苑,,33.1285968,131.7872468,5181 9,,0,,,,
5182 9,,一の井手,,33.1294902,131.7848379,5182 9,,0,,,,
5183 9,,梅園,,33.1341972,131.7803047,5183 9,,0,,,,
5184 9,,一里松,,33.1369113,131.7746264,5184 9,,0,,,,
5185 9,,白川病院,,33.1369478,131.7690022,5185 9,,0,,,,
5186 9,,病院前,,33.138657,131.7699875,5186 9,,0,,,,
5187 9,,鍛治屋,,33.140537,131.762466,5187 9,,0,,,,
5188 9,,上北小学校前,,33.139584,131.759079,5188 9,,0,,,,
5189 9,,香堂入口,,33.1403923,131.7536228,5189 9,,0,,,,
5190 9,,通峠,,33.1438622,131.7460501,5190 9,,0,,,,
5191 9,,通,,33.1404636,131.7400282,5191 9,,0,,,,
5192 9,,松原,,33.1385581,131.7331889,5192 9,,0,,,,
5193 9,,地蔵前,,33.130848,131.726898,5193 9,,0,,,,
5194 9,,久木小野,,33.1285628,131.7288482,5194 9,,0,,,,
5195 9,,川野入口,,33.1236985,131.7290131,5195 9,,0,,,,
5196 9,,板川野,,33.120263,131.727438,5196 9,,0,,,,
5197 9,,井の上,,33.1164651,131.7270362,5197 9,,0,,,,
5198 2,,上松,,33.1143957,131.7260498,5198 2,,0,,,,
5199 9,,パークゴルフ場,,33.1323293,131.7258573,5199 9,,0,,,,
5201 1,,第一木保佐,,33.1284792,131.7816508,5201 1,,0,,,,
5201 2,,第一木保佐,,33.1278906,131.7815006,5201 2,,0,,,,
5203 9,,コスモス病院,,33.1238976,131.7793538,5203 9,,0,,,,
5204 1,,あすとぴあ,,33.123096,131.7805501,5204 1,,0,,,,
5204 2,,あすとぴあ,,33.123096,131.780762,5204 2,,0,,,,
5207 1,,バイパス市浜,,33.1142764,131.7861549,5207 1,,0,,,,
5207 2,,バイパス市浜,,33.114364,131.7861495,5207 2,,0,,,,
5208 9,,畳屋町駐車場前,,33.1192181,131.7967327,5208 9,,0,,,,
5210 9,,西海添,,33.116009,131.802979,5210 9,,0,,,,
5211 9,,南海添,,33.1148163,131.8042267,5211 9,,0,,,,
5212 9,,上塩田,,33.1133002,131.8000711,5212 9,,0,,,,
5213 9,,塩田公民館前,,33.1166295,131.7973348,5213 9,,0,,,,
5214 9,,田町,,33.1183771,131.7957007,5214 9,,0,,,,
5215 9,,中州住宅前,,33.115741,131.7902919,5215 9,,0,,,,
5216 9,,臼杵駅,,33.1186648,131.8072915,5216 9,,0,,,,
5217 9,,辻,,33.1201481,131.7998945,5217 9,,0,,,,
5218 1,,本丁,,33.1196064,131.8015051,5218 1,,0,,,,
5218 2,,本丁,,33.119111,131.8018384,5218 2,,0,,,,
5219 9,,野田商業通り,,33.1114797,131.7807408,5219 9,,0,,,,
5220 1,,江無田,,33.1268928,131.789869,5220 1,,0,,,,
5220 2,,江無田,,33.1268669,131.789755,5220 2,,0,,,,
5221 1,,新地中通,,33.1238784,131.7928098,5221 1,,0,,,,
5221 2,,新地中通,,33.1238358,131.7927434,5221 2,,0,,,,
5222 1,,下市浜,,33.1214771,131.7931735,5222 1,,0,,,,
5222 2,,下市浜,,33.1215444,131.7930809,5222 2,,0,,,,
5223 1,,城北,,33.1229037,131.8045608,5223 1,,0,,,,
5223 2,,城北,,33.1225937,131.8033847,5223 2,,0,,,,
5224 9,,中央公民館,,33.1232861,131.8068344,5224 9,,0,,,,
5225 1,,城南,,33.121355,131.8061658,5225 1,,0,,,,
5225 2,,城南,,33.1214528,131.806035,5225 2,,0,,,,
5226 9,,市浜入口,,33.1176247,131.7920489,5226 9,,0,,,,
5227 9,,臼杵市歴史資料館,,33.119473,131.793304,5227 9,,0,,,,
5228 9,,市浜コミュニティセンター,,33.1177634,131.7800049,5228 9,,0,,,,
5229 1,,サーラ・デ・うすき,,33.119694,131.798874,5229 1,,0,,,,
5230 2,,住吉橋,,33.1194886,131.7957164,5230 2,,0,,,,
5231 9,,北海添,,33.11786726,131.804354,5231 9,,0,,,,
5232 9,,サンリブ臼杵,,33.1255325,131.7909532,5232 9,,0,,,,
5263 1,,野津市,,33.0430415,131.6918927,5263 1,,0,,,,
5263 2,,野津市,,33.0430575,131.6918887,5263 2,,0,,,,
5263 9,,野津市,,33.0430513,131.6919001,5263 9,,0,,,,
