trans_id,lang,translation
野津第一内科,ja,野津第一内科
野津第一内科,zh-cn,野津第一内科
野津第一内科,zh-tw,野津第一內科
野津第一内科,ko,노즈 제일 내과
野津第一内科,ja-Hrkt,のつだいいちないか
野津第一内科,en,Notsudaiichinaika
上松,ja,上松
上松,zh-cn,上松
上松,zh-tw,上松
上松,ko,우에마츠
上松,ja-Hrkt,うえまつ
上松,en,Uematsu
板屋,ja,板屋
板屋,zh-cn,板屋
板屋,zh-tw,板屋
板屋,ko,이타야
板屋,ja-Hrkt,いたや
板屋,en,Itaya
土橋,ja,土橋
土橋,zh-cn,土桥
土橋,zh-tw,土橋
土橋,ko,도교
土橋,ja-Hrkt,つちばし
土橋,en,Tsuchibashi
梅園,ja,梅園
梅園,zh-cn,梅园
梅園,zh-tw,梅園
梅園,ko,매화원
梅園,ja-Hrkt,ばいえん
梅園,en,Baien
粟手原,ja,粟手原
粟手原,zh-cn,粟手原
粟手原,zh-tw,粟手原
粟手原,ko,아와테하라
粟手原,ja-Hrkt,あわてばる
粟手原,en,Awatebaru
観光交流プラザ,ja,観光交流プラザ
観光交流プラザ,zh-cn,旅游交流广场
観光交流プラザ,zh-tw,旅遊交流廣場
観光交流プラザ,ko,관광 교류 플라자
観光交流プラザ,ja-Hrkt,かんこうこうりゅうぷらざ
観光交流プラザ,en,Kanko Kouryu Plaza
戸屋平,ja,戸屋平
戸屋平,zh-cn,户屋平
戸屋平,zh-tw,戶屋平
戸屋平,ko,도야히라
戸屋平,ja-Hrkt,とやびら
戸屋平,en,Toyabira
あすとぴあ,ja,あすとぴあ
あすとぴあ,zh-cn,乌托邦
あすとぴあ,zh-tw,烏托邦
あすとぴあ,ko,아스토 피아
あすとぴあ,ja-Hrkt,あすとぴあ
あすとぴあ,en,Astopia
バイパス市浜,ja,バイパス市浜
バイパス市浜,zh-cn,绕道市滨
バイパス市浜,zh-tw,繞道市濱
バイパス市浜,ko,바이패스 이치하마
バイパス市浜,ja-Hrkt,ばいぱすいちはま
バイパス市浜,en,Bypass Ichihama
辻口,ja,辻口
辻口,zh-cn,辻口
辻口,zh-tw,辻口
辻口,ko,츠지구치
辻口,ja-Hrkt,つじくち
辻口,en,Tsujikuchi
下落谷,ja,下落谷
下落谷,zh-cn,下落谷
下落谷,zh-tw,下落谷
下落谷,ko,하락 계곡
下落谷,ja-Hrkt,しもおちだに
下落谷,en,Shimoochidani
市浜コミュニティセンター,ja,市浜コミュニティセンター
市浜コミュニティセンター,zh-cn,市滨社区中心
市浜コミュニティセンター,zh-tw,市濱社區中心
市浜コミュニティセンター,ko,이치하마 커뮤니티 센터
市浜コミュニティセンター,ja-Hrkt,いちはまこみゅにてぃせんたー
市浜コミュニティセンター,en,Ichihama Community Center
十文,ja,十文
十文,zh-cn,十文
十文,zh-tw,十紋
十文,ko,십문
十文,ja-Hrkt,じゅうもん
十文,en,Juumon
白岩,ja,白岩
白岩,zh-cn,白岩
白岩,zh-tw,白岩
白岩,ko,백암
白岩,ja-Hrkt,しらいわ
白岩,en,Shiraiwa
野津南,ja,野津南
野津南,zh-cn,野津南
野津南,zh-tw,野津南
野津南,ko,노즈미나미
野津南,ja-Hrkt,のつみなみ
野津南,en,Notsuminami
井の上,ja,井の上
井の上,zh-cn,井上
井の上,zh-tw,井上
井の上,ko,이노우에
井の上,ja-Hrkt,いのうえ
井の上,en,Inoue
笹枝,ja,笹枝
笹枝,zh-cn,竹枝
笹枝,zh-tw,竹枝
笹枝,ko,사사지
笹枝,ja-Hrkt,ささえだ
笹枝,en,Sasaeda
城北,ja,城北
城北,zh-cn,城北
城北,zh-tw,城北
城北,ko,성북
城北,ja-Hrkt,じょうほく
城北,en,Johoku
鼓石２,ja,鼓石２
鼓石２,zh-cn,鼓石 2
鼓石２,zh-tw,鼓石 2
鼓石２,ko,고석 2
鼓石２,ja-Hrkt,つつみいし
鼓石２,en,Tsutsumiishi
塚田,ja,塚田
塚田,zh-cn,冢田
塚田,zh-tw,塚田
塚田,ko,츠카다
塚田,ja-Hrkt,つかだ
塚田,en,Tsukada
温井入口,ja,温井入口
温井入口,zh-cn,温井入口
温井入口,zh-tw,温井入口
温井入口,ko,온정 입구
温井入口,ja-Hrkt,ぬるいいりぐち
温井入口,en,Nurui Iriguchi
清太郎,ja,清太郎
清太郎,zh-cn,清太郎
清太郎,zh-tw,清太郎
清太郎,ko,기요타로
清太郎,ja-Hrkt,せいたろう
清太郎,en,Seitaro
落谷,ja,落谷
落谷,zh-cn,落谷
落谷,zh-tw,落谷
落谷,ko,낙골
落谷,ja-Hrkt,おちだに
落谷,en,Ochidani
大山,ja,大山
大山,zh-cn,大山
大山,zh-tw,大山
大山,ko,오야마
大山,ja-Hrkt,おおやま
大山,en,Ooyama
一ツ木,ja,一ツ木
一ツ木,zh-cn,一木
一ツ木,zh-tw,一木
一ツ木,ko,이츠키
一ツ木,ja-Hrkt,ひとつぎ
一ツ木,en,Hitotsugi
株の木,ja,株の木
株の木,zh-cn,株木
株の木,zh-tw,株木
株の木,ko,주식 나무
株の木,ja-Hrkt,かぶのき
株の木,en,Kabunoki
長谷,ja,長谷
長谷,zh-cn,长谷
長谷,zh-tw,長谷
長谷,ko,하세
長谷,ja-Hrkt,ながたに
長谷,en,Nagatani
田町,ja,田町
田町,zh-cn,田町
田町,zh-tw,田町
田町,ko,타마치
田町,ja-Hrkt,たまち
