stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2027 1,,挾間小学校前,,33.1985524,131.5141158,2027 1,,0,,,,
2027 2,,挾間小学校前,,33.198562,131.5140246,2027 2,,0,,,,
2028 2,,向原駅,,33.1969246,131.5140197,2028 2,,0,,,,
2316 2,,大学病院,,33.2093285,131.534988,2316 2,,0,,,,
2319 1,,北方入口,,33.2049163,131.5203013,2319 1,,0,,,,
2319 2,,北方入口,,33.2050288,131.5197673,2319 2,,0,,,,
2341 1,,医大ヶ丘１丁目,,33.2096988,131.5321662,2341 1,,0,,,,
2341 2,,医大ヶ丘１丁目,,33.2097997,131.5321931,2341 2,,0,,,,
2342 1,,小学校前,,33.2098483,131.5278717,2342 1,,0,,,,
2342 2,,小学校前,,33.2099007,131.5281657,2342 2,,0,,,,
2343 1,,古野,,33.2112088,131.5253721,2343 1,,0,,,,
2343 2,,古野,,33.2111144,131.525968,2343 2,,0,,,,
2347 1,,赤野,,33.2092566,131.5089079,2347 1,,0,,,,
2347 2,,赤野,,33.2093255,131.5090273,2347 2,,0,,,,
2348 1,,のぞみ園,,33.210011,131.50459,2348 1,,0,,,,
2348 2,,のぞみ園,,33.2100693,131.5046624,2348 2,,0,,,,
2350 1,,丸田,,33.2117643,131.4960888,2350 1,,0,,,,
2350 2,,丸田,,33.2118277,131.4961404,2350 2,,0,,,,
9001 1,,医大３丁目,,33.2059281,131.5331188,9001 1,,0,,,,
9001 2,,医大３丁目,,33.20601,131.5329378,9001 2,,0,,,,
9002 1,,下市入口,,33.2058045,131.5242745,9002 1,,0,,,,
9002 2,,下市入口,,33.205919,131.5238306,9002 2,,0,,,,
9003 1,,森本整形,,33.2038983,131.5182512,9003 1,,0,,,,
9003 2,,森本整形,,33.2039236,131.5181553,9003 2,,0,,,,
9004 1,,上市,,33.2007644,131.5174199,9004 1,,0,,,,
9004 2,,上市,,33.2007728,131.5173139,9004 2,,0,,,,
9005 1,,挾間郵便局前,,33.1997288,131.5140054,9005 1,,0,,,,
9005 2,,挾間郵便局前,,33.199832,131.5141623,9005 2,,0,,,,
9007 1,,挾間中学校入口,,33.1983358,131.5100245,9007 1,,0,,,,
9007 2,,挾間中学校入口,,33.1986955,131.510455,9007 2,,0,,,,
9008 1,,柏野入口,,33.1971048,131.5068404,9008 1,,0,,,,
9008 2,,柏野入口,,33.1972249,131.5068377,9008 2,,0,,,,
9009 1,,茶園畑,,33.1968194,131.5000727,9009 1,,0,,,,
9009 2,,茶園畑,,33.196917,131.4998192,9009 2,,0,,,,
9012 1,,鬼瀬,,33.1936052,131.4923133,9012 1,,0,,,,
9012 2,,鬼瀬,,33.1936793,131.492249,9012 2,,0,,,,
9013 1,,篠原入口,,33.1942618,131.486031,9013 1,,0,,,,
9013 2,,篠原入口,,33.1944722,131.486033,9013 2,,0,,,,
9014 1,,池上,,33.1988077,131.4807589,9014 1,,0,,,,
9014 2,,池上,,33.1989822,131.4806724,9014 2,,0,,,,
9015 1,,下檪木,,33.1989468,131.4723404,9015 1,,0,,,,
9015 2,,下檪木,,33.199123,131.472321,9015 2,,0,,,,
9016 1,,檪木ダム入口,,33.1915995,131.4710348,9016 1,,0,,,,
9016 2,,檪木ダム入口,,33.1915883,131.4708545,9016 2,,0,,,,
9017 1,,檪木,,33.1888034,131.4669495,9017 1,,0,,,,
9017 2,,檪木,,33.1888382,131.4668268,9017 2,,0,,,,
9018 1,,下五福,,33.1860869,131.4631602,9018 1,,0,,,,
9018 2,,下五福,,33.1861526,131.4631186,9018 2,,0,,,,
9019 1,,五福,,33.1834071,131.4568824,9019 1,,0,,,,
9019 2,,五福,,33.1835087,131.4575415,9019 2,,0,,,,
9020 1,,由布高校入口,,33.1828394,131.4517004,9020 1,,0,,,,
9020 2,,由布高校入口,,33.1831436,131.4519491,9020 2,,0,,,,
9021 1,,宮崎医院前,,33.1805994,131.4477114,9021 1,,0,,,,
9021 2,,宮崎医院前,,33.1805015,131.4473252,9021 2,,0,,,,
9022 1,,かぐらちゃや前,,33.1801531,131.4337844,9022 1,,0,,,,
9022 2,,かぐらちゃや前,,33.1802946,131.4338098,9022 2,,0,,,,
9023 1,,庄内庁舎前,,33.1801923,131.4261851,9023 1,,0,,,,
9023 2,,庄内庁舎前,,33.1802106,131.4261734,9023 2,,0,,,,
9023 9,,庄内庁舎前,,33.1801765,131.4261718,9023 9,,0,,,,
9024 9,,庄内公民館,,33.1788859,131.431617,9024 9,,0,,,,
9032 1,,挾間保育所前,,33.2012471,131.5137862,9032 1,,0,,,,
9032 2,,挾間保育所前,,33.2012718,131.5138855,9032 2,,0,,,,
9033 1,,何松医院,,33.2039056,131.5124441,9033 1,,0,,,,
9033 2,,何松医院,,33.2039493,131.5125051,9033 2,,0,,,,
9034 1,,宮田団地入口,,33.2067233,131.5090593,9034 1,,0,,,,
9034 2,,宮田団地入口,,33.2067502,131.5091451,9034 2,,0,,,,
9035 1,,東行,,33.2165502,131.487783,9035 1,,0,,,,
9035 2,,東行,,33.2166568,131.4878574,9035 2,,0,,,,
9036 1,,下笠,,33.2214224,131.4843129,9036 1,,0,,,,
9036 2,,下笠,,33.221506,131.4843981,9036 2,,0,,,,
9037 1,,下詰,,33.2245708,131.4775213,9037 1,,0,,,,
9037 2,,下詰,,33.2246471,131.4775783,9037 2,,0,,,,
9038 1,,下詰上,,33.2246062,131.4714771,9038 1,,0,,,,
9038 2,,下詰上,,33.2247027,131.4714865,9038 2,,0,,,,
9039 1,,詰公民館,,33.2247826,131.4667421,9039 1,,0,,,,
9039 2,,詰公民館,,33.2247052,131.4667193,9039 2,,0,,,,
9047 1,,そうず川,,33.2257355,131.4650156,9047 1,,0,,,,
9047 2,,そうず川,,33.2257478,131.4649981,9047 2,,0,,,,
