service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15_平日(共通),1,1,1,1,1,0,0,20251026,20261001
15_土曜(共通),0,0,0,0,0,1,0,20251026,20261001
15_日祝(共通),0,0,0,0,0,0,1,20251026,20261001
54_平日(共通),1,1,1,1,1,0,0,20251026,20261001
54_土曜(共通),0,0,0,0,0,1,0,20251026,20261001
54_日祝(共通),0,0,0,0,0,0,1,20251026,20261001
55_平日(共通),1,1,1,1,1,0,0,20251026,20261001
55_土曜(共通),0,0,0,0,0,1,0,20251026,20261001
55_日祝(共通),0,0,0,0,0,0,1,20251026,20261001
58_平日(共通),1,1,1,1,1,0,0,20251026,20261001
58_土曜(共通),0,0,0,0,0,1,0,20251026,20261001
58_日祝(共通),0,0,0,0,0,0,1,20251026,20261001
60_平日(共通),1,1,1,1,1,0,0,20251026,20261001
60_土曜(共通),0,0,0,0,0,1,0,20251026,20261001
60_日祝(共通),0,0,0,0,0,0,1,20251026,20261001
