fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
7320001002007_140_00,140,JPY,0,0,,7320001002007
7320001002007_150_00,150,JPY,0,0,,7320001002007
7320001002007_160_00,160,JPY,0,0,,7320001002007
7320001002007_170_00,170,JPY,0,0,,7320001002007
7320001002007_180_00,180,JPY,0,0,,7320001002007
7320001002007_190_00,190,JPY,0,0,,7320001002007
7320001002007_200_00,200,JPY,0,0,,7320001002007
7320001002007_210_00,210,JPY,0,0,,7320001002007
7320001002007_220_00,220,JPY,0,0,,7320001002007
7320001002007_230_00,230,JPY,0,0,,7320001002007
7320001002007_240_00,240,JPY,0,0,,7320001002007
7320001002007_250_00,250,JPY,0,0,,7320001002007
7320001002007_260_00,260,JPY,0,0,,7320001002007
7320001002007_270_00,270,JPY,0,0,,7320001002007
7320001002007_280_00,280,JPY,0,0,,7320001002007
7320001002007_290_00,290,JPY,0,0,,7320001002007
7320001002007_300_00,300,JPY,0,0,,7320001002007
7320001002007_310_00,310,JPY,0,0,,7320001002007
7320001002007_330_00,330,JPY,0,0,,7320001002007
7320001002007_340_00,340,JPY,0,0,,7320001002007
7320001002007_350_00,350,JPY,0,0,,7320001002007
7320001002007_360_00,360,JPY,0,0,,7320001002007
7320001002007_370_00,370,JPY,0,0,,7320001002007
7320001002007_380_00,380,JPY,0,0,,7320001002007
7320001002007_390_00,390,JPY,0,0,,7320001002007
7320001002007_400_00,400,JPY,0,0,,7320001002007
7320001002007_410_00,410,JPY,0,0,,7320001002007
7320001002007_420_00,420,JPY,0,0,,7320001002007
7320001002007_430_00,430,JPY,0,0,,7320001002007
7320001002007_440_00,440,JPY,0,0,,7320001002007
7320001002007_450_00,450,JPY,0,0,,7320001002007
7320001002007_460_00,460,JPY,0,0,,7320001002007
7320001002007_470_00,470,JPY,0,0,,7320001002007
7320001002007_480_00,480,JPY,0,0,,7320001002007
7320001002007_490_00,490,JPY,0,0,,7320001002007
7320001002007_500_00,500,JPY,0,0,,7320001002007
7320001002007_510_00,510,JPY,0,0,,7320001002007
7320001002007_520_00,520,JPY,0,0,,7320001002007
7320001002007_530_00,530,JPY,0,0,,7320001002007
7320001002007_550_00,550,JPY,0,0,,7320001002007
7320001002007_560_00,560,JPY,0,0,,7320001002007
7320001002007_570_00,570,JPY,0,0,,7320001002007
7320001002007_580_00,580,JPY,0,0,,7320001002007
7320001002007_590_00,590,JPY,0,0,,7320001002007
7320001002007_600_00,600,JPY,0,0,,7320001002007
7320001002007_610_00,610,JPY,0,0,,7320001002007
7320001002007_620_00,620,JPY,0,0,,7320001002007
7320001002007_630_00,630,JPY,0,0,,7320001002007
7320001002007_640_00,640,JPY,0,0,,7320001002007
7320001002007_650_00,650,JPY,0,0,,7320001002007
7320001002007_660_00,660,JPY,0,0,,7320001002007
7320001002007_670_00,670,JPY,0,0,,7320001002007
7320001002007_680_00,680,JPY,0,0,,7320001002007
7320001002007_690_00,690,JPY,0,0,,7320001002007
7320001002007_700_00,700,JPY,0,0,,7320001002007
7320001002007_710_00,710,JPY,0,0,,7320001002007
7320001002007_720_00,720,JPY,0,0,,7320001002007
7320001002007_730_00,730,JPY,0,0,,7320001002007
7320001002007_740_00,740,JPY,0,0,,7320001002007
7320001002007_750_00,750,JPY,0,0,,7320001002007
7320001002007_770_00,770,JPY,0,0,,7320001002007
7320001002007_780_00,780,JPY,0,0,,7320001002007
7320001002007_790_00,790,JPY,0,0,,7320001002007
7320001002007_800_00,800,JPY,0,0,,7320001002007
7320001002007_810_00,810,JPY,0,0,,7320001002007
7320001002007_820_00,820,JPY,0,0,,7320001002007
7320001002007_830_00,830,JPY,0,0,,7320001002007
7320001002007_840_00,840,JPY,0,0,,7320001002007
7320001002007_850_00,850,JPY,0,0,,7320001002007
7320001002007_860_00,860,JPY,0,0,,7320001002007
7320001002007_870_00,870,JPY,0,0,,7320001002007
7320001002007_880_00,880,JPY,0,0,,7320001002007
7320001002007_890_00,890,JPY,0,0,,7320001002007
7320001002007_900_00,900,JPY,0,0,,7320001002007
7320001002007_910_00,910,JPY,0,0,,7320001002007
7320001002007_920_00,920,JPY,0,0,,7320001002007
7320001002007_930_00,930,JPY,0,0,,7320001002007
7320001002007_940_00,940,JPY,0,0,,7320001002007
7320001002007_950_00,950,JPY,0,0,,7320001002007
7320001002007_960_00,960,JPY,0,0,,7320001002007
7320001002007_970_00,970,JPY,0,0,,7320001002007
7320001002007_990_00,990,JPY,0,0,,7320001002007
7320001002007_1000_00,1000,JPY,0,0,,7320001002007
7320001002007_1050_00,1050,JPY,0,0,,7320001002007
7320001002007_1100_00,1100,JPY,0,0,,7320001002007
7320001002007_1150_00,1150,JPY,0,0,,7320001002007
7320001002007_1200_00,1200,JPY,0,0,,7320001002007
7320001002007_1250_00,1250,JPY,0,0,,7320001002007
7320001002007_1300_00,1300,JPY,0,0,,7320001002007
7320001002007_1350_00,1350,JPY,0,0,,7320001002007
7320001002007_1400_00,1400,JPY,0,0,,7320001002007
7320001002007_1450_00,1450,JPY,0,0,,7320001002007
7320001002007_1500_00,1500,JPY,0,0,,7320001002007
7320001002007_1550_00,1550,JPY,0,0,,7320001002007
