trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
09513ade-0c0c-43dc-919a-004dc50977cb,13:31:00,13:31:00,2125 1,1,中津駅前,0,1,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:32:00,13:32:00,989 1,2,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:33:00,13:33:00,990 1,3,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:34:00,13:34:00,991 1,4,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:35:00,13:35:00,992 1,5,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:36:00,13:36:00,993 1,6,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:37:00,13:37:00,994 1,7,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:38:00,13:38:00,995 1,8,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:38:00,13:38:00,2071 1,9,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:39:00,13:39:00,996 1,10,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:40:00,13:40:00,997 1,11,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:41:00,13:41:00,998 1,12,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:41:00,13:41:00,999 1,13,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:42:00,13:42:00,1000 1,14,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:42:00,13:42:00,1001 1,15,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:43:00,13:43:00,1002 1,16,中津駅前,0,0,,
09513ade-0c0c-43dc-919a-004dc50977cb,13:44:00,13:44:00,1003 1,17,中津駅前,0,0,,
