stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1000 1,,上二日市,,33.4419052,131.3321202,1000 1,,0,,,,
1000 2,,上二日市,,33.4418291,131.332206,1000 2,,0,,,,
1001 1,,二日市,,33.4441672,131.3333054,1001 1,,0,,,,
1001 2,,二日市,,33.4441068,131.333469,1001 2,,0,,,,
1002 1,,九人ケ峠,,33.447813,131.3320834,1002 1,,0,,,,
1002 2,,九人ケ峠,,33.4478242,131.3322282,1002 2,,0,,,,
1003 1,,上円座,,33.4486683,131.3316427,1003 1,,0,,,,
1003 2,,上円座,,33.4487371,131.3317721,1003 2,,0,,,,
1004 1,,円座,,33.4528865,131.3291376,1004 1,,0,,,,
1004 2,,円座,,33.4528798,131.3290276,1004 2,,0,,,,
1005 1,,上櫛野,,33.4557973,131.3287011,1005 1,,0,,,,
1005 2,,上櫛野,,33.4557839,131.3288325,1005 2,,0,,,,
1006 1,,下櫛野,,33.4625399,131.3309438,1006 1,,0,,,,
1006 2,,下櫛野,,33.4625489,131.3310806,1006 2,,0,,,,
1007 1,,掛,,33.4667012,131.3281354,1007 1,,0,,,,
1007 2,,掛,,33.4667281,131.3283124,1007 2,,0,,,,
1008 1,,香下,,33.4725866,131.3280651,1008 1,,0,,,,
1008 2,,香下,,33.4725419,131.3282582,1008 2,,0,,,,
1009 1,,大下,,33.4764578,131.3306738,1009 1,,0,,,,
1009 2,,大下,,33.4763817,131.3308347,1009 2,,0,,,,
1010 1,,両川,,33.4789,131.3336252,1010 1,,0,,,,
1010 2,,両川,,33.4787993,131.3337352,1010 2,,0,,,,
1011 1,,三又川,,33.4827701,131.3344623,1011 1,,0,,,,
1011 2,,三又川,,33.4827701,131.334591,1011 2,,0,,,,
1012 1,,白岩,,33.4903195,131.3298899,1012 1,,0,,,,
1012 2,,白岩,,33.4904716,131.3299435,1012 2,,0,,,,
