trans_id,lang,translation
イオン三光,ja,イオン三光
イオン三光,zh-cn,Ion三光
イオン三光,zh-tw,Ion三光
イオン三光,ko,이온 삼광
イオン三光,ja-Hrkt,ｲｵﾝｻﾝｺｳ
イオン三光,en,Ion Sankou
長崎鼻キャンプ場入口,ja,長崎鼻キャンプ場入口
長崎鼻キャンプ場入口,zh-cn,长崎鼻营地入口
長崎鼻キャンプ場入口,zh-tw,長崎鼻營地入口
長崎鼻キャンプ場入口,ko,나가사키 코 캠프장 입구
長崎鼻キャンプ場入口,ja-Hrkt,ﾅｶﾞｻｷﾊﾞﾅｷｬﾝﾌﾟｼﾞｮｳｲﾘｸﾞﾁ
長崎鼻キャンプ場入口,en,Nagasakibana Camp jo Iriguchi
下上の原,ja,下上の原
下上の原,zh-cn,下上原
下上の原,zh-tw,下上原
下上の原,ko,아래 위의 원
下上の原,ja-Hrkt,ｼﾓｳｴﾉﾊﾙ
下上の原,en,Simouenoharu
犬田,ja,犬田
犬田,zh-cn,犬田
犬田,zh-tw,犬田
犬田,ko,이누다
犬田,ja-Hrkt,ｲﾝﾀﾞ
犬田,en,Inda
岩崎,ja,岩崎
岩崎,zh-cn,岩崎
岩崎,zh-tw,岩崎
岩崎,ko,이와사키
岩崎,ja-Hrkt,ｲﾜｻｷ
岩崎,en,Iwasaki
香下,ja,香下
香下,zh-cn,香下
香下,zh-tw,香下
香下,ko,향기
香下,ja-Hrkt,ｺｳｼﾀ
香下,en,Koushita
山の下,ja,山の下
山の下,zh-cn,山下
山の下,zh-tw,山下
山の下,ko,산 아래
山の下,ja-Hrkt,ﾔﾏﾉｼﾀ
山の下,en,Yamanoshita
中伏,ja,中伏
中伏,zh-cn,中伏
中伏,zh-tw,中伏
中伏,ko,중복
中伏,ja-Hrkt,ﾅｶﾌﾞｼ
中伏,en,Nakabushi
鳥越,ja,鳥越
鳥越,zh-cn,鸟越
鳥越,zh-tw,鳥越
鳥越,ko,토리코시
鳥越,ja-Hrkt,ﾄﾘｺﾞｴ
鳥越,en,Trigoe
和間局前,ja,和間局前
和間局前,zh-cn,和间站前
和間局前,zh-tw,和間站前
和間局前,ko,와마국 앞
和間局前,ja-Hrkt,ﾜﾏｷｮｸﾏｴ
和間局前,en,Womakyoku mae
市立図書館前,ja,市立図書館前
市立図書館前,zh-cn,市立图书馆前
