route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1650,55_平日(共通),09513ade-0c0c-43dc-919a-004dc50977cb,,,,,1650,0,0
1442,60_平日(共通),4ee62e59-e1a0-444c-a45f-01d02ff2284e,,,,bungotakada_yokkaichi_7_1,1442,0,0
1441,60_土曜(共通),d26cc17d-69ef-44ef-a19c-032067ad2db2,,,,yokkaichi_bungotakada_5_3,1441,0,0
1870,58_日祝(共通),d496c1b4-ab36-4b4a-b07a-032b603db8d3,,,,,1870,0,0
1271,60_平日(共通),a0eadcac-059c-440a-809d-03abfd8a46ec,,,,,1271,0,0
1442,60_平日(共通),cd8aa3f7-e83a-4a36-9830-03e5241013c7,,,,bungotakada_yokkaichi_2_1,1442,0,0
1971,58_平日(共通),97a23579-02ac-46c9-be27-04277cab1b8d,,,,,1971,0,0
2791,58_平日(共通),b704ad9f-e084-4e9e-9a3f-04bd78ae4d22,,,,,2791,0,0
3820,60_日祝(共通),0be6e352-eba6-4513-a4d2-04ecaf777c00,,,,,3820,0,0
1261,60_平日(共通),1d280e84-943a-465f-9298-060958b730f0,,,,,1261,0,0
1480,58_平日(共通),18ce9cb5-6022-4420-9a2a-083a5f775c03,,,,,1480,0,0
1991,58_平日(共通),5fd50346-da02-44f0-993c-09adf978c12c,,,,,1991,0,0
1261,60_土曜(共通),8de13bcc-a2fb-4cf4-a6a2-0a0b53e06067,,,,,1261,0,0
1481,58_平日(共通),79a14834-3e8b-4699-8571-0a3d14392c4c,,,,,1481,0,0
3820,60_土曜(共通),0b21bdae-0823-4c3d-aa22-0b0e7cc06e4f,,,,,3820,0,0
1880,54_土曜(共通),760783df-de2f-47b6-bb42-0c99fadf8412,,,,,1880,0,0
2061,58_平日(共通),e44c78bb-04dd-4eb1-a51c-0d3a3647a683,,,,,2061,0,0
2000,58_平日(共通),3ca054de-fa74-4ce2-b8b1-0dd922aee840,,,,,2000,0,0
1260,60_平日(共通),9e463b58-c143-4db7-8af1-0de857f6a7f3,,,,,1260,0,0
2011,58_日祝(共通),501d36d7-d127-4ccc-a36d-0ee721a3c328,,,,,2011,0,0
1881,54_平日(共通),56c8c600-667f-4960-bd2b-0f4e42d28712,,,,,1881,0,0
1880,54_平日(共通),61869134-8ae9-4aea-8498-0fa19f589354,,,,,1880,0,0
1981,58_平日(共通),3317826c-c4b8-4ee9-ba64-0fb715b04b59,,,,,1981,0,0
2001,58_日祝(共通),8ecb2981-f1ba-445a-b7ac-10248fb2e6c7,,,,,2001,0,0
1870,58_日祝(共通),39b5948c-c0b5-457c-9a50-113776f787e1,,,,,1870,0,0
1650,55_土曜(共通),2276e10c-404d-48a2-b2f9-118c104776a2,,,,,1650,0,0
