service_id,date,exception_type
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250401,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250401,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250401,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250402,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250402,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250402,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250403,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250403,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250403,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250404,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250404,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250404,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250407,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250407,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250407,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250408,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250408,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250408,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250409,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250409,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250409,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250410,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250410,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250410,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250411,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250411,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250411,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250414,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250414,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250414,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250415,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250415,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250415,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250416,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250416,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250416,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250417,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250417,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250417,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250418,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250418,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250418,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250421,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250421,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250421,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250422,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250422,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250422,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250423,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250423,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250423,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250424,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250424,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250424,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250425,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250425,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250425,1
2817d4ca-8d01-4a74-8ca4-0692e75eff75,20250428,2
826ba8c8-57c2-4bab-a60b-4a2c500aa48b,20250428,1
b84f6847-2377-4c60-abe1-b35fb6cf458f,20250428,1
1_平日(共通),20250429,2
