fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
2000020442046_100_00,100,JPY,0,0,,2000020442046
6320001010183_150_00,150,JPY,0,0,,6320001010183
6320001010183_160_00,160,JPY,0,0,,6320001010183
6320001010183_170_00,170,JPY,0,0,,6320001010183
6320001010183_180_00,180,JPY,0,0,,6320001010183
6320001010183_190_00,190,JPY,0,0,,6320001010183
6320001010183_200_00,200,JPY,0,0,,6320001010183
6320001010183_210_00,210,JPY,0,0,,6320001010183
6320001010183_220_00,220,JPY,0,0,,6320001010183
6320001010183_230_00,230,JPY,0,0,,6320001010183
6320001010183_240_00,240,JPY,0,0,,6320001010183
6320001010183_250_00,250,JPY,0,0,,6320001010183
6320001010183_260_00,260,JPY,0,0,,6320001010183
6320001010183_270_00,270,JPY,0,0,,6320001010183
6320001010183_280_00,280,JPY,0,0,,6320001010183
6320001010183_290_00,290,JPY,0,0,,6320001010183
6320001010183_300_00,300,JPY,0,0,,6320001010183
6320001010183_310_00,310,JPY,0,0,,6320001010183
6320001010183_320_00,320,JPY,0,0,,6320001010183
6320001010183_340_00,340,JPY,0,0,,6320001010183
6320001010183_350_00,350,JPY,0,0,,6320001010183
6320001010183_360_00,360,JPY,0,0,,6320001010183
6320001010183_370_00,370,JPY,0,0,,6320001010183
6320001010183_380_00,380,JPY,0,0,,6320001010183
6320001010183_390_00,390,JPY,0,0,,6320001010183
6320001010183_400_00,400,JPY,0,0,,6320001010183
6320001010183_410_00,410,JPY,0,0,,6320001010183
6320001010183_420_00,420,JPY,0,0,,6320001010183
6320001010183_430_00,430,JPY,0,0,,6320001010183
6320001010183_440_00,440,JPY,0,0,,6320001010183
6320001010183_450_00,450,JPY,0,0,,6320001010183
6320001010183_460_00,460,JPY,0,0,,6320001010183
6320001010183_470_00,470,JPY,0,0,,6320001010183
6320001010183_480_00,480,JPY,0,0,,6320001010183
6320001010183_490_00,490,JPY,0,0,,6320001010183
6320001010183_500_00,500,JPY,0,0,,6320001010183
6320001010183_510_00,510,JPY,0,0,,6320001010183
6320001010183_520_00,520,JPY,0,0,,6320001010183
6320001010183_530_00,530,JPY,0,0,,6320001010183
6320001010183_540_00,540,JPY,0,0,,6320001010183
6320001010183_550_00,550,JPY,0,0,,6320001010183
6320001010183_560_00,560,JPY,0,0,,6320001010183
6320001010183_570_00,570,JPY,0,0,,6320001010183
6320001010183_580_00,580,JPY,0,0,,6320001010183
6320001010183_590_00,590,JPY,0,0,,6320001010183
6320001010183_600_00,600,JPY,0,0,,6320001010183
6320001010183_610_00,610,JPY,0,0,,6320001010183
6320001010183_620_00,620,JPY,0,0,,6320001010183
6320001010183_630_00,630,JPY,0,0,,6320001010183
6320001010183_640_00,640,JPY,0,0,,6320001010183
6320001010183_650_00,650,JPY,0,0,,6320001010183
6320001010183_660_00,660,JPY,0,0,,6320001010183
6320001010183_670_00,670,JPY,0,0,,6320001010183
6320001010183_680_00,680,JPY,0,0,,6320001010183
6320001010183_690_00,690,JPY,0,0,,6320001010183
6320001010183_700_00,700,JPY,0,0,,6320001010183
6320001010183_710_00,710,JPY,0,0,,6320001010183
6320001010183_720_00,720,JPY,0,0,,6320001010183
6320001010183_730_00,730,JPY,0,0,,6320001010183
6320001010183_740_00,740,JPY,0,0,,6320001010183
6320001010183_750_00,750,JPY,0,0,,6320001010183
6320001010183_760_00,760,JPY,0,0,,6320001010183
6320001010183_780_00,780,JPY,0,0,,6320001010183
6320001010183_790_00,790,JPY,0,0,,6320001010183
6320001010183_800_00,800,JPY,0,0,,6320001010183
6320001010183_810_00,810,JPY,0,0,,6320001010183
6320001010183_820_00,820,JPY,0,0,,6320001010183
6320001010183_830_00,830,JPY,0,0,,6320001010183
6320001010183_840_00,840,JPY,0,0,,6320001010183
6320001010183_850_00,850,JPY,0,0,,6320001010183
6320001010183_860_00,860,JPY,0,0,,6320001010183
6320001010183_870_00,870,JPY,0,0,,6320001010183
6320001010183_880_00,880,JPY,0,0,,6320001010183
6320001010183_890_00,890,JPY,0,0,,6320001010183
6320001010183_900_00,900,JPY,0,0,,6320001010183
6320001010183_910_00,910,JPY,0,0,,6320001010183
6320001010183_920_00,920,JPY,0,0,,6320001010183
6320001010183_930_00,930,JPY,0,0,,6320001010183
6320001010183_940_00,940,JPY,0,0,,6320001010183
6320001010183_950_00,950,JPY,0,0,,6320001010183
6320001010183_960_00,960,JPY,0,0,,6320001010183
6320001010183_980_00,980,JPY,0,0,,6320001010183
6320001010183_1000_00,1000,JPY,0,0,,6320001010183
6320001010183_1010_00,1010,JPY,0,0,,6320001010183
6320001010183_1020_00,1020,JPY,0,0,,6320001010183
6320001010183_1040_00,1040,JPY,0,0,,6320001010183
6320001010183_1050_00,1050,JPY,0,0,,6320001010183
6320001010183_1060_00,1060,JPY,0,0,,6320001010183
6320001010183_1080_00,1080,JPY,0,0,,6320001010183
6320001010183_1110_00,1110,JPY,0,0,,6320001010183
6320001010183_1120_00,1120,JPY,0,0,,6320001010183
