fare_id,route_id,origin_id,destination_id,contains_id
2000020442046_100_00,3 2,1190 1,1164 1,
2000020442046_100_00,3 2,1190 1,1000 1,
2000020442046_100_00,3 2,1190 1,1295 1,
2000020442046_100_00,3 2,1190 1,1173 1,
2000020442046_100_00,3 2,1190 1,1257 1,
2000020442046_100_00,3 2,1190 1,1200 1,
2000020442046_100_00,3 2,1190 1,1270 1,
2000020442046_100_00,3 2,1190 1,1271 1,
2000020442046_100_00,3 2,1190 1,1272 1,
2000020442046_100_00,3 2,1190 1,1163 1,
2000020442046_100_00,3 2,1198 2,1190 1,
2000020442046_100_00,3 2,1198 2,1202 1,
2000020442046_100_00,3 2,1198 2,1164 1,
2000020442046_100_00,3 2,1198 2,1162 1,
2000020442046_100_00,3 2,1198 2,1000 1,
2000020442046_100_00,3 2,1198 2,1161 1,
2000020442046_100_00,3 2,1198 2,1191 2,
2000020442046_100_00,3 2,1198 2,1159 2,
2000020442046_100_00,3 2,1198 2,1110 2,
2000020442046_100_00,3 2,1198 2,1160 2,
2000020442046_100_00,3 2,1198 2,1295 1,
2000020442046_100_00,3 2,1198 2,1120 2,
2000020442046_100_00,3 2,1198 2,1110 1,
2000020442046_100_00,3 2,1198 2,1173 1,
2000020442046_100_00,3 2,1198 2,1158 1,
2000020442046_100_00,3 2,1198 2,1111 1,
2000020442046_100_00,3 2,1198 2,1257 1,
2000020442046_100_00,3 2,1198 2,1200 1,
2000020442046_100_00,3 2,1198 2,1159 1,
2000020442046_100_00,3 2,1198 2,1160 1,
2000020442046_100_00,3 2,1198 2,1270 1,
2000020442046_100_00,3 2,1198 2,1125 1,
2000020442046_100_00,3 2,1198 2,1185 2,
2000020442046_100_00,3 2,1198 2,1125 2,
2000020442046_100_00,3 2,1198 2,1162 2,
2000020442046_100_00,3 2,1198 2,1271 1,
2000020442046_100_00,3 2,1198 2,1161 2,
2000020442046_100_00,3 2,1198 2,1198 1,
2000020442046_100_00,3 2,1198 2,1203 1,
2000020442046_100_00,3 2,1198 2,1197 1,
2000020442046_100_00,3 2,1198 2,1122 2,
2000020442046_100_00,3 2,1198 2,1272 1,
2000020442046_100_00,3 2,1198 2,1199 2,
2000020442046_100_00,3 2,1198 2,1163 1,
2000020442046_100_00,3 2,1000 2,1190 1,
2000020442046_100_00,3 2,1000 2,1198 2,
2000020442046_100_00,3 2,1000 2,1202 1,
2000020442046_100_00,3 2,1000 2,1164 1,
2000020442046_100_00,3 2,1000 2,1182 2,
2000020442046_100_00,3 2,1000 2,1162 1,
2000020442046_100_00,3 2,1000 2,1000 1,
2000020442046_100_00,3 2,1000 2,1161 1,
2000020442046_100_00,3 2,1000 2,1191 2,
2000020442046_100_00,3 2,1000 2,1159 2,
2000020442046_100_00,3 2,1000 2,1110 2,
2000020442046_100_00,3 2,1000 2,1160 2,
2000020442046_100_00,3 2,1000 2,1295 1,
2000020442046_100_00,3 2,1000 2,1128 2,
2000020442046_100_00,3 2,1000 2,1120 2,
2000020442046_100_00,3 2,1000 2,1193 2,
2000020442046_100_00,3 2,1000 2,1203 2,
2000020442046_100_00,3 2,1000 2,1194 2,
2000020442046_100_00,3 2,1000 2,1110 1,
2000020442046_100_00,3 2,1000 2,1192 2,
2000020442046_100_00,3 2,1000 2,1201 2,
2000020442046_100_00,3 2,1000 2,1173 1,
2000020442046_100_00,3 2,1000 2,1158 1,
2000020442046_100_00,3 2,1000 2,1111 1,
2000020442046_100_00,3 2,1000 2,1257 1,
2000020442046_100_00,3 2,1000 2,1200 1,
2000020442046_100_00,3 2,1000 2,1159 1,
2000020442046_100_00,3 2,1000 2,1160 1,
2000020442046_100_00,3 2,1000 2,1270 1,
2000020442046_100_00,3 2,1000 2,1125 1,
2000020442046_100_00,3 2,1000 2,1185 2,
2000020442046_100_00,3 2,1000 2,1125 2,
2000020442046_100_00,3 2,1000 2,1162 2,
2000020442046_100_00,3 2,1000 2,1271 1,
2000020442046_100_00,3 2,1000 2,1161 2,
2000020442046_100_00,3 2,1000 2,1198 1,
2000020442046_100_00,3 2,1000 2,1203 1,
2000020442046_100_00,3 2,1000 2,1168 2,
2000020442046_100_00,3 2,1000 2,1197 1,
2000020442046_100_00,3 2,1000 2,1122 2,
2000020442046_100_00,3 2,1000 2,1272 1,
2000020442046_100_00,3 2,1000 2,1183 1,
2000020442046_100_00,3 2,1000 2,1199 2,
2000020442046_100_00,3 2,1000 2,1163 1,
2000020442046_100_00,3 2,1202 1,1190 1,
2000020442046_100_00,3 2,1202 1,1164 1,
2000020442046_100_00,3 2,1202 1,1000 1,
2000020442046_100_00,3 2,1202 1,1295 1,
2000020442046_100_00,3 2,1202 1,1173 1,
2000020442046_100_00,3 2,1202 1,1257 1,
2000020442046_100_00,3 2,1202 1,1200 1,
2000020442046_100_00,3 2,1202 1,1270 1,
2000020442046_100_00,3 2,1202 1,1271 1,
2000020442046_100_00,3 2,1202 1,1198 1,
2000020442046_100_00,3 2,1202 1,1203 1,
2000020442046_100_00,3 2,1202 1,1197 1,
2000020442046_100_00,3 2,1202 1,1272 1,
