route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
17 9,6320001010183,,森町線,,3,,ED4757,000000
3 2,2000020442046,,ひたはしり号Cコース,,3,,F7931D,000000
23 0,6320001010183,,五馬線,,3,,BFD686,000000
21 0,6320001010183,,森町線,,3,,ED4757,000000
8 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
2 9,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
6 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
2 1,2000020442046,,ひたはしり号Bコース,,3,,00AEEF,000000
1 1,2000020442046,,ひたはしり号Aコース,,3,,8BC63E,000000
3 9,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
14 0,6320001010183,,小鹿田線,,3,,FC943A,000000
41 9,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
40 9,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
15 0,6320001010183,,小鹿田線,,3,,FC943A,000000
12 9,6320001010183,,小鹿田線,,3,,FC943A,000000
11 9,6320001010183,,小鹿田線,,3,,FC943A,000000
46 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
16 9,6320001010183,,森町線,,3,,ED4757,000000
2 2,2000020442046,,ひたはしり号Bコース,,3,,00AEEF,000000
7 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
22 9,6320001010183,,五馬線,,3,,BFD686,000000
42 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
19 0,6320001010183,,森町線,,3,,ED4757,000000
3 1,2000020442046,,ひたはしり号Cコース,,3,,F7931D,000000
20 0,6320001010183,,森町線,,3,,ED4757,000000
13 0,6320001010183,,小鹿田線,,3,,FC943A,000000
34 9,6320001010183,,森町線,,3,,ED4757,000000
18 9,6320001010183,,森町線,,3,,ED4757,000000
43 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
44 9,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
45 0,6320001010183,,杖立線,,3,,25A4B7,FFFFFF
10 9,6320001010183,,小鹿田線,,3,,FC943A,000000
9 9,6320001010183,,小鹿田線,,3,,FC943A,000000
1 2,2000020442046,,ひたはしり号Aコース,,3,,8BC63E,000000
