trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:34:00,08:34:00,1261 1,1,日田バスターミナル,0,1,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:36:00,08:36:00,1094 1,2,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:37:00,08:37:00,1093 1,3,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:39:00,08:39:00,1253 1,4,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:41:00,08:41:00,1251 1,5,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:42:00,08:42:00,1252 1,6,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:43:00,08:43:00,1092 1,7,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:44:00,08:44:00,1249 1,8,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:45:00,08:45:00,1091 1,9,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:46:00,08:46:00,1250 1,10,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:47:00,08:47:00,1255 1,11,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:49:00,08:49:00,1090 1,12,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:50:00,08:50:00,1248 1,13,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:51:00,08:51:00,1256 1,14,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:52:00,08:52:00,1242 1,15,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:53:00,08:53:00,1089 1,16,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:54:00,08:54:00,1241 1,17,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:54:00,08:54:00,1088 1,18,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:55:00,08:55:00,1237 1,19,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:56:00,08:56:00,1087 1,20,日田バスターミナル,0,0,,
b3fb09a9-6a3d-46ab-94c2-0258780a88f3,08:57:00,08:57:00,1245 1,21,日田バスターミナル,0,0,,
