stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1000 1,,日田バスターミナル,,33.3162167,130.9379895,1000 1,,0,,,,
1000 2,,日田バスターミナル,,33.3161786,130.9379359,1000 2,,0,,,,
1000 3,,日田バスターミナル,,33.3161842,130.9379869,1000 3,,0,,,,
1001 1,,元町,,33.31501,130.9383336,1001 1,,0,,,,
1001 2,,元町,,33.3149741,130.9384489,1001 2,,0,,,,
1001 3,,元町,,33.3149657,130.9384355,1001 3,,0,,,,
1001 4,,元町,,33.3150268,130.9383363,1001 4,,0,,,,
1002 1,,一ノ宮病院前,,33.311724,130.9368449,1002 1,,0,,,,
1002 2,,一ノ宮病院前,,33.3116881,130.9369227,1002 2,,0,,,,
1003 1,,竹田新町,,33.3097554,130.9363742,1003 1,,0,,,,
1003 2,,竹田新町,,33.3097818,130.9364493,1003 2,,0,,,,
1004 1,,竹田公園前,,33.3092818,130.9380023,1004 1,,0,,,,
1004 2,,竹田公園前,,33.3093317,130.9379956,1004 2,,0,,,,
1005 1,,若宮町,,33.3086262,130.9404647,1005 1,,0,,,,
1005 2,,若宮町,,33.3086643,130.9405371,1005 2,,0,,,,
1006 1,,下井手入口,,33.3064557,130.9429839,1006 1,,0,,,,
1006 2,,下井手入口,,33.3064994,130.9430094,1006 2,,0,,,,
1007 1,,小渕一丁目,,33.3041138,130.9466028,1007 1,,0,,,,
1007 2,,小渕一丁目,,33.3041698,130.9466283,1007 2,,0,,,,
1008 1,,小渕,,33.3030769,130.9483443,1008 1,,0,,,,
1008 2,,小渕,,33.3031273,130.9483886,1008 2,,0,,,,
1009 1,,桃山町,,33.300871,130.9520055,1009 1,,0,,,,
1009 2,,桃山町,,33.3009097,130.9519834,1009 2,,0,,,,
1010 1,,自動車学校下,,33.2985878,130.953484,1010 1,,0,,,,
1010 2,,自動車学校下,,33.2986298,130.9535491,1010 2,,0,,,,
1011 1,,地蔵,,33.2934673,130.9590375,1011 1,,0,,,,
1011 2,,地蔵,,33.2934897,130.9591421,1011 2,,0,,,,
1012 1,,敬天荘前,,33.28899,130.9636268,1012 1,,0,,,,
