trans_id,lang,translation
日田バスターミナル,ja,日田バスターミナル
日田バスターミナル,zh-cn,日田巴士总站
日田バスターミナル,zh-tw,日田巴士總站
日田バスターミナル,ko,히타 버스 터미널
日田バスターミナル,ja-Hrkt,ひたばすたーみなる
日田バスターミナル,en,Hita Bus terminal
元町,ja,元町
元町,zh-cn,元町
元町,zh-tw,元町
元町,ko,모토마치
元町,ja-Hrkt,もとまち
元町,en,Motomachi
一ノ宮病院前,ja,一ノ宮病院前
一ノ宮病院前,zh-cn,一宫医院前
一ノ宮病院前,zh-tw,一宮醫院前
一ノ宮病院前,ko,이치노미야 병원 앞
一ノ宮病院前,ja-Hrkt,いちのみやびょういんまえ
一ノ宮病院前,en,Ichinomiya Byouin mae
竹田新町（竹田公園）,ja,竹田新町（竹田公園）
竹田新町（竹田公園）,zh-cn,竹田新町（竹田公园）
竹田新町（竹田公園）,zh-tw,竹田新町（竹田公園）
竹田新町（竹田公園）,ko,다케다 신마치(다케다 공원)
竹田新町（竹田公園）,ja-Hrkt,たけだしんまち
竹田新町（竹田公園）,en,Takedashinmachi
竹田公園前,ja,竹田公園前
竹田公園前,zh-cn,竹田公园前
竹田公園前,zh-tw,竹田公園前
竹田公園前,ko,다케다 공원 앞
竹田公園前,ja-Hrkt,たけだこうえんまえ
竹田公園前,en,Takeda Koen mae
若宮町,ja,若宮町
若宮町,zh-cn,若宫町
若宮町,zh-tw,若宮町
若宮町,ko,와카미야쵸
若宮町,ja-Hrkt,わかみやまち
若宮町,en,Wakamiyamamachi
下井手入口,ja,下井手入口
下井手入口,zh-cn,下井出入口
下井手入口,zh-tw,下井出入口
下井手入口,ko,시모이 손 입구
下井手入口,ja-Hrkt,しもいでいりぐち
下井手入口,en,Shimoide Iriguchi
小渕一丁目,ja,小渕一丁目
小渕一丁目,zh-cn,小渊一丁目
小渕一丁目,zh-tw,小淵一丁目
小渕一丁目,ko,오부치 잇쵸메
小渕一丁目,ja-Hrkt,おぶちいっちょうめ
小渕一丁目,en,Obuchi Ichome
小渕（下井手）,ja,小渕（下井手）
小渕（下井手）,zh-cn,小渊（下井出）
小渕（下井手）,zh-tw,小淵（下井出）
小渕（下井手）,ko,코부치(시모이테)
