route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13 0,1_日祝(共通),b3fb09a9-6a3d-46ab-94c2-0258780a88f3,,,,,13 0,0,0
9 9,1_土曜(共通),b775be33-8177-425f-afc2-034a8fa822e1,,,,,9 9,0,0
1 2,1_日祝(共通),7db707d8-adbc-40d7-ba1c-04ffd1e56b85,,,,,1 2,0,0
12 9,2817d4ca-8d01-4a74-8ca4-0692e75eff75,2817d4ca-8d01-4a74-8ca4-0692e75eff75,,,,,12 9,0,0
3 1,1_土曜(共通),67e2d090-21ea-4b04-8755-09400fce7c9e,,,,,3 1,0,0
19 0,1_平日(共通),dca46140-43f6-4fb7-ab91-0c21b4739dd0,,,,,19 0,0,0
2 2,1_平日(共通),5c9f8f4c-a744-46b2-a5de-0dc47cad0b4b,,,,,2 2,0,0
42 0,1_平日(共通),0b22eac3-c8d1-4833-8cc7-1183734c3750,,,,,42 0,0,0
1 2,1_日祝(共通),b0499d98-91ab-46c5-8fc0-1374ca313795,,,,,1 2,0,0
3 2,1_日祝(共通),163f690c-5b74-4128-ac68-1572bba24486,,,,,3 2,0,0
1 1,1_土曜(共通),f8e9760e-278a-499d-bcf9-158b25367d1f,,,,,1 1,0,0
3 2,1_土曜(共通),58b73e41-2dc0-4e28-93ff-176109b9914c,,,,,3 2,0,0
6 0,1_平日(共通),efad8787-2173-4abd-87e3-1a0fdae8d3ad,,,,,6 0,0,0
40 9,1_土曜(共通),9570cb24-4369-4523-ad66-1affbff0d438,,,,,40 9,0,0
9 9,1_土曜(共通),5216c7e9-b6cc-476b-9078-1b02ccc55c07,,,,,9 9,0,0
14 0,1_平日(共通),cb92468a-3ba3-4784-82e9-1c874e4e35ab,,,,,14 0,0,0
1 1,1_日祝(共通),79ef313c-d47b-4470-8050-1cbf159eea8f,,,,,1 1,0,0
2 1,1_土曜(共通),1fb26a78-9f59-4587-8ad5-1e872c54bab5,,,,,2 1,0,0
17 9,1_平日(共通),955fb0b3-cc99-4633-a296-20391b15868f,,,,,17 9,0,0
2 1,1_平日(共通),6cd23f6c-51ac-4fef-bb34-2416f4937e20,,,,,2 1,0,0
2 2,1_日祝(共通),727d4346-e478-4dc1-a1b4-252b1fd251b8,,,,,2 2,0,0
2 2,1_土曜(共通),16a3c3fb-c474-4ec8-bd77-26b5d8639080,,,,,2 2,0,0
6 0,1_土曜(共通),5b4e1766-6174-496b-b39f-282512fdd31c,,,,,6 0,0,0
9 9,1_日祝(共通),5444fc7c-dbbf-4480-a59e-309bf05a41ac,,,,,9 9,0,0
42 0,1_日祝(共通),8c024fa6-e48f-4255-8896-366a627a9701,,,,,42 0,0,0
6 0,1_日祝(共通),3be2e031-d55f-4ff4-81c8-375fe41317f8,,,,,6 0,0,0
20 0,1_日祝(共通),38951a66-e572-4fac-bf45-38de9a94f0cd,,,,,20 0,0,0
1 2,1_平日(共通),25482231-1fd3-4b6e-913c-3a5a12d7527c,,,,,1 2,0,0
3 2,1_土曜(共通),fd71f1aa-7233-4507-936f-3af6ba0ce613,,,,,3 2,0,0
3 2,1_平日(共通),fd7165d7-cebf-44cf-a6bf-3b5199ea52d9,,,,,3 2,0,0
34 9,1_土曜(共通),1bad1b2d-a625-4ddb-b941-3c6df437279a,,,,,34 9,0,0
1 1,1_土曜(共通),84cbb9a2-5b30-4f80-a05a-3c90b0841aff,,,,,1 1,0,0
23 0,1_土曜(共通),c583a4e0-9990-404a-9076-3e1537f6787e,,,,,23 0,0,0
3 2,1_平日(共通),a2c22f7e-e198-498a-b57c-3e1791a7b9ce,,,,,3 2,0,0
17 9,1_平日(共通),f5439739-6d0c-4b56-bdf3-3e39e8bea9eb,,,,,17 9,0,0
1 2,1_土曜(共通),0c50a6f0-1185-43a1-9a34-3e9a1c8b9b64,,,,,1 2,0,0
2 1,1_土曜(共通),1824f476-c24b-49d0-8c31-3fde383dceff,,,,,2 1,0,0
13 0,1_平日(共通),7f8b45b2-d6c1-4a1a-a940-43c24a8e1b7d,,,,,13 0,0,0
42 0,1_日祝(共通),3282c91a-37b8-4500-b82c-45429b1f056a,,,,,42 0,0,0
2 1,1_日祝(共通),85f177b8-75d6-42c9-ab82-462ade183c0b,,,,,2 1,0,0
40 9,1_平日(共通),283dfc9d-fa66-4f95-a3a7-46e3d0dfff40,,,,,40 9,0,0
2 9,1_平日(共通),771c40bd-afd4-4a03-90ba-48966f15b811,,,,,2 9,0,0
9 9,1_土曜(共通),93cdfadb-3056-4347-ab38-4a114155dcbc,,,,,9 9,0,0
12 9,826ba8c8-57c2-4bab-a60b-4a2c500aa48b,826ba8c8-57c2-4bab-a60b-4a2c500aa48b,,,,,12 9,0,0
17 9,1_日祝(共通),8cc16223-8f9f-417d-b20b-5114c695e27d,,,,,17 9,0,0
17 9,1_土曜(共通),52fc9f4d-f8b0-4144-bffd-5140e5b4cc42,,,,,17 9,0,0
40 9,1_日祝(共通),fbef2661-721b-4c38-9096-57aef512b314,,,,,40 9,0,0
17 9,1_日祝(共通),56cf1b10-d904-4d48-b504-57e0855428c9,,,,,17 9,0,0
40 9,1_日祝(共通),431340b3-eb1a-4f01-9ec6-585b219b3f8a,,,,,40 9,0,0
3 1,1_土曜(共通),1d1ca05e-88a8-41ad-b32d-58a76796d181,,,,,3 1,0,0
40 9,1_土曜(共通),acc6aebc-50bc-48fb-9160-5b390ea82a3c,,,,,40 9,0,0
2 1,1_平日(共通),7e96349b-15f9-4ba1-8421-5ba862041eca,,,,,2 1,0,0
3 1,1_平日(共通),09805dbd-8526-4b83-a069-5d079a6469fa,,,,,3 1,0,0
2 2,1_日祝(共通),6edf89de-80c5-47b0-8c1b-5f8f14f23e5c,,,,,2 2,0,0
1 2,1_土曜(共通),b398eb8a-36b3-404a-80c2-60259e940ac2,,,,,1 2,0,0
2 2,1_平日(共通),05784945-0ae8-41c7-9199-6066c383c472,,,,,2 2,0,0
40 9,1_平日(共通),f168ea22-c3c3-43b7-8741-6067e71ec604,,,,,40 9,0,0
20 0,1_平日(共通),aa063e5f-9459-4b69-a9b1-60811731d5d6,,,,,20 0,0,0
2 2,1_平日(共通),4ca28e3f-9c07-40eb-bb7a-61fe77aefd1e,,,,,2 2,0,0
2 1,1_日祝(共通),ffa6016e-f807-4bb2-9162-632728dec69b,,,,,2 1,0,0
