service_id,date,exception_type
土曜,20250719,1
平日（月～金）,20250719,2
日曜・祝日,20250719,2
土曜,20250720,1
平日（月～金）,20250720,2
日曜・祝日,20250720,2
土曜,20250721,1
平日（月～金）,20250721,2
日曜・祝日,20250721,2
土曜,20250726,1
平日（月～金）,20250726,2
日曜・祝日,20250726,2
土曜,20250727,1
平日（月～金）,20250727,2
日曜・祝日,20250727,2
土曜,20250802,1
平日（月～金）,20250802,2
日曜・祝日,20250802,2
土曜,20250803,1
平日（月～金）,20250803,2
日曜・祝日,20250803,2
土曜,20250809,1
平日（月～金）,20250809,2
日曜・祝日,20250809,2
土曜,20250810,1
平日（月～金）,20250810,2
日曜・祝日,20250810,2
土曜,20250811,1
平日（月～金）,20250811,2
日曜・祝日,20250811,2
土曜,20250813,1
平日（月～金）,20250813,2
日曜・祝日,20250813,2
土曜,20250814,1
平日（月～金）,20250814,2
日曜・祝日,20250814,2
土曜,20250815,1
平日（月～金）,20250815,2
日曜・祝日,20250815,2
土曜,20250816,1
平日（月～金）,20250816,2
日曜・祝日,20250816,2
土曜,20250817,1
平日（月～金）,20250817,2
日曜・祝日,20250817,2
土曜,20250823,1
平日（月～金）,20250823,2
日曜・祝日,20250823,2
土曜,20250824,1
平日（月～金）,20250824,2
日曜・祝日,20250824,2
土曜,20250830,1
平日（月～金）,20250830,2
日曜・祝日,20250830,2
土曜,20250831,1
平日（月～金）,20250831,2
日曜・祝日,20250831,2
土曜,20250906,1
平日（月～金）,20250906,2
日曜・祝日,20250906,2
土曜,20250907,1
平日（月～金）,20250907,2
日曜・祝日,20250907,2
土曜,20250913,1
平日（月～金）,20250913,2
日曜・祝日,20250913,2
土曜,20250914,1
平日（月～金）,20250914,2
日曜・祝日,20250914,2
土曜,20250915,1
平日（月～金）,20250915,2
日曜・祝日,20250915,2
土曜,20250920,1
平日（月～金）,20250920,2
日曜・祝日,20250920,2
土曜,20250921,1
平日（月～金）,20250921,2
日曜・祝日,20250921,2
土曜,20250923,1
平日（月～金）,20250923,2
日曜・祝日,20250923,2
土曜,20250927,1
平日（月～金）,20250927,2
日曜・祝日,20250927,2
土曜,20250928,1
平日（月～金）,20250928,2
日曜・祝日,20250928,2
土曜,20251004,1
平日（月～金）,20251004,2
日曜・祝日,20251004,2
土曜,20251005,1
平日（月～金）,20251005,2
日曜・祝日,20251005,2
土曜,20251011,1
平日（月～金）,20251011,2
日曜・祝日,20251011,2
土曜,20251012,1
平日（月～金）,20251012,2
日曜・祝日,20251012,2
土曜,20251013,1
平日（月～金）,20251013,2
日曜・祝日,20251013,2
土曜,20251018,1
平日（月～金）,20251018,2
日曜・祝日,20251018,2
土曜,20251019,1
平日（月～金）,20251019,2
日曜・祝日,20251019,2
土曜,20251025,1
平日（月～金）,20251025,2
日曜・祝日,20251025,2
土曜,20251026,1
平日（月～金）,20251026,2
日曜・祝日,20251026,2
土曜,20251101,1
平日（月～金）,20251101,2
日曜・祝日,20251101,2
土曜,20251102,1
平日（月～金）,20251102,2
日曜・祝日,20251102,2
土曜,20251103,1
平日（月～金）,20251103,2
日曜・祝日,20251103,2
土曜,20251108,1
平日（月～金）,20251108,2
日曜・祝日,20251108,2
土曜,20251109,1
平日（月～金）,20251109,2
日曜・祝日,20251109,2
土曜,20251115,1
平日（月～金）,20251115,2
日曜・祝日,20251115,2
土曜,20251116,1
平日（月～金）,20251116,2
日曜・祝日,20251116,2
土曜,20251122,1
平日（月～金）,20251122,2
日曜・祝日,20251122,2
土曜,20251123,1
平日（月～金）,20251123,2
日曜・祝日,20251123,2
土曜,20251124,1
平日（月～金）,20251124,2
日曜・祝日,20251124,2
土曜,20251129,1
平日（月～金）,20251129,2
日曜・祝日,20251129,2
土曜,20251130,1
平日（月～金）,20251130,2
日曜・祝日,20251130,2
土曜,20251206,1
平日（月～金）,20251206,2
日曜・祝日,20251206,2
土曜,20251207,1
平日（月～金）,20251207,2
日曜・祝日,20251207,2
土曜,20251213,1
平日（月～金）,20251213,2
日曜・祝日,20251213,2
土曜,20251214,1
平日（月～金）,20251214,2
日曜・祝日,20251214,2
土曜,20251220,1
平日（月～金）,20251220,2
日曜・祝日,20251220,2
土曜,20251221,1
平日（月～金）,20251221,2
日曜・祝日,20251221,2
土曜,20251227,1
平日（月～金）,20251227,2
日曜・祝日,20251227,2
土曜,20251228,1
平日（月～金）,20251228,2
日曜・祝日,20251228,2
土曜,20251229,1
平日（月～金）,20251229,2
日曜・祝日,20251229,2
土曜,20251230,1
平日（月～金）,20251230,2
日曜・祝日,20251230,2
土曜,20251231,1
平日（月～金）,20251231,2
日曜・祝日,20251231,2
土曜,20260101,1
平日（月～金）,20260101,2
日曜・祝日,20260101,2
土曜,20260102,1
平日（月～金）,20260102,2
日曜・祝日,20260102,2
土曜,20260103,1
平日（月～金）,20260103,2
日曜・祝日,20260103,2
土曜,20260104,1
平日（月～金）,20260104,2
日曜・祝日,20260104,2
土曜,20260110,1
平日（月～金）,20260110,2
日曜・祝日,20260110,2
土曜,20260111,1
平日（月～金）,20260111,2
日曜・祝日,20260111,2
土曜,20260112,1
平日（月～金）,20260112,2
日曜・祝日,20260112,2
土曜,20260117,1
平日（月～金）,20260117,2
日曜・祝日,20260117,2
土曜,20260118,1
平日（月～金）,20260118,2
日曜・祝日,20260118,2
土曜,20260124,1
平日（月～金）,20260124,2
日曜・祝日,20260124,2
土曜,20260125,1
平日（月～金）,20260125,2
日曜・祝日,20260125,2
土曜,20260131,1
平日（月～金）,20260131,2
日曜・祝日,20260131,2
土曜,20260201,1
平日（月～金）,20260201,2
日曜・祝日,20260201,2
土曜,20260207,1
平日（月～金）,20260207,2
日曜・祝日,20260207,2
土曜,20260208,1
平日（月～金）,20260208,2
日曜・祝日,20260208,2
土曜,20260211,1
平日（月～金）,20260211,2
日曜・祝日,20260211,2
土曜,20260214,1
平日（月～金）,20260214,2
日曜・祝日,20260214,2
土曜,20260215,1
平日（月～金）,20260215,2
日曜・祝日,20260215,2
土曜,20260221,1
平日（月～金）,20260221,2
日曜・祝日,20260221,2
土曜,20260222,1
平日（月～金）,20260222,2
日曜・祝日,20260222,2
土曜,20260223,1
平日（月～金）,20260223,2
日曜・祝日,20260223,2
土曜,20260228,1
平日（月～金）,20260228,2
日曜・祝日,20260228,2
土曜,20260301,1
平日（月～金）,20260301,2
日曜・祝日,20260301,2
土曜,20260307,1
平日（月～金）,20260307,2
日曜・祝日,20260307,2
土曜,20260308,1
平日（月～金）,20260308,2
日曜・祝日,20260308,2
土曜,20260314,1
平日（月～金）,20260314,2
日曜・祝日,20260314,2
