fare_id,route_id,origin_id,destination_id,contains_id
4320001006282_170_00,432,9 2,10 2,
4320001006282_170_00,432,9 2,1014 2,
4320001006282_170_00,432,9 2,13 2,
4320001006282_170_00,432,9 2,12 2,
4320001006282_170_00,432,282 1,285 1,
4320001006282_170_00,432,282 1,286 1,
4320001006282_170_00,432,282 1,283 1,
4320001006282_170_00,432,282 1,284 1,
4320001006282_170_00,432,52 2,53 2,
4320001006282_170_00,432,52 2,23 2,
4320001006282_170_00,432,52 2,24 2,
4320001006282_170_00,432,272 2,273 2,
4320001006282_170_00,432,272 2,274 2,
4320001006282_170_00,432,21 2,20 2,
4320001006282_170_00,432,285 1,286 1,
4320001006282_170_00,432,285 1,288 1,
4320001006282_170_00,432,5 2,6 2,
4320001006282_170_00,432,53 2,23 2,
4320001006282_170_00,432,53 2,24 2,
4320001006282_170_00,432,300001 2,26 2,
4320001006282_170_00,432,300001 2,25 2,
4320001006282_170_00,432,300001 2,4 2,
4320001006282_170_00,432,50 2,52 2,
4320001006282_170_00,432,50 2,53 2,
4320001006282_170_00,432,50 2,51 2,
4320001006282_170_00,432,50 2,23 2,
4320001006282_170_00,432,50 2,24 2,
4320001006282_170_00,432,26 2,5 2,
4320001006282_170_00,432,26 2,6 2,
4320001006282_170_00,432,26 2,4 2,
4320001006282_170_00,432,10 2,50 2,
4320001006282_170_00,432,10 2,1014 2,
4320001006282_170_00,432,10 2,13 2,
4320001006282_170_00,432,10 2,49 2,
4320001006282_170_00,432,10 2,12 2,
4320001006282_170_00,432,269 2,270 2,
4320001006282_170_00,432,22 2,21 2,
4320001006282_170_00,432,22 2,20 2,
4320001006282_170_00,432,286 1,288 1,
4320001006282_170_00,432,273 2,275 2,
4320001006282_170_00,432,273 2,274 2,
4320001006282_170_00,432,276 1,277 1,
4320001006282_170_00,432,25 2,5 2,
4320001006282_170_00,432,25 2,26 2,
4320001006282_170_00,432,25 2,6 2,
4320001006282_170_00,432,25 2,4 2,
4320001006282_170_00,432,1014 2,52 2,
4320001006282_170_00,432,1014 2,53 2,
4320001006282_170_00,432,1014 2,50 2,
4320001006282_170_00,432,1014 2,51 2,
4320001006282_170_00,432,1014 2,24 2,
4320001006282_170_00,432,1014 2,49 2,
4320001006282_170_00,432,271 2,272 2,
4320001006282_170_00,432,271 2,273 2,
4320001006282_170_00,432,271 2,274 2,
4320001006282_170_00,432,271 2,430 2,
4320001006282_170_00,432,51 2,52 2,
4320001006282_170_00,432,51 2,53 2,
4320001006282_170_00,432,51 2,23 2,
4320001006282_170_00,432,51 2,24 2,
