route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
432,4320001006282,41,サファリ線,,3,,,
267,4320001006282,26Aリ,内廻り循環線,,3,,,
4361,4320001006282,36,湯布院線,,3,,,
291,4320001006282,29,血の池地獄経由別府医療センター線,,3,,,
6362,4320001006282,36,湯布院線,,3,,,
4611,4320001006282,,石垣明星スクール線,,3,,,
411,4320001006282,41,サファリ線,,3,,,
9162,4320001006282,16Aリ,外廻り循環線,,3,,,
9161,4320001006282,16Aリ,外廻り循環線,,3,,,
268,4320001006282,26Aリ,内廻り循環線,,3,,,
161,4320001006282,16,外廻り循環線,,3,,,
262,4320001006282,26,内廻り循環線,,3,,,
203,4320001006282,20,別府大学経由鉄輪線,,3,,,
101,4320001006282,10,別府駅西口浜脇線,,3,,,
167,4320001006282,16Aリ,外廻り循環線,,3,,,
231,4320001006282,23,石垣線,,3,,,
241,4320001006282,24,新港町経由ＡＰＵ線,,3,,,
412,4320001006282,41,サファリ線,,3,,,
269,4320001006282,26Aリ,内廻り循環線,,3,,,
32,4320001006282,3,扇山線,,3,,,
431,4320001006282,41,サファリ線,,3,,,
282,4320001006282,28,餅ヶ浜経由南立石２区線,,3,,,
51,4320001006282,5,野口原経由ＡＰＵ線,,3,,,
3612,4320001006282,,北石垣明星幼稚園スクール線,,3,,,
971,4320001006282,7,野口原経由別府リハビリ線,,3,,,
7361,4320001006282,快速,観光快速ゆふりん,,3,,,
2362,4320001006282,36,湯布院線,,3,,,
292,4320001006282,29,血の池地獄経由別府医療センター線,,3,,,
6166,4320001006282,,医療センター発ループ系統,,3,,,
611,4320001006282,,鉄輪明星幼稚園スクール線,,3,,,
242,4320001006282,24,新港町経由ＡＰＵ線,,3,,,
21,4320001006282,2,竹の内経由鉄輪線（九大別府病院経由）,,3,,,
61,4320001006282,6,別府駅西口石垣線,,3,,,
252,4320001006282,25,鶴見病院経由鉄輪線,,3,,,
1432,4320001006282,41,サファリ線,,3,,,
266,4320001006282,26Aリ,内廻り循環線,,3,,,
22,4320001006282,2,竹の内経由鉄輪線（九大別府病院経由）,,3,,,
261,4320001006282,26,内廻り循環線,,3,,,
232,4320001006282,23,石垣線,,3,,,
662,4320001006282,,野口原スクール線,,3,,,
1021,4320001006282,1,竹の内経由鉄輪線（九大別府病院不寄り）,,3,,,
7362,4320001006282,快速,観光快速ゆふりん,,3,,,
661,4320001006282,,野口原スクール線,,3,,,
31,4320001006282,3,扇山線,,3,,,
7363,4320001006282,快速,観光快速ゆふりん,,3,,,
1642,4320001006282,,鶴高スクール線,,3,,,
263,4320001006282,26Aリ,内廻り循環線,,3,,,
2361,4320001006282,36,湯布院線,,3,,,
4612,4320001006282,,石垣明星スクール線,,3,,,
202,4320001006282,20,別府大学経由鉄輪線,,3,,,
53,4320001006282,5,野口原経由ＡＰＵ線,,3,,,
4362,4320001006282,36,湯布院線,,3,,,
251,4320001006282,25,鶴見病院経由鉄輪線,,3,,,
174,4320001006282,17観,山の手経由鉄輪線,,3,,,
3611,4320001006282,,北石垣明星幼稚園スクール線,,3,,,
7364,4320001006282,快速,観光快速ゆふりん,,3,,,
281,4320001006282,28,餅ヶ浜経由南立石２区線,,3,,,
12,4320001006282,4,九大別府病院経由南原線,,3,,,
102,4320001006282,10,別府駅西口浜脇線,,3,,,
2432,4320001006282,41,サファリ線,,3,,,
1082,4320001006282,8,別府駅西口観海寺線,,3,,,
972,4320001006282,7,野口原経由別府リハビリ線,,3,,,
1622,4320001006282,,山の手スクール線,,3,,,
52,4320001006282,5,野口原経由ＡＰＵ線,,3,,,
361,4320001006282,36,湯布院線,,3,,,
201,4320001006282,20,別府大学経由鉄輪線,,3,,,
166,4320001006282,16Aリ,外廻り循環線,,3,,,
1022,4320001006282,1,竹の内経由鉄輪線（九大別府病院不寄り）,,3,,,
265,4320001006282,26Aリ,内廻り循環線,,3,,,
612,4320001006282,,鉄輪明星幼稚園スクール線,,3,,,
62,4320001006282,6,別府駅西口石垣線,,3,,,
204,4320001006282,20,別府大学経由鉄輪線,,3,,,
362,4320001006282,36,湯布院線,,3,,,
162,4320001006282,16,外廻り循環線,,3,,,
