stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1 0,,別府駅西口,,33.2797521,131.4999677,1 0,,0,,,,
1 1,,別府駅西口,,33.2797577,131.4999829,1 1,,0,,,,2
1 3,,別府駅西口,,33.2798045,131.5000666,1 3,,0,,,,1
10 0,,光の園前,,33.2945627,131.4840268,10 0,,0,,,,
10 1,,光の園前,,33.2948524,131.4840194,10 1,,0,,,,
10 2,,光の園前,,33.2945429,131.4840319,10 2,,0,,,,
100 1,,流川２丁目,,33.2767231,131.505404,100 1,,0,,,,
100 2,,流川２丁目,,33.2765194,131.5042788,100 2,,0,,,,
100001 3,,別府駅西口,,33.279804,131.5000658,100001 3,,0,,,,1
100001 4,,別府駅西口,,33.279804,131.500064,100001 4,,0,,,,1
100099 1,,別府駅前,,33.2791619,131.5003232,100099 1,,0,,,,5
100099 2,,別府駅前,,33.2791732,131.5003272,100099 2,,0,,,,5
101 1,,流川５丁目,,33.2764272,131.5022747,101 1,,0,,,,
101 2,,流川５丁目,,33.2762564,131.5010044,101 2,,0,,,,
1014 0,,原　新別府病院前,,33.30010343,131.477022,1014 0,,0,,,,
1014 1,,原　新別府病院前,,33.30008677,131.4771886,1014 1,,0,,,,
1014 2,,原　新別府病院前,,33.30009,131.4769965,1014 2,,0,,,,
102 1,,流川６丁目・不老泉,,33.2762997,131.5003043,102 1,,0,,,,
102 2,,流川６丁目・不老泉,,33.2761278,131.4999856,102 2,,0,,,,
103 1,,流川８丁目,,33.27608971,131.4982546,103 1,,0,,,,
103 2,,流川８丁目,,33.2760341,131.4987414,103 2,,0,,,,
103 3,,流川８丁目,,33.2755398,131.4979319,103 3,,0,,,,
103 6,,流川８丁目,,33.275522,131.4977041,103 6,,0,,,,
104 1,,流川１２丁目,,33.2756852,131.4940037,104 1,,0,,,,
104 2,,流川１２丁目,,33.2757163,131.4952756,104 2,,0,,,,
11 0,,南原,,33.2977527,131.4828085,11 0,,0,,,,
11 1,,南原,,33.29775379,131.4829216,11 1,,0,,,,
11 2,,南原,,33.2977436,131.4828098,11 2,,0,,,,
112 1,,総合体育館入口,,33.27745609,131.4901719,112 1,,0,,,,
112 2,,総合体育館入口,,33.2775027,131.4899481,112 2,,0,,,,
113 1,,上原町,,33.2789372,131.4892254,113 1,,0,,,,
113 2,,上原町,,33.2793624,131.4890593,113 2,,0,,,,
114 1,,別府公園西入口,,33.2810704,131.4889707,114 1,,0,,,,
114 2,,別府公園西入口,,33.2809557,131.4888385,114 2,,0,,,,
115 1,,鉄輪温泉東口,,33.3177814,131.4789599,115 1,,0,,,,
115 2,,鉄輪温泉東口,,33.3177279,131.4790553,115 2,,0,,,,
116 1,,貴船城入口,,33.318152,131.4802626,116 1,,0,,,,
116 2,,貴船城入口,,33.3184662,131.4807045,116 2,,0,,,,
117 1,,北鉄輪,,33.3208354,131.4800936,117 1,,0,,,,
117 2,,北鉄輪,,33.3207209,131.480324,117 2,,0,,,,
