trans_id,lang,translation
新別府口,ja,新別府口
新別府口,ja-Hrkt,しんべっぷぐち
太陽の家,ja,太陽の家
太陽の家,ja-Hrkt,たいようのいえ
太陽の家,en,Taiyo no Ie
太陽の家,ko,다이요노이에
太陽の家,zh-cn,太阳之家
太陽の家,zh-tw,太陽之家
別府北浜,ja,別府北浜
別府北浜,ja-Hrkt,べっぷきたはま
原,ja,原
原,ja-Hrkt,はる
原,en,Haru
原,ko,하루
原,zh-cn,原
原,zh-tw,原
青中前,ja,青中前
青中前,ja-Hrkt,あおちゅうまえ
青中前,en,-1
青中前,ko,-1
青中前,zh-cn,-1
青中前,zh-tw,-1
富士見６丁目,ja,富士見６丁目
富士見６丁目,ja-Hrkt,ふじみ６ちょうめ
荘園郵便局前,ja,荘園郵便局前
荘園郵便局前,ja-Hrkt,そうえんゆうびんきょくまえ
荘園郵便局前,en,Soen Yubinkyoku Mae
荘園郵便局前,ko,소엔유빈쿄쿠마에
荘園郵便局前,zh-cn,庄园邮局前
荘園郵便局前,zh-tw,莊園郵局前
志高,ja,志高
志高,ja-Hrkt,しだか
志高,en,Shidaka
志高,ko,시다카
志高,zh-cn,志高
志高,zh-tw,志高
別府駅,ja,別府駅
別府駅,ja-Hrkt,べっぷえき
別府駅,en,Beppu Eki
別府駅,ko,벳푸에키
別府駅,zh-cn,别府站
別府駅,zh-tw,別府站
太郎丸,ja,太郎丸
太郎丸,ja-Hrkt,たろうまる
太郎丸,en,Taromaru
太郎丸,ko,다로마루
太郎丸,zh-cn,太郎丸
太郎丸,zh-tw,太郎丸
明豊キャンパス前,ja,明豊キャンパス前
明豊キャンパス前,ja-Hrkt,めいほうきゃんぱすまえ
別府リハビリテーションセンター入口,ja,別府リハビリテーションセンター入口
別府リハビリテーションセンター入口,ja-Hrkt,べっぷりはびりてーしょんせんたーいりぐち
別府リハビリテーションセンター入口,en,Beppu Rehabili Mae
別府リハビリテーションセンター入口,ko,벳푸리허빌마에
別府リハビリテーションセンター入口,zh-cn,别府康复中心前
別府リハビリテーションセンター入口,zh-tw,別府康復中心前
鳥居,ja,鳥居
鳥居,ja-Hrkt,とりい
上原町,ja,上原町
上原町,ja-Hrkt,かみはるちょう
鉄輪,ja,鉄輪
