route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
971,平日（月～金）,2db79350-a077-4c4a-9a60-01eaf2d83c43,,,,,971,0,0
291,土曜,28728d31-240f-450c-89dc-b548cf07bf8d,,,,,291,0,0
32,土曜,ee3ecd39-128c-4339-91d9-2d77690d6b36,,,,,32,0,0
362,平日（月～金）,90440b4f-a365-4a63-af31-6e04f8e161c1,,,,,362,0,0
102,平日（月～金）,3a2d9790-9e68-4ffa-84fa-e0298a09fac7,,,,,102,0,0
52,土曜,7ad89102-002a-4b44-ad33-7216724ad411,,,,,52,0,0
7363,土曜,57b25204-0aab-423b-b6ff-a2ee51937ec5,,,,,7363,0,0
242,平日（月～金）,80b1d77a-15df-4634-aa91-2b661bd0d775,,,,,242,0,0
203,土曜,6ad82e21-efcb-4c82-9abc-e2c59b8e41ac,,,,,203,0,0
31,土曜,77b8b6b1-d4f4-4de6-bfbd-4b2f43a66584,,,,,31,0,0
971,日曜・祝日,0ac3c54a-62fe-4027-9231-69c261e0bca6,,,,,971,0,0
232,日曜・祝日,fd8c707d-4b6c-4c5d-9275-7e39abddcd78,,,,,232,0,0
21,土曜,acfdd7c7-3311-42f8-81bc-a0e2c0460c24,,,,,21,0,0
32,日曜・祝日,2929bbac-2cca-4c2c-bbf1-e83e4ce493c9,,,,,32,0,0
166,土曜,fb013a85-6084-4ffb-9aef-23246ed8cacd,,,,,166,0,0
52,平日（月～金）,80762eb3-d1fa-49bf-9bea-aaa203b04b51,,,,,52,0,0
203,平日（月～金）,dc74d8e9-0928-44ca-bfbd-2260a092a2bf,,,,,203,0,0
52,日曜・祝日,fd4ad678-3909-43ab-96d7-a329642fb833,,,,,52,0,0
62,平日（月～金）,8d93b2e7-0713-42b4-bad5-d1e73dd7a7f3,,,,,62,0,0
9162,平日（月～金）,27f77eb3-054b-4b47-8716-e3924164efa2,,,,,9162,0,0
361,平日（月～金）,16cc352b-d4fe-4429-a179-002edc5a64e9,,,,,361,0,0
7364,土曜,32e1679b-3f06-42f9-9de1-0e210fb2e681,,,,,7364,0,0
161,日曜・祝日,18d1b940-c755-4499-920f-231c81ed78bf,,,,,161,0,0
1021,平日（月～金）,76c00517-d6e3-42da-9442-a6cfda0df67e,,,,,1021,0,0
61,平日（月～金）,258c1696-68fd-4347-9957-0b96513d312d,,,,,61,0,0
361,平日（月～金）,9bf63628-63f0-4712-8a49-614c43a34ce1,,,,,361,0,0
267,土曜,681b0ebb-648c-4232-b2c9-a66b1c3ce257,,,,,267,0,0
52,土曜,d50478ca-34a0-44df-b39c-e3e55bec4edb,,,,,52,0,0
432,日曜・祝日,ba446c5f-f2a3-4c31-968c-e357ebc2d328,,,,,432,0,0
4361,日曜・祝日,50056091-dd1e-4d9f-9d5d-efa9e373d1c0,,,,,4361,0,0
4362,土曜,5907d4a9-25ba-40b6-939b-5ec3ef3491ac,,,,,4362,0,0
291,平日（月～金）,466727f9-b02e-4646-864b-6487cfcc69a8,,,,,291,0,0
232,日曜・祝日,4affc083-affa-46e9-9371-86fe018a7de3,,,,,232,0,0
431,平日（月～金）,9ca6fb44-c501-478e-8eb9-8abe76a0a5e4,,,,,431,0,0
1022,平日（月～金）,724ae161-3a0d-447d-8299-c031cb1b6602,,,,,1022,0,0
232,土曜,2c8ceb39-356c-41e2-8738-ec4e64185820,,,,,232,0,0
62,平日（月～金）,4a144ad4-dac0-474a-8053-f61f3b86efd9,,,,,62,0,0
7364,日曜・祝日,cbc83fd5-cfd3-4910-8cbd-2d6d329ccce2,,,,,7364,0,0
21,日曜・祝日,4d3834fe-9f08-4a41-9fed-5953021a59eb,,,,,21,0,0
232,土曜,5419b357-14a3-45a0-823c-744c59c0fc67,,,,,232,0,0
22,土曜,1633bfff-045e-44f9-b47a-944c3427d314,,,,,22,0,0
232,日曜・祝日,1cb63b7d-c3ee-4ebe-82f3-c469c66e1503,,,,,232,0,0
2361,土曜,d874c9db-c552-49fd-8994-e8afbe6db7a2,,,,,2361,0,0
52,日曜・祝日,f04be4a6-6498-47b2-b54a-ffad9df53cf4,,,,,52,0,0
1021,土曜,e7a5596f-7189-4b11-9d40-dfec3ca741b6,,,,,1021,0,0
22,日曜・祝日,5e334793-1cf2-4b26-bea5-2f5cb19b381e,,,,,22,0,0
231,平日（月～金）,f957ae82-a480-4ab4-b984-d7fe05cf9316,,,,,231,0,0
7362,日曜・祝日,bf1ee1d7-b02d-40a4-9d38-701ff7d75a35,,,,,7362,0,0
3611,土曜,832e21e9-dce3-4c34-99ff-f01bd585be1e,,,,,3611,0,0
361,土曜,1fd797a3-7c2c-4f22-af5f-7002359cce15,,,,,361,0,0
21,土曜,ba94af48-c65c-4624-bef6-043eb866343a,,,,,21,0,0
51,平日（月～金）,9d645eb1-a350-4be9-9b8c-2dd06fe2b59c,,,,,51,0,0
166,日曜・祝日,0d74961b-afa1-4266-bc34-62fcaad40097,,,,,166,0,0
203,平日（月～金）,366970d5-2347-43e9-b8c8-6ba7dfc94799,,,,,203,0,0
162,土曜,a95171d1-87ff-4631-9175-cab65ddc558c,,,,,162,0,0
231,土曜,a1a13546-d94e-4dd5-95e2-49c0bce33917,,,,,231,0,0
7363,日曜・祝日,1fe3aefb-fc0f-4ac4-be40-9753cd7b5799,,,,,7363,0,0
201,日曜・祝日,ee2be08c-4030-44b6-ac40-22393bcf835b,,,,,201,0,0
32,平日（月～金）,97deefdd-ce84-498d-9b9f-aafcdf67e62a,,,,,32,0,0
6166,平日（月～金）,95ef4176-987e-4e4b-9dbd-b11b3db79bb6,,,,,6166,0,0
231,土曜,456e9571-4b8a-4290-83a7-cd6870736a8b,,,,,231,0,0
231,土曜,5770d7f4-74eb-440f-b28c-dad0e05a1099,,,,,231,0,0
52,平日（月～金）,34b96bb3-c845-4a62-9baf-1a9fa16c35ba,,,,,52,0,0
52,日曜・祝日,fbb98161-b06f-475d-9b50-6a81d9bedd9d,,,,,52,0,0
241,平日（月～金）,fd5c8527-f62b-477c-8601-9f1ebc93850d,,,,,241,0,0
1021,土曜,0f19f813-f118-4929-9e0b-cb8e2bcdecd8,,,,,1021,0,0
51,日曜・祝日,4fd36f05-6484-44d7-861d-b27db5611852,,,,,51,0,0
204,土曜,0a1b8abb-47bf-453b-be40-c4164561acb8,,,,,204,0,0
1022,土曜,1ae7a158-f43c-4f86-9847-88810eebc7dc,,,,,1022,0,0
291,土曜,142d893b-ccd2-4ad7-96e0-ffe002c7684b,,,,,291,0,0
22,平日（月～金）,f119f996-70af-469c-a39e-2e95607609bb,,,,,22,0,0
61,日曜・祝日,85ba9f01-ad17-497d-8a79-5955a03eb3f2,,,,,61,0,0
1022,土曜,b97ab93b-2077-4c1e-b419-20a1661888f7,,,,,1022,0,0
291,日曜・祝日,5125244c-91cb-4334-a3fa-a6774cfff8bf,,,,,291,0,0
32,日曜・祝日,4aa454fd-1223-4c00-a50e-beea71a029ef,,,,,32,0,0
53,平日（月～金）,c5fb3329-9acd-4a7a-a219-118fac53a205,,,,,53,0,0
242,土曜,f795066c-8994-402e-ae71-2db5463f7e5b,,,,,242,0,0
204,平日（月～金）,ac3805c3-391a-49ca-92f2-6803ab4123ce,,,,,204,0,0
202,日曜・祝日,b2393f30-e3c2-4339-8098-cef5cad46692,,,,,202,0,0
232,土曜,f2aad348-0518-4f66-adc7-6f0cdcaaa670,,,,,232,0,0
22,平日（月～金）,d28bfa91-b9a0-4ed1-8cbe-37fe01d49394,,,,,22,0,0
4361,日曜・祝日,c181b518-996f-423b-8414-8819384cb489,,,,,4361,0,0
232,平日（月～金）,10260003-7df9-4f03-9564-0fa7992808bd,,,,,232,0,0
971,平日（月～金）,626c67ae-dbf7-4795-8b97-dd72e7210f27,,,,,971,0,0
1021,土曜,959b720b-7edc-4c37-b8fc-64c3cb866806,,,,,1021,0,0
31,平日（月～金）,60c69122-9538-480b-8983-7c212ca23c0a,,,,,31,0,0
203,平日（月～金）,63297860-1172-4536-b270-8faf79683321,,,,,203,0,0
162,平日（月～金）,dc681bb3-23c5-4480-b1a6-a69e8b72c64c,,,,,162,0,0
232,日曜・祝日,f0c3ada1-d8ff-4d5c-a540-1f692ca3437e,,,,,232,0,0
62,平日（月～金）,af496384-6d5f-46f0-959d-440732f93924,,,,,62,0,0
267,平日（月～金）,7ca44edd-29b5-4e8b-b852-d0d8d36af0f3,,,,,267,0,0
1022,土曜,187d2ea3-32c8-49aa-88f9-691200dee522,,,,,1022,0,0
1021,平日（月～金）,73d8bc9d-4344-4637-b8aa-14f11f6555c5,,,,,1021,0,0
203,土曜,3710f173-63a2-40fc-b0c0-37ccd3f3b1bb,,,,,203,0,0
162,日曜・祝日,154e1414-c3c8-44b3-85dc-5585111608ae,,,,,162,0,0
32,平日（月～金）,df1be425-8e53-436f-9549-6d997041f277,,,,,32,0,0
61,日曜・祝日,e1198424-a346-407d-849b-715435f9fb97,,,,,61,0,0
1021,土曜,71272b1e-dfa9-44c1-be6f-1d2273699f24,,,,,1021,0,0
161,土曜,f167a232-53dc-4866-9968-3e986a699289,,,,,161,0,0
31,平日（月～金）,7f45cc8a-0ea1-4087-9424-d7b6baed9c26,,,,,31,0,0
1021,土曜,88996add-f581-459d-ad9e-0bc6ce6e167f,,,,,1021,0,0
362,日曜・祝日,15c62f15-8611-4238-9278-1d4c295c4135,,,,,362,0,0
32,土曜,1ac41adb-6719-424d-bdda-3d5507fa799c,,,,,32,0,0
21,日曜・祝日,4f5a3704-09fc-4c49-a341-9123c5178837,,,,,21,0,0
6166,日曜・祝日,9cecd359-fc97-4776-bfe9-e4a61a777ac0,,,,,6166,0,0
21,日曜・祝日,d82988e5-c040-4141-87e4-e90578f04b50,,,,,21,0,0
31,土曜,479a36a5-f496-4517-936c-4dd52b752e2f,,,,,31,0,0
291,土曜,c64e136d-6e32-4f24-a090-14aed4820a53,,,,,291,0,0
21,平日（月～金）,a569a915-84aa-4aae-b787-a36b45b98cac,,,,,21,0,0
361,土曜,41c9f1e4-7242-4492-9130-c111eb5d590e,,,,,361,0,0
267,日曜・祝日,c0aa326b-61e2-480e-895a-09559544a9bd,,,,,267,0,0
971,日曜・祝日,ef48151b-76f9-4ebb-a647-75cf8bc30fa5,,,,,971,0,0
204,平日（月～金）,abc341af-d9fb-4881-a291-86ee352175a9,,,,,204,0,0
268,平日（月～金）,fb0f8beb-ddaa-4c4e-851c-a09f5a6c28ed,,,,,268,0,0
161,平日（月～金）,99d46375-9803-4beb-8db5-20de6a1c89db,,,,,161,0,0
31,土曜,b9a59a0d-a0ef-410c-9d86-3604f7ab1922,,,,,31,0,0
362,日曜・祝日,23dea898-c358-461b-ba3f-c7ddff9f4f92,,,,,362,0,0
31,平日（月～金）,157554f4-bce2-48ab-86d3-70a06137d71c,,,,,31,0,0
32,平日（月～金）,e2380750-a458-4e1d-9c10-a5f5f6ccbe19,,,,,32,0,0
62,土曜,de4083b8-cc3a-4183-a4dc-bd9f5baaf155,,,,,62,0,0
