fare_id,route_id,origin_id,destination_id,contains_id
2320001001013_140_00,4691,369 1,2003 1,
2320001001013_140_00,4691,2003 1,368 2,
2320001001013_140_00,2551,507 1,1992 2,
2320001001013_140_00,2551,507 1,471 1,
2320001001013_140_00,2551,507 1,472 1,
2320001001013_140_00,2551,507 1,473 0,
2320001001013_140_00,2551,478 1,477 1,
2320001001013_140_00,2551,478 1,476 1,
2320001001013_140_00,2551,478 1,2015 1,
2320001001013_140_00,2551,470 1,469 1,
2320001001013_140_00,2551,470 1,468 1,
2320001001013_140_00,2551,1992 2,471 1,
2320001001013_140_00,2551,1992 2,472 1,
2320001001013_140_00,2551,1992 2,473 0,
2320001001013_140_00,2551,466 1,463 1,
2320001001013_140_00,2551,466 1,465 1,
2320001001013_140_00,2551,466 1,464 1,
2320001001013_140_00,2551,477 1,476 1,
2320001001013_140_00,2551,463 1,462 1,
2320001001013_140_00,2551,465 1,463 1,
2320001001013_140_00,2551,465 1,464 1,
2320001001013_140_00,2551,467 1,466 1,
2320001001013_140_00,2551,467 1,463 1,
2320001001013_140_00,2551,467 1,465 1,
2320001001013_140_00,2551,467 1,464 1,
2320001001013_140_00,2551,469 1,468 1,
2320001001013_140_00,2551,464 1,463 1,
2320001001013_140_00,2551,464 1,462 1,
2320001001013_140_00,2551,468 1,466 1,
2320001001013_140_00,2551,468 1,467 1,
2320001001013_140_00,2551,475 1,507 1,
2320001001013_140_00,2551,475 1,1992 2,
2320001001013_140_00,2551,475 1,473 0,
2320001001013_140_00,2551,472 1,471 1,
2320001001013_140_00,2551,387 1,118 1,
2320001001013_140_00,2551,387 1,119 1,
2320001001013_140_00,2551,473 0,471 1,
2320001001013_140_00,2551,473 0,472 1,
2320001001013_140_00,2551,476 1,507 1,
2320001001013_140_00,2551,476 1,1992 2,
2320001001013_140_00,2551,476 1,475 1,
2320001001013_140_00,2551,476 1,473 0,
2320001001013_140_00,2551,2015 1,477 1,
2320001001013_140_00,2551,2015 1,476 1,
2320001001013_140_00,2551,462 1,388 1,
2320001001013_140_00,2551,462 1,346 2,
2320001001013_140_00,2551,388 1,387 1,
2320001001013_140_00,2551,346 2,387 1,
2320001001013_140_00,2551,346 2,388 1,
2320001001013_140_00,2551,119 1,118 1,
2320001001013_140_00,2610,368 1,2003 1,
2320001001013_140_00,2610,2003 1,369 1,
2320001001013_140_00,911,580 1,579 1,
2320001001013_140_00,911,576 1,575 1,
2320001001013_140_00,911,587 1,586 1,
2320001001013_140_00,911,587 1,585 1,
2320001001013_140_00,911,578 1,576 1,
2320001001013_140_00,911,578 1,577 1,
2320001001013_140_00,911,578 1,575 1,
2320001001013_140_00,911,584 1,583 1,
2320001001013_140_00,911,584 1,581 1,
2320001001013_140_00,911,584 1,582 1,
2320001001013_140_00,911,577 1,576 1,
2320001001013_140_00,911,577 1,575 1,
2320001001013_140_00,911,583 1,581 1,
2320001001013_140_00,911,583 1,582 1,
2320001001013_140_00,911,588 1,587 1,
2320001001013_140_00,911,579 1,576 1,
2320001001013_140_00,911,579 1,578 1,
2320001001013_140_00,911,579 1,577 1,
2320001001013_140_00,911,581 1,580 1,
2320001001013_140_00,911,581 1,579 1,
2320001001013_140_00,911,582 1,580 1,
2320001001013_140_00,911,582 1,579 1,
2320001001013_140_00,911,582 1,581 1,
2320001001013_140_00,911,586 1,585 1,
2320001001013_140_00,911,585 1,584 1,
2320001001013_140_00,911,585 1,583 1,
2320001001013_140_00,1131,658 1,657 1,
2320001001013_140_00,1131,658 1,656 1,
2320001001013_140_00,1131,658 1,655 1,
2320001001013_140_00,1131,665 1,664 1,
2320001001013_140_00,1131,657 1,656 1,
2320001001013_140_00,1131,657 1,655 1,
2320001001013_140_00,1131,666 1,665 1,
2320001001013_140_00,1131,666 1,664 1,
2320001001013_140_00,1131,656 1,655 1,
2320001001013_140_00,1131,669 1,668 1,
