trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
6471b87c-5d17-46a6-9789-0373fe3a1544,07:20:00,07:20:00,650 1,1,国東,0,1,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:21:00,07:21:00,649 1,2,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:22:00,07:22:00,648 2,3,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:23:00,07:23:00,647 1,4,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:24:00,07:24:00,646 2,5,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:24:00,07:24:00,645 2,6,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:28:00,07:28:00,644 1,7,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:29:00,07:29:00,643 2,8,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:29:00,07:29:00,642 1,9,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:30:00,07:30:00,641 1,10,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:31:00,07:31:00,640 1,11,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:31:00,07:31:00,1928 2,12,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:32:00,07:32:00,639 1,13,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:33:00,07:33:00,1922 2,14,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:33:00,07:33:00,638 1,15,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:34:00,07:34:00,637 1,16,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:35:00,07:35:00,636 2,17,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:37:00,07:37:00,635 1,18,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:38:00,07:38:00,634 2,19,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:39:00,07:39:00,633 2,20,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:40:00,07:40:00,632 2,21,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:41:00,07:41:00,631 2,22,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:42:00,07:42:00,630 1,23,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:43:00,07:43:00,629 1,24,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:44:00,07:44:00,628 1,25,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:45:00,07:45:00,627 2,26,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:46:00,07:46:00,626 1,27,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:47:00,07:47:00,625 1,28,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:47:00,07:47:00,624 2,29,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:48:00,07:48:00,623 1,30,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:50:00,07:50:00,622 2,31,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:51:00,07:51:00,621 1,32,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:52:00,07:52:00,620 1,33,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:53:00,07:53:00,619 1,34,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:54:00,07:54:00,618 1,35,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:55:00,07:55:00,617 1,36,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:56:00,07:56:00,616 1,37,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:57:00,07:57:00,615 1,38,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:57:00,07:57:00,614 1,39,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,07:59:00,07:59:00,613 1,40,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:00:00,08:00:00,2068 1,41,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:01:00,08:01:00,612 1,42,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:02:00,08:02:00,611 1,43,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:02:00,08:02:00,610 1,44,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:03:00,08:03:00,1953 1,45,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:04:00,08:04:00,567 2,46,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:04:00,08:04:00,566 2,47,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:05:00,08:05:00,1705 2,48,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:06:00,08:06:00,551 2,49,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:08:00,08:08:00,384 2,50,国東,0,0,,
6471b87c-5d17-46a6-9789-0373fe3a1544,08:13:00,08:13:00,386 0,51,国東,1,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:00:00,18:00:00,328 1,1,杵築バスターミナル,0,1,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:01:00,18:01:00,329 1,2,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:02:00,18:02:00,330 1,3,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:03:00,18:03:00,331 1,4,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:05:00,18:05:00,332 3,5,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:06:00,18:06:00,337 1,6,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:06:00,18:06:00,338 1,7,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:07:00,18:07:00,339 1,8,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:08:00,18:08:00,2016 1,9,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:08:00,18:08:00,2017 1,10,杵築バスターミナル,0,0,,
c6cff706-98b1-4971-8dbf-037b28d30b9e,18:09:00,18:09:00,2018 1,11,杵築バスターミナル,0,0,,
