stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
100 1,,会下,,33.3763355,131.5486424,100 1,,0,,,,
100 2,,会下,,33.3762252,131.5487771,100 2,,0,,,,
101 1,,無田,,33.3782229,131.5526783,101 1,,0,,,,
101 2,,無田,,33.3781573,131.5526917,101 2,,0,,,,
102 1,,千騎,,33.3781268,131.5575486,102 1,,0,,,,
102 2,,千騎,,33.3780435,131.5575755,102 2,,0,,,,
103 1,,大神,,33.3779306,131.5646553,103 1,,0,,,,
103 2,,大神,,33.3779032,131.5649417,103 2,,0,,,,
104 1,,水家,,33.3783532,131.567385,104 1,,0,,,,
104 2,,水家,,33.3782416,131.5672531,104 2,,0,,,,
105 1,,大神駅前,,33.3840569,131.57336,105 1,,0,,,,
105 2,,大神駅前,,33.384952,131.5738792,105 2,,0,,,,
106 1,,相原,,33.3906849,131.5807888,106 1,,0,,,,
106 2,,相原,,33.3906304,131.5808667,106 2,,0,,,,
107 1,,照川,,33.3946054,131.5862392,107 1,,0,,,,
107 2,,照川,,33.3941566,131.5859761,107 2,,0,,,,
108 1,,上野田,,33.3968335,131.5911842,108 1,,0,,,,
108 2,,上野田,,33.3967224,131.5912885,108 2,,0,,,,
109 1,,みのり村前,,33.3949887,131.5970734,109 1,,0,,,,
109 2,,みのり村前,,33.3948823,131.5968243,109 2,,0,,,,
110 1,,野田,,33.3967072,131.6021756,110 1,,0,,,,
110 2,,野田,,33.3960682,131.6006925,110 2,,0,,,,
111 1,,下野田,,33.3987204,131.6054431,111 1,,0,,,,
111 2,,下野田,,33.3987457,131.6057816,111 2,,0,,,,
112 1,,猪尾口,,33.4004783,131.6078414,112 1,,0,,,,
112 2,,猪尾口,,33.3998131,131.608219,112 2,,0,,,,
113 1,,三河入口,,33.4033234,131.6098842,113 1,,0,,,,
113 2,,三河入口,,33.4036756,131.610242,113 2,,0,,,,
114 1,,錦江橋,,33.4087809,131.6162549,114 1,,0,,,,
114 2,,錦江橋,,33.408566,131.6159965,114 2,,0,,,,
115 1,,錦江橋北詰,,33.4124534,131.6166618,115 1,,0,,,,
115 2,,錦江橋北詰,,33.4124065,131.6169456,115 2,,0,,,,
116 0,,据場,,33.4132084,131.6191074,116 0,,0,,,,
116 1,,据場,,33.4131559,131.6191611,116 1,,0,,,,
117 0,,魚町,,33.4146998,131.6208932,117 0,,0,,,,
117 1,,魚町,,33.4145632,131.6209214,117 1,,0,,,,
118 0,,杵築城入口,,33.4161902,131.6229817,118 0,,0,,,,
118 1,,杵築城入口,,33.416148,131.6230373,118 1,,0,,,,
119 0,,杵築バスターミナル,,33.41877,131.6227298,119 0,,0,,,,
119 1,,杵築バスターミナル,,33.418771,131.6227314,119 1,,0,,,,
119 2,,杵築バスターミナル,,33.4187597,131.6227139,119 2,,0,,,,
1703 0,,杵築高校前,,33.41906814,131.6026133,1703 0,,0,,,,
1704 0,,国東中学校前,,33.5754751,131.7298899,1704 0,,0,,,,
1704 1,,国東中学校前,,33.5753724,131.7298148,1704 1,,0,,,,
1705 1,,国東市役所前,,33.5634599,131.7326752,1705 1,,0,,,,
1705 2,,国東市役所前,,33.5624387,131.7329171,1705 2,,0,,,,
1802 1,,黒津崎海岸,,33.5384102,131.7377848,1802 1,,0,,,,
1802 2,,黒津崎海岸,,33.5383778,131.7379248,1802 2,,0,,,,
1803 1,,黒津崎,,33.5430231,131.7399744,1803 1,,0,,,,
1803 2,,黒津崎,,33.5428855,131.7401207,1803 2,,0,,,,
1810 1,,新大内,,33.422716,131.6310299,1810 1,,0,,,,
1810 2,,新大内,,33.4225428,131.6308654,1810 2,,0,,,,
1852 1,,大分キヤノン前,,33.47240609,131.729993,1852 1,,0,,,,
1852 2,,大分キヤノン前,,33.4723481,131.7298946,1852 2,,0,,,,
1853 0,,国東市民病院前,,33.4682205,131.7210782,1853 0,,0,,,,
1853 1,,国東市民病院前,,33.4682163,131.7210758,1853 1,,0,,,,
1881 0,,国東港,,33.5683687,131.7349226,1881 0,,0,,,,
1881 1,,国東港,,33.5683764,131.7349214,1881 1,,0,,,,
1881 2,,国東港,,33.5685852,131.7345642,1881 2,,0,,,,
1885 1,,杵築中学校前,,33.4179365,131.6271029,1885 1,,0,,,,
1885 2,,杵築中学校前,,33.4178545,131.6270529,1885 2,,0,,,,
1891 1,,臥温,,33.4209072,131.6187492,1891 1,,0,,,,
1891 2,,臥温,,33.4210504,131.6182606,1891 2,,0,,,,
1894 1,,楓江団地前,,33.4739297,131.7241491,1894 1,,0,,,,
1894 2,,楓江団地前,,33.4739771,131.7237201,1894 2,,0,,,,
1896 1,,三川,,33.4061819,131.6113823,1896 1,,0,,,,
1896 2,,三川,,33.4058552,131.6112739,1896 2,,0,,,,
1922 1,,国見海洋センター前,,33.6797825,131.6056001,1922 1,,0,,,,
1922 2,,国見海洋センター前,,33.6799387,131.6056377,1922 2,,0,,,,
1927 0,,下浜中,,33.6844752,131.5987305,1927 0,,0,,,,
1927 1,,下浜中,,33.6844674,131.5986219,1927 1,,0,,,,
1928 1,,国見郵便局前,,33.6816984,131.5973335,1928 1,,0,,,,
1928 2,,国見郵便局前,,33.6817486,131.5972544,1928 2,,0,,,,
1937 0,,ハーモニーランド,,33.399246,131.546494,1937 0,,0,,,,
1937 1,,ハーモニーランド,,33.399246,131.546494,1937 1,,0,,,,
1946 1,,柑橘試験場入口,,33.5392965,131.7313299,1946 1,,0,,,,
1953 1,,安ヶ浜,,33.5726899,131.7321039,1953 1,,0,,,,
1985 1,,日出総合高校,,33.3865768,131.5675819,1985 1,,0,,,,
1987 1,,緑町,,33.4190506,131.6814317,1987 1,,0,,,,
1987 2,,緑町,,33.4187986,131.6808205,1987 2,,0,,,,
1992 1,,安岐町役場前,,33.4663438,131.6921962,1992 1,,0,,,,
1992 2,,安岐町役場前,,33.4662935,131.6920943,1992 2,,0,,,,
2003 1,,ハイテクタウン向陽台,,33.4801323,131.7100109,2003 1,,0,,,,
2006 0,,暘谷駅前,,33.3706656,131.5313368,2006 0,,0,,,,
2006 1,,暘谷駅前,,33.3706656,131.5313368,2006 1,,0,,,,
2015 1,,上中村,,33.4652763,131.7098313,2015 1,,0,,,,
2016 1,,杵築商工会前,,33.4174943,131.6131459,2016 1,,0,,,,
2016 2,,杵築商工会前,,33.4174064,131.6131647,2016 2,,0,,,,
2017 1,,杵築市役所前,,33.4173921,131.6160949,2017 1,,0,,,,
2017 2,,杵築市役所前,,33.4173261,131.6160607,2017 2,,0,,,,
2018 1,,酢屋の坂,,33.4163319,131.619496,2018 1,,0,,,,
2018 2,,酢屋の坂,,33.4162558,131.6194812,2018 2,,0,,,,
2019 1,,大分県信用組合前,,33.4159214,131.6206325,2019 1,,0,,,,
2019 2,,大分県信用組合前,,33.4158419,131.6206043,2019 2,,0,,,,
2030 1,,上糸原,,33.486953,131.7207092,2030 1,,0,,,,
2030 2,,上糸原,,33.4878854,131.7215363,2030 2,,0,,,,
2052 0,,岩戸寺上,,33.6126832,131.6155253,2052 0,,0,,,,
2052 1,,岩戸寺上,,33.6125793,131.6155736,2052 1,,0,,,,
2068 1,,尾本,,33.5883408,131.7249425,2068 1,,0,,,,
2126 1,,国見中学校,,33.6799576,131.5963495,2126 1,,0,,,,
326 1,,下川久保,,33.4127097,131.5528776,326 1,,0,,,,
327 1,,大左右,,33.4121299,131.5626689,327 1,,0,,,,
327 2,,大左右,,33.4120515,131.5626676,327 2,,0,,,,
328 0,,杵築駅前,,33.4108355,131.5754038,328 0,,0,,,,
328 1,,杵築駅前,,33.4108355,131.5754072,328 1,,0,,,,
328 2,,杵築駅前,,33.4108355,131.5754072,328 2,,0,,,,
329 0,,熊丸,,33.4101768,131.5818582,329 0,,0,,,,
329 1,,熊丸,,33.4106205,131.5824274,329 1,,0,,,,
330 1,,八坂,,33.4136912,131.5874109,330 1,,0,,,,
330 2,,八坂,,33.4139141,131.5878116,330 2,,0,,,,
331 1,,本庄,,33.4164999,131.5917909,331 1,,0,,,,
331 2,,本庄,,33.4169751,131.5929421,331 2,,0,,,,
332 1,,穴井,,33.418848,131.5982623,332 1,,0,,,,
332 2,,穴井,,33.4190161,131.5984919,332 2,,0,,,,
332 3,,穴井,,33.4188527,131.5982559,332 3,,0,,,,
332 4,,穴井,,33.4190161,131.5984919,332 4,,0,,,,
333 1,,中平,,33.4208779,131.6011517,333 1,,0,,,,
333 2,,中平,,33.4207411,131.6010496,333 2,,0,,,,
334 1,,祇園,,33.4199922,131.6056554,334 1,,0,,,,
334 2,,祇園,,33.4199238,131.6055943,334 2,,0,,,,
335 1,,守末,,33.4211602,131.6104516,335 1,,0,,,,
335 2,,守末,,33.4207361,131.6098778,335 2,,0,,,,
336 1,,若宮入口,,33.4223426,131.6129665,336 1,,0,,,,
336 2,,若宮入口,,33.422226,131.6129281,336 2,,0,,,,
337 0,,杵築高校入口,,33.4175258,131.6040439,337 0,,0,,,,
337 1,,杵築高校入口,,33.417596,131.6040965,337 1,,0,,,,
337 2,,杵築高校入口,,33.4175252,131.6040519,337 2,,0,,,,
338 1,,宗近,,33.4174151,131.60631,338 1,,0,,,,
338 2,,宗近,,33.4173323,131.6063127,338 2,,0,,,,
339 1,,新道,,33.4172835,131.6099674,339 1,,0,,,,
339 2,,新道,,33.4172007,131.6099567,339 2,,0,,,,
346 1,,大内,,33.4274995,131.6315482,346 1,,0,,,,
346 2,,大内,,33.4274517,131.6315448,346 2,,0,,,,
347 1,,大西,,33.4219285,131.643773,347 1,,0,,,,
347 2,,大西,,33.4218234,131.6433548,347 2,,0,,,,
348 1,,灘手,,33.4210949,131.6484944,348 1,,0,,,,
348 2,,灘手,,33.4210242,131.6483175,348 2,,0,,,,
349 1,,王子,,33.4237853,131.6580961,349 1,,0,,,,
349 2,,王子,,33.4236516,131.6579617,349 2,,0,,,,
350 1,,守江,,33.4224964,131.6631666,350 1,,0,,,,
350 2,,守江,,33.4218668,131.6637809,350 2,,0,,,,
351 1,,天村,,33.4199623,131.6671095,351 1,,0,,,,
351 2,,天村,,33.4199372,131.6665635,351 2,,0,,,,
352 1,,住吉浜入口,,33.4182572,131.673423,352 1,,0,,,,
352 2,,住吉浜入口,,33.41851086,131.6727836,352 2,,0,,,,
353 1,,狩宿,,33.4205844,131.6862685,353 1,,0,,,,
353 2,,狩宿,,33.4205555,131.6863998,353 2,,0,,,,
354 1,,美里,,33.4224384,131.6919649,354 1,,0,,,,
354 2,,美里,,33.4223235,131.691842,354 2,,0,,,,
355 1,,大塚,,33.4221435,131.6956268,355 1,,0,,,,
355 2,,大塚,,33.421949,131.695927,355 2,,0,,,,
356 1,,奈多八幡,,33.426119,131.7038405,356 1,,0,,,,
356 2,,奈多八幡,,33.4256354,131.7038541,356 2,,0,,,,
357 1,,北奈多,,33.4351394,131.7071395,357 1,,0,,,,
357 2,,北奈多,,33.4347308,131.70711,357 2,,0,,,,
358 1,,室屋,,33.4382815,131.7086351,358 1,,0,,,,
358 2,,室屋,,33.4381215,131.7086448,358 2,,0,,,,
359 1,,志口,,33.4458346,131.715152,359 1,,0,,,,
359 2,,志口,,33.4455579,131.7150653,359 2,,0,,,,
360 1,,塩屋,,33.4537975,131.720809,360 1,,0,,,,
360 2,,塩屋,,33.4530349,131.7212389,360 2,,0,,,,
361 0,,安岐,,33.4588726,131.719616,361 0,,0,,,,
361 1,,安岐,,33.4584198,131.7195508,361 1,,0,,,,
361 2,,安岐,,33.458872,131.7196186,361 2,,0,,,,
361 3,,安岐,,33.4584289,131.7195368,361 3,,0,,,,
362 1,,恵比須町,,33.461332,131.7197659,362 1,,0,,,,
362 2,,恵比須町,,33.4613076,131.7198622,362 2,,0,,,,
363 1,,安岐湊局前,,33.4633543,131.7207724,363 1,,0,,,,
363 2,,安岐湊局前,,33.4633973,131.7208981,363 2,,0,,,,
363 3,,安岐湊局前,,33.4632192,131.7202651,363 3,,0,,,,
367 1,,大分空港,,33.4759315,131.7323477,367 1,,0,,,,
368 1,,小城入口,,33.4819942,131.7189939,368 1,,0,,,,
368 2,,小城入口,,33.4821139,131.7189238,368 2,,0,,,,
369 1,,南糸原,,33.4849285,131.7197485,369 1,,0,,,,
370 1,,つつじヶ丘団地前,,33.4910145,131.7226395,370 1,,0,,,,
370 2,,つつじヶ丘団地前,,33.4909722,131.7227683,370 2,,0,,,,
371 1,,糸原,,33.4944553,131.7215142,371 1,,0,,,,
371 2,,糸原,,33.4944697,131.7216176,371 2,,0,,,,
372 1,,下糸原,,33.4969893,131.7230183,372 1,,0,,,,
373 1,,武蔵古市,,33.4991777,131.7238843,373 1,,0,,,,
373 2,,武蔵古市,,33.4991741,131.723961,373 2,,0,,,,
374 1,,武蔵,,33.5011113,131.7239037,374 1,,0,,,,
374 2,,武蔵,,33.5017673,131.7240081,374 2,,0,,,,
375 1,,花山団地前,,33.5062923,131.7240459,375 1,,0,,,,
376 1,,内田,,33.5095161,131.7242376,376 1,,0,,,,
377 1,,池の内,,33.5156382,131.7251386,377 1,,0,,,,
377 2,,池の内,,33.5158529,131.7252598,377 2,,0,,,,
378 1,,重藤,,33.5220039,131.7257235,378 1,,0,,,,
378 2,,重藤,,33.5219121,131.7257839,378 2,,0,,,,
379 1,,綱井,,33.5266725,131.7261966,379 1,,0,,,,
379 2,,綱井,,33.5266039,131.7262958,379 2,,0,,,,
38 1,,日出役場前,,33.3689984,131.5322081,38 1,,0,,,,
38 2,,日出役場前,,33.3689251,131.5321907,38 2,,0,,,,
380 1,,旭日小学校前,,33.5298999,131.7261769,380 1,,0,,,,
381 1,,治郎丸,,33.5351949,131.7276294,381 1,,0,,,,
381 2,,治郎丸,,33.5343821,131.7275804,381 2,,0,,,,
384 1,,小原,,33.5501679,131.7344919,384 1,,0,,,,
384 2,,小原,,33.5493353,131.7346996,384 2,,0,,,,
386 0,,国東,,33.5599827,131.7383097,386 0,,0,,,,
386 1,,国東,,33.5599827,131.7383097,386 1,,0,,,,
386 2,,国東,,33.56,131.7382937,386 2,,0,,,,
387 1,,永代橋,,33.4234335,131.6237191,387 1,,0,,,,
388 1,,大内小学校前,,33.425704,131.6289732,388 1,,0,,,,
39 1,,日出本町,,33.3697034,131.5341562,39 1,,0,,,,
39 2,,日出本町,,33.3702202,131.5342124,39 2,,0,,,,
40 0,,日出,,33.3729744,131.5354987,40 0,,0,,,,
40 1,,日出,,33.3729744,131.5354987,40 1,,0,,,,
40 2,,日出,,33.3730325,131.5349527,40 2,,0,,,,
40 3,,日出,,33.3732433,131.5347571,40 3,,0,,,,
41 1,,鰐沢,,33.3775591,131.5392011,41 1,,0,,,,
41 2,,鰐沢,,33.3774829,131.5394076,41 2,,0,,,,
42 1,,和泉,,33.3813933,131.5404082,42 1,,0,,,,
42 2,,和泉,,33.3813351,131.5406603,42 2,,0,,,,
43 1,,釈迦堂,,33.3876009,131.5456566,43 1,,0,,,,
43 2,,釈迦堂,,33.3874822,131.5457451,43 2,,0,,,,
44 1,,藤原小学校入口,,33.3910441,131.5479699,44 1,,0,,,,
44 2,,藤原小学校入口,,33.3910172,131.5482006,44 2,,0,,,,
45 1,,赤松峠,,33.3984094,131.5478365,45 1,,0,,,,
45 2,,赤松峠,,33.3985885,131.5480136,45 2,,0,,,,
46 1,,沼津入口,,33.4011229,131.5430104,46 1,,0,,,,
46 2,,沼津入口,,33.4020141,131.5440485,46 2,,0,,,,
462 1,,小狭間入口,,33.4356773,131.6348665,462 1,,0,,,,
463 1,,藤川公民館前,,33.437215,131.6379753,463 1,,0,,,,
464 1,,藤の川,,33.437951,131.6412919,464 1,,0,,,,
465 1,,茅場,,33.4378915,131.646569,465 1,,0,,,,
