trans_id,lang,translation
奈多八幡,ja,奈多八幡
奈多八幡,zh-cn,奈多八幡
奈多八幡,zh-tw,奈多八幡
奈多八幡,ko,나타 하치만
奈多八幡,ja-Hrkt,ﾅﾀﾞﾊﾁﾏﾝ
奈多八幡,en,Nada Hachiman
清水,ja,清水
清水,zh-cn,清水
清水,zh-tw,清水
清水,ko,시미즈
清水,ja-Hrkt,ｼﾐｽﾞ
清水,en,Shimizu
大平,ja,大平
大平,zh-cn,大平
大平,zh-tw,大平
大平,ko,대평
大平,ja-Hrkt,ｵｵﾋﾗ
大平,en,Ohira
浜町,ja,浜町
浜町,zh-cn,滨町
浜町,zh-tw,濱町
浜町,ko,하마마치
浜町,ja-Hrkt,ﾊﾏﾏﾁ
浜町,en,Hamachi
亀川駅前,ja,亀川駅前
亀川駅前,zh-cn,龟川站前
亀川駅前,zh-tw,龜川站前
亀川駅前,ko,카메가와역 앞
亀川駅前,ja-Hrkt,ｶﾒｶﾞﾜｴｷﾏｴ
亀川駅前,en,Kamegawa Ekimae
南須賀入口,ja,南須賀入口
南須賀入口,zh-cn,南须贺入口
南須賀入口,zh-tw,南須賀入口
南須賀入口,ko,미나미스카 입구
南須賀入口,ja-Hrkt,ﾐﾅﾐｽｶﾞｲﾘｸﾞﾁ
南須賀入口,en,Minamisugiriguchi
春日浦,ja,春日浦
春日浦,zh-cn,春日浦
春日浦,zh-tw,春日浦
春日浦,ko,카스가우라
春日浦,ja-Hrkt,ｶｽｶﾞｳﾗ
春日浦,en,Kasugaura
岐部農協前,ja,岐部農協前
岐部農協前,zh-cn,岐部农协前
岐部農協前,zh-tw,岐部農協前
岐部農協前,ko,기부 농협 앞
岐部農協前,ja-Hrkt,ｷﾍﾞﾉｳｷｮｳﾏｴ
岐部農協前,en,KibeNoukyou mae
穴井,ja,穴井
穴井,zh-cn,穴井
穴井,zh-tw,穴井
穴井,ko,천정
穴井,ja-Hrkt,ｱﾅｲ
穴井,en,Anai
豊岡,ja,豊岡
豊岡,zh-cn,丰冈
豊岡,zh-tw,豐岡
豊岡,ko,도요오카
豊岡,ja-Hrkt,ﾄﾖｵｶ
豊岡,en,Toyooka
住吉浜入口,ja,住吉浜入口
住吉浜入口,zh-cn,住吉滨入口
住吉浜入口,zh-tw,住吉濱入口
住吉浜入口,ko,스미요시하마 입구
住吉浜入口,ja-Hrkt,ｽﾐﾖｼﾊﾏｲﾘｸﾞﾁ
住吉浜入口,en,sumiyoshihamairiguchi
桜町,ja,桜町
桜町,zh-cn,樱町
桜町,zh-tw,櫻町
桜町,ko,사쿠라마치
桜町,ja-Hrkt,ｻｸﾗﾏﾁ
桜町,en,Sakuramachi
長浜,ja,長浜
長浜,zh-cn,长滨
長浜,zh-tw,長濱
長浜,ko,나가하마
長浜,ja-Hrkt,ﾅｶﾞﾊﾏ
長浜,en,Nagahama
安岐,ja,安岐
安岐,zh-cn,安岐
安岐,zh-tw,安岐
安岐,ko,아키
安岐,ja-Hrkt,ｱｷ
安岐,en,Aki
田の浦,ja,田の浦
田の浦,zh-cn,田浦
田の浦,zh-tw,田浦
田の浦,ko,타노우라
田の浦,ja-Hrkt,ﾀﾉｳﾗ
田の浦,en,Tanoura
照川,ja,照川
照川,zh-cn,照川
照川,zh-tw,照川
照川,ko,데루가와
照川,ja-Hrkt,ﾃﾙｶﾜ
照川,en,Terukawa
小城入口,ja,小城入口
小城入口,zh-cn,小城入口
小城入口,zh-tw,小城入口
小城入口,ko,오기 입구
小城入口,ja-Hrkt,ｵｷﾞｲﾘｸﾞﾁ
小城入口,en,Ogiiriguchi
流川ゆめタウン前,ja,流川ゆめタウン前
流川ゆめタウン前,zh-cn,流川YumeTown前
流川ゆめタウン前,zh-tw,流川YumeTown前
流川ゆめタウン前,ko,유가와 유메 타운 앞
流川ゆめタウン前,ja-Hrkt,ﾅｶﾞﾚｶﾜﾕﾒﾀｳﾝﾏｴ
流川ゆめタウン前,en,Nagarekawa YumeTown mae
安ヶ浜,ja,安ヶ浜
安ヶ浜,zh-cn,安滨
安ヶ浜,zh-tw,安濱
安ヶ浜,ko,야스가하마
安ヶ浜,ja-Hrkt,ﾔｽｶﾞﾊﾏ
安ヶ浜,en,Yasugahama
黒津崎,ja,黒津崎
黒津崎,zh-cn,黑津崎
黒津崎,zh-tw,黑津崎
黒津崎,ko,구로쓰자키
黒津崎,ja-Hrkt,ｸﾛﾂｻﾞｷ
黒津崎,en,Kurotsuzaki
小浦,ja,小浦
小浦,zh-cn,小浦
小浦,zh-tw,小浦
小浦,ko,코우라
小浦,ja-Hrkt,ｺｳﾗ
小浦,en,Koura
新大内,ja,新大内
新大内,zh-cn,新大内
新大内,zh-tw,新大內
新大内,ko,신오우치
新大内,ja-Hrkt,ｼﾝｵｵｳﾁ
新大内,en,ShinOhuchi
千騎,ja,千騎
千騎,zh-cn,千骑
千騎,zh-tw,千騎
千騎,ko,천기
千騎,ja-Hrkt,ｾﾝｷﾞ
千騎,en,Sengi
立野,ja,立野
立野,zh-cn,立野
立野,zh-tw,立野
立野,ko,다테노
立野,ja-Hrkt,ﾀﾂﾉ
立野,en,Tatsuno
中平,ja,中平
中平,zh-cn,中平
中平,zh-tw,中平
中平,ko,중평
中平,ja-Hrkt,ﾅｶﾋﾗ
中平,en,Nakahira
守江,ja,守江
守江,zh-cn,守江
守江,zh-tw,守江
守江,ko,모리에
守江,ja-Hrkt,ﾓﾘｴ
守江,en,Morie
荷揚町,ja,荷揚町
荷揚町,zh-cn,荷揚町
荷揚町,zh-tw,荷揚町
荷揚町,ko,하양초
荷揚町,ja-Hrkt,ﾆｱｹﾞﾏﾁ
荷揚町,en,Niagemachi
泉慶寺前,ja,泉慶寺前
泉慶寺前,zh-cn,泉慶寺前
泉慶寺前,zh-tw,泉慶寺前
泉慶寺前,ko,센케이지마에
泉慶寺前,ja-Hrkt,ｾﾝｹｲｼﾞﾏｴ
泉慶寺前,en,Senkeiji mae
据場,ja,据場
据場,zh-cn,据场
据場,zh-tw,据場
据場,ko,설치장
据場,ja-Hrkt,ｽｴﾊﾞ
据場,en,Sueba
藤原小学校入口,ja,藤原小学校入口
藤原小学校入口,zh-cn,藤原小学入口
藤原小学校入口,zh-tw,藤原小學入口
藤原小学校入口,ko,후지와라 초등학교 입구
藤原小学校入口,ja-Hrkt,ﾌｼﾞﾜﾗｼｮｳｶﾞｯｺｳｲﾘｸﾞﾁ
藤原小学校入口,en,Fujiwarashogakkouiriguchi
松寿園前,ja,松寿園前
松寿園前,zh-cn,松寿园前
松寿園前,zh-tw,松寿園前
松寿園前,ko,송수원 앞
松寿園前,ja-Hrkt,ｼｮｳｼﾞｭｴﾝﾏｴ
松寿園前,en,Shojuen mae
国見小学校前,ja,国見小学校前
国見小学校前,zh-cn,国见小学前
国見小学校前,zh-tw,國見小學前
国見小学校前,ko,쿠니미 초등학교 앞
国見小学校前,ja-Hrkt,ｸﾆﾐｼｮｳｶﾞｯｺｳﾏｴ
国見小学校前,en,Kunimishogakko mae
小原,ja,小原
小原,zh-cn,小原
小原,zh-tw,小原
小原,ko,오바라
小原,ja-Hrkt,ｵﾜﾗ
小原,en,Owara
国見郵便局前,ja,国見郵便局前
国見郵便局前,zh-cn,国见邮局前
国見郵便局前,zh-tw,國見郵局前
国見郵便局前,ko,쿠니미우체국 앞
国見郵便局前,ja-Hrkt,ｸﾆﾐﾕｳﾋﾞﾝｷｮｸﾏｴ
国見郵便局前,en,KunimiYubinKyoku mae
沼津入口,ja,沼津入口
沼津入口,zh-cn,沼津入口
沼津入口,zh-tw,沼津入口
沼津入口,ko,누마즈 입구
沼津入口,ja-Hrkt,ﾇﾏﾂﾞｲﾘｸﾞﾁ
沼津入口,en,Numazu Iriguchi
無田,ja,無田
無田,zh-cn,无田
無田,zh-tw,無田
無田,ko,무다
無田,ja-Hrkt,ﾑﾀ
無田,en,Muta
吉木,ja,吉木
吉木,zh-cn,吉木
吉木,zh-tw,吉木
吉木,ko,요시키
吉木,ja-Hrkt,ﾖｼｷ
吉木,en,Yoshiki
的ヶ浜公園前,ja,的ヶ浜公園前
的ヶ浜公園前,zh-cn,的滨公园前
的ヶ浜公園前,zh-tw,的濱公園前
的ヶ浜公園前,ko,나카가하마 공원 앞
的ヶ浜公園前,ja-Hrkt,ﾏﾄｶﾞﾊﾏｺｳｴﾝﾏｴ
的ヶ浜公園前,en,matogahamakouen mae
大内,ja,大内
大内,zh-cn,大内
大内,zh-tw,大內
大内,ko,오우치
大内,ja-Hrkt,ｵｵｳﾁ
大内,en,Ouchi
亀川新川,ja,亀川新川
亀川新川,zh-cn,龟川新川
亀川新川,zh-tw,龜川新川
亀川新川,ko,카메가와 신카와
亀川新川,ja-Hrkt,ｶﾒｶﾞﾜｼﾝｶﾜ
亀川新川,en,Kamegawa Shinkawa
国東高校前,ja,国東高校前
国東高校前,zh-cn,国东高中前
国東高校前,zh-tw,國東高中前
国東高校前,ko,국동 고등학교 앞
国東高校前,ja-Hrkt,ｸﾆｻｷｺｳｺｳﾏｴ
国東高校前,en,Kunisaki Kouko mae
杵築駅前,ja,杵築駅前
杵築駅前,zh-cn,杵筑站前
杵築駅前,zh-tw,杵築站前
杵築駅前,ko,기츠키역 앞
杵築駅前,ja-Hrkt,ｷﾂｷｴｷﾏｴ
杵築駅前,en,Kitsuki Ekimae
六勝園・別府海浜砂湯前,ja,六勝園・別府海浜砂湯前
六勝園・別府海浜砂湯前,zh-cn,六勝园和别府海滩沙浴前
六勝園・別府海浜砂湯前,zh-tw,六勝園和別府海灘沙浴前
六勝園・別府海浜砂湯前,ko,롯카츠엔・벳푸 해변 사탕 앞
六勝園・別府海浜砂湯前,ja-Hrkt,ﾛｸｼｮｳｴﾝ・ﾍﾞｯﾌﾟｶｲﾋﾝｽﾅﾕﾏｴ
六勝園・別府海浜砂湯前,en,Rokushoen Beppkaihinsunayu mae
別府交通センタ－,ja,別府交通センタ－
別府交通センタ－,zh-cn,别府交通中心
別府交通センタ－,zh-tw,別府交通中心
別府交通センタ－,ko,벳푸 교통 센터-
別府交通センタ－,ja-Hrkt,ﾍﾞｯﾌﾟｺｳﾂｳｾﾝﾀｰ
別府交通センタ－,en,Beppu Kotsu Center
藤の川,ja,藤の川
藤の川,zh-cn,藤之川
藤の川,zh-tw,藤之川
藤の川,ko,등나무 강
藤の川,ja-Hrkt,ﾌｼﾞﾉｶﾜ
藤の川,en,Fujinokawa
本富来,ja,本富来
本富来,zh-cn,本富来
本富来,zh-tw,本富来
本富来,ko,모토 토미
本富来,ja-Hrkt,ﾎﾝﾄﾐｸ
本富来,en,Hontomiku
新町,ja,新町
新町,zh-cn,新町
新町,zh-tw,新町
新町,ko,신마치
新町,ja-Hrkt,ｼﾝﾏﾁ
新町,en,Shinmachi
別府浜町,ja,別府浜町
別府浜町,zh-cn,别府滨町
別府浜町,zh-tw,別府濱町
