service_id,date,exception_type
日曜・祝日,20250429,1
平日（月～金）,20250429,2
土曜,20250429,2
日曜・祝日,20250503,1
平日（月～金）,20250503,2
土曜,20250503,2
日曜・祝日,20250504,1
平日（月～金）,20250504,2
土曜,20250504,2
日曜・祝日,20250505,1
平日（月～金）,20250505,2
土曜,20250505,2
日曜・祝日,20250506,1
平日（月～金）,20250506,2
土曜,20250506,2
日曜・祝日,20250721,1
平日（月～金）,20250721,2
土曜,20250721,2
日曜・祝日,20250811,1
平日（月～金）,20250811,2
土曜,20250811,2
日曜・祝日,20250915,1
平日（月～金）,20250915,2
土曜,20250915,2
日曜・祝日,20250923,1
平日（月～金）,20250923,2
土曜,20250923,2
日曜・祝日,20251013,1
平日（月～金）,20251013,2
土曜,20251013,2
日曜・祝日,20251103,1
平日（月～金）,20251103,2
土曜,20251103,2
日曜・祝日,20251123,1
平日（月～金）,20251123,2
土曜,20251123,2
日曜・祝日,20251124,1
平日（月～金）,20251124,2
土曜,20251124,2
日曜・祝日,20260101,1
平日（月～金）,20260101,2
土曜,20260101,2
日曜・祝日,20260112,1
平日（月～金）,20260112,2
土曜,20260112,2
日曜・祝日,20260211,1
平日（月～金）,20260211,2
土曜,20260211,2
日曜・祝日,20260223,1
平日（月～金）,20260223,2
土曜,20260223,2
日曜・祝日,20260320,1
平日（月～金）,20260320,2
土曜,20260320,2
日曜・祝日,20260429,1
平日（月～金）,20260429,2
土曜,20260429,2
日曜・祝日,20260503,1
平日（月～金）,20260503,2
土曜,20260503,2
日曜・祝日,20260504,1
平日（月～金）,20260504,2
土曜,20260504,2
日曜・祝日,20260505,1
平日（月～金）,20260505,2
土曜,20260505,2
日曜・祝日,20260506,1
平日（月～金）,20260506,2
土曜,20260506,2
日曜・祝日,20260720,1
平日（月～金）,20260720,2
土曜,20260720,2
日曜・祝日,20260811,1
平日（月～金）,20260811,2
土曜,20260811,2
日曜・祝日,20260921,1
平日（月～金）,20260921,2
土曜,20260921,2
日曜・祝日,20260922,1
平日（月～金）,20260922,2
土曜,20260922,2
日曜・祝日,20260923,1
平日（月～金）,20260923,2
土曜,20260923,2
日曜・祝日,20261012,1
平日（月～金）,20261012,2
土曜,20261012,2
日曜・祝日,20261123,1
平日（月～金）,20261123,2
土曜,20261123,2
日曜・祝日,20261130,1
平日（月～金）,20261130,2
土曜,20261130,2
