fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
4320001001003_140_00,140,JPY,0,0,,4320001001003
4320001001003_150_00,150,JPY,0,0,,4320001001003
4320001001003_160_00,160,JPY,0,0,,4320001001003
4320001001003_170_00,170,JPY,0,0,,4320001001003
4320001001003_180_00,180,JPY,0,0,,4320001001003
4320001001003_190_00,190,JPY,0,0,,4320001001003
4320001001003_200_00,200,JPY,0,0,,4320001001003
4320001001003_210_00,210,JPY,0,0,,4320001001003
4320001001003_220_00,220,JPY,0,0,,4320001001003
4320001001003_230_00,230,JPY,0,0,,4320001001003
4320001001003_240_00,240,JPY,0,0,,4320001001003
4320001001003_250_00,250,JPY,0,0,,4320001001003
4320001001003_260_00,260,JPY,0,0,,4320001001003
4320001001003_270_00,270,JPY,0,0,,4320001001003
4320001001003_280_00,280,JPY,0,0,,4320001001003
4320001001003_290_00,290,JPY,0,0,,4320001001003
4320001001003_300_00,300,JPY,0,0,,4320001001003
4320001001003_310_00,310,JPY,0,0,,4320001001003
4320001001003_330_00,330,JPY,0,0,,4320001001003
4320001001003_340_00,340,JPY,0,0,,4320001001003
4320001001003_350_00,350,JPY,0,0,,4320001001003
4320001001003_360_00,360,JPY,0,0,,4320001001003
4320001001003_370_00,370,JPY,0,0,,4320001001003
4320001001003_380_00,380,JPY,0,0,,4320001001003
4320001001003_390_00,390,JPY,0,0,,4320001001003
4320001001003_400_00,400,JPY,0,0,,4320001001003
4320001001003_410_00,410,JPY,0,0,,4320001001003
4320001001003_420_00,420,JPY,0,0,,4320001001003
4320001001003_430_00,430,JPY,0,0,,4320001001003
4320001001003_440_00,440,JPY,0,0,,4320001001003
4320001001003_450_00,450,JPY,0,0,,4320001001003
4320001001003_460_00,460,JPY,0,0,,4320001001003
4320001001003_470_00,470,JPY,0,0,,4320001001003
4320001001003_480_00,480,JPY,0,0,,4320001001003
4320001001003_490_00,490,JPY,0,0,,4320001001003
4320001001003_500_00,500,JPY,0,0,,4320001001003
4320001001003_510_00,510,JPY,0,0,,4320001001003
4320001001003_520_00,520,JPY,0,0,,4320001001003
4320001001003_530_00,530,JPY,0,0,,4320001001003
4320001001003_550_00,550,JPY,0,0,,4320001001003
4320001001003_560_00,560,JPY,0,0,,4320001001003
4320001001003_570_00,570,JPY,0,0,,4320001001003
4320001001003_580_00,580,JPY,0,0,,4320001001003
4320001001003_590_00,590,JPY,0,0,,4320001001003
4320001001003_600_00,600,JPY,0,0,,4320001001003
4320001001003_610_00,610,JPY,0,0,,4320001001003
4320001001003_620_00,620,JPY,0,0,,4320001001003
4320001001003_630_00,630,JPY,0,0,,4320001001003
4320001001003_640_00,640,JPY,0,0,,4320001001003
4320001001003_650_00,650,JPY,0,0,,4320001001003
4320001001003_660_00,660,JPY,0,0,,4320001001003
4320001001003_670_00,670,JPY,0,0,,4320001001003
4320001001003_680_00,680,JPY,0,0,,4320001001003
4320001001003_690_00,690,JPY,0,0,,4320001001003
4320001001003_700_00,700,JPY,0,0,,4320001001003
4320001001003_710_00,710,JPY,0,0,,4320001001003
4320001001003_720_00,720,JPY,0,0,,4320001001003
4320001001003_730_00,730,JPY,0,0,,4320001001003
4320001001003_740_00,740,JPY,0,0,,4320001001003
4320001001003_750_00,750,JPY,0,0,,4320001001003
4320001001003_770_00,770,JPY,0,0,,4320001001003
4320001001003_780_00,780,JPY,0,0,,4320001001003
4320001001003_790_00,790,JPY,0,0,,4320001001003
4320001001003_800_00,800,JPY,0,0,,4320001001003
4320001001003_810_00,810,JPY,0,0,,4320001001003
4320001001003_820_00,820,JPY,0,0,,4320001001003
4320001001003_830_00,830,JPY,0,0,,4320001001003
4320001001003_840_00,840,JPY,0,0,,4320001001003
4320001001003_850_00,850,JPY,0,0,,4320001001003
4320001001003_860_00,860,JPY,0,0,,4320001001003
4320001001003_870_00,870,JPY,0,0,,4320001001003
4320001001003_880_00,880,JPY,0,0,,4320001001003
4320001001003_890_00,890,JPY,0,0,,4320001001003
4320001001003_900_00,900,JPY,0,0,,4320001001003
4320001001003_910_00,910,JPY,0,0,,4320001001003
4320001001003_920_00,920,JPY,0,0,,4320001001003
4320001001003_930_00,930,JPY,0,0,,4320001001003
4320001001003_940_00,940,JPY,0,0,,4320001001003
4320001001003_950_00,950,JPY,0,0,,4320001001003
4320001001003_960_00,960,JPY,0,0,,4320001001003
4320001001003_970_00,970,JPY,0,0,,4320001001003
4320001001003_990_00,990,JPY,0,0,,4320001001003
4320001001003_1000_00,1000,JPY,0,0,,4320001001003
4320001001003_1050_00,1050,JPY,0,0,,4320001001003
4320001001003_1100_00,1100,JPY,0,0,,4320001001003
