trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,11:56:00,11:56:00,1685 1,1,豊後森,0,1,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,11:57:00,11:57:00,1684 1,2,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,11:58:00,11:58:00,1662 1,3,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,11:59:00,11:59:00,1661 1,4,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:00:00,12:00:00,1660 1,5,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:01:00,12:01:00,1659 1,6,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:02:00,12:02:00,1658 2,7,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:03:00,12:03:00,1657 1,8,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:04:00,12:04:00,1656 2,9,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:05:00,12:05:00,1655 1,10,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:06:00,12:06:00,1654 1,11,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:07:00,12:07:00,1653 1,12,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:08:00,12:08:00,1652 1,13,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:09:00,12:09:00,1651 2,14,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:10:00,12:10:00,2128 1,15,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:10:00,12:10:00,1650 2,16,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:11:00,12:11:00,1649 1,17,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:12:00,12:12:00,1648 1,18,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:13:00,12:13:00,1647 1,19,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:14:00,12:14:00,1646 2,20,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:14:00,12:14:00,1645 1,21,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:15:00,12:15:00,1644 1,22,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:16:00,12:16:00,1643 2,23,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:17:00,12:17:00,1642 2,24,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:18:00,12:18:00,1641 2,25,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:19:00,12:19:00,1640 2,26,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:20:00,12:20:00,1639 2,27,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:21:00,12:21:00,1638 2,28,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:21:00,12:21:00,1637 2,29,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:22:00,12:22:00,1636 2,30,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:23:00,12:23:00,1635 2,31,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:23:00,12:23:00,1634 2,32,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:24:00,12:24:00,1633 2,33,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:25:00,12:25:00,2127 2,34,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:26:00,12:26:00,1632 2,35,豊後森,0,0,,
e31276a7-a756-4dcb-8e6a-0dd16a9a913e,12:27:00,12:27:00,1105 0,36,豊後森,0,0,,
