stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1095 1,,八重垣,,33.3079152,131.1614722,1095 1,,0,,,,
1096 1,,童話碑入口,,33.3031603,131.1606128,1096 1,,0,,,,
1097 1,,森横町,,33.300592,131.1606663,1097 1,,0,,,,
1098 1,,二葉町,,33.2987192,131.1587529,1098 1,,0,,,,
1099 1,,森御幸町,,33.296961,131.158554,1099 1,,0,,,,
1100 1,,森中央小学校前,,33.2950046,131.1582937,1100 1,,0,,,,
1100 2,,森中央小学校前,,33.2949976,131.1583919,1100 2,,0,,,,
1101 1,,栄町,,33.2925537,131.1564018,1101 1,,0,,,,
1101 2,,栄町,,33.2925186,131.1564739,1101 2,,0,,,,
1102 1,,森中学校前,,33.2916556,131.1556963,1102 1,,0,,,,
1103 1,,玖珠自衛隊入口,,33.2899521,131.1545571,1103 1,,0,,,,
1104 1,,上の市,,33.2883838,131.1539419,1104 1,,0,,,,
1105 0,,十文字,,33.2836814,131.153682,1105 0,,0,,,,
1105 1,,十文字,,33.2836893,131.1536652,1105 1,,0,,,,
1105 2,,十文字,,33.2836147,131.1536572,1105 2,,0,,,,
1106 0,,豊後森,,33.2830989,131.154971,1106 0,,0,,,,
1106 1,,豊後森,,33.2830793,131.1549777,1106 1,,0,,,,
1231 0,,耶馬渓支所前,,33.4536189,131.1141458,1231 0,,0,,,,
1231 1,,耶馬渓支所前,,33.4537509,131.1142008,1231 1,,0,,,,
1232 0,,柿坂,,33.4519082,131.1150131,1232 0,,0,,,,
1232 1,,柿坂,,33.4519507,131.1151123,1232 1,,0,,,,
1233 3,,耶馬渓中学校前,,33.4472609,131.1180183,1233 3,,0,,,,
1249 1,,三郷保育園前,,33.4028495,131.0579829,1249 1,,0,,,,
1249 2,,三郷保育園前,,33.4029133,131.0578904,1249 2,,0,,,,
1250 1,,宇曽,,33.4022958,131.0546439,1250 1,,0,,,,
1250 2,,宇曽,,33.4024122,131.0546305,1250 2,,0,,,,
1251 1,,上村,,33.4017277,131.0501562,1251 1,,0,,,,
1251 2,,上村,,33.4018486,131.0501321,1251 2,,0,,,,
1252 1,,朝陽橋,,33.4030722,131.0441861,1252 1,,0,,,,
1252 2,,朝陽橋,,33.4031147,131.044292,1252 2,,0,,,,
1253 1,,山国役場前,,33.403509,131.0420959,1253 1,,0,,,,
1254 0,,守実温泉,,33.4036956,131.0403351,1254 0,,0,,,,
1254 1,,守実温泉,,33.4036956,131.0403351,1254 1,,0,,,,
1258 1,,物部,,33.4444098,131.1319962,1258 1,,0,,,,
1259 1,,柿瀬,,33.4396255,131.139349,1259 1,,0,,,,
1260 1,,百田,,33.4332676,131.1445412,1260 1,,0,,,,
1261 1,,竹の弦,,33.4262388,131.1464594,1261 1,,0,,,,
1262 1,,原井団地,,33.4208533,131.1540947,1262 1,,0,,,,
1263 1,,原井,,33.4181542,131.1558923,1263 1,,0,,,,
1264 1,,山移,,33.412527,131.1577465,1264 1,,0,,,,
1264 2,,山移,,33.4125516,131.1578457,1264 2,,0,,,,
1265 0,,持田,,33.4078301,131.1577084,1265 0,,0,,,,
1265 1,,持田,,33.4078432,131.1576041,1265 1,,0,,,,
1265 2,,持田,,33.4078298,131.1577017,1265 2,,0,,,,
1266 1,,八木蒔,,33.3996015,131.1565059,1266 1,,0,,,,
1267 1,,耶馬渓平原,,33.3908389,131.1641911,1267 1,,0,,,,
1268 1,,鴫良温泉前,,33.3847306,131.1658116,1268 1,,0,,,,
1269 1,,上鴫良,,33.3811983,131.1652343,1269 1,,0,,,,
1270 1,,深耶馬渓駐車場前,,33.376979,131.1663842,1270 1,,0,,,,
1271 1,,耶馬渓温泉センター,,33.3738701,131.1664936,1271 1,,0,,,,
1272 1,,深耶馬溪温泉,,33.3720984,131.1655021,1272 1,,0,,,,
1273 1,,一つ家,,33.3704153,131.1683884,1273 1,,0,,,,
1274 1,,軍艦岩,,33.3633881,131.1747619,1274 1,,0,,,,
1275 1,,錦雲峡入口,,33.3534034,131.1802669,1275 1,,0,,,,
1276 0,,鹿倉,,33.3356401,131.1711593,1276 0,,0,,,,
1276 1,,鹿倉,,33.3356401,131.1711593,1276 1,,0,,,,
1277 1,,園部,,33.3328368,131.1687527,1277 1,,0,,,,
1278 1,,須山,,33.3294048,131.1646706,1278 1,,0,,,,
1279 1,,内山,,33.3267182,131.1601667,1279 1,,0,,,,
1280 1,,弁天橋,,33.3235451,131.1571783,1280 1,,0,,,,
1281 1,,大九郎,,33.3185803,131.1567209,1281 1,,0,,,,
1573 1,,森町,,33.3021107,131.1581616,1573 1,,0,,,,
1574 1,,森本町,,33.3002446,131.158465,1574 1,,0,,,,
1576 0,,山下,,33.3198142,131.1160689,1576 0,,0,,,,
1576 1,,山下,,33.3198814,131.116034,1576 1,,0,,,,
1577 1,,田能原,,33.3213033,131.1216588,1577 1,,0,,,,
1578 1,,小原,,33.3214485,131.1247073,1578 1,,0,,,,
1579 1,,中原,,33.3210929,131.1284008,1579 1,,0,,,,
1580 1,,中原入口,,33.3207681,131.1303515,1580 1,,0,,,,
1581 1,,長小野入口,,33.3187068,131.1329435,1581 1,,0,,,,
1582 1,,太田,,33.3168491,131.1380873,1582 1,,0,,,,
1583 1,,平井入口,,33.3143244,131.1391133,1583 1,,0,,,,
1584 1,,八幡小学校前,,33.312825,131.1394059,1584 1,,0,,,,
1585 1,,サンホール前,,33.3109086,131.1396669,1585 1,,0,,,,
1586 1,,本村,,33.3079982,131.1399082,1586 1,,0,,,,
1587 1,,元畑入口,,33.3050022,131.1402036,1587 1,,0,,,,
1588 1,,綾垣,,33.3008384,131.1387502,1588 1,,0,,,,
1589 1,,綾垣丸塚,,33.2972949,131.1376596,1589 1,,0,,,,
1590 1,,下綾垣,,33.294605,131.137268,1590 1,,0,,,,
1591 1,,池の原,,33.2903757,131.137253,1591 1,,0,,,,
1592 1,,井尻町営住宅前,,33.288064,131.1399579,1592 1,,0,,,,
1593 1,,十の釣,,33.2853467,131.1448564,1593 1,,0,,,,
1594 1,,鷹巣,,33.2851702,131.1498227,1594 1,,0,,,,
1596 1,,中摩,,33.4062089,131.0635565,1596 1,,0,,,,
1597 1,,肥前屋,,33.4069602,131.0662452,1597 1,,0,,,,
1598 1,,白地,,33.4059333,131.0660322,1598 1,,0,,,,
1599 1,,笹掛地蔵尊前,,33.4003165,131.0656262,1599 1,,0,,,,
