trans_id,lang,translation
宇曽,ja,宇曽
宇曽,zh-cn,宇曽
宇曽,zh-tw,宇曽
宇曽,ko,우소
宇曽,ja-Hrkt,ｳｿ
宇曽,en,Uso
童話碑入口,ja,童話碑入口
童話碑入口,zh-cn,童话碑入口
童話碑入口,zh-tw,童話碑入口
童話碑入口,ko,동화비 입구
童話碑入口,ja-Hrkt,ﾄﾞｳﾜﾋｲﾘｸﾞﾁ
童話碑入口,en,Douwahiiriguchi
宝泉寺温泉入口,ja,宝泉寺温泉入口
宝泉寺温泉入口,zh-cn,宝泉寺温泉入口
宝泉寺温泉入口,zh-tw,宝泉寺溫泉入口
宝泉寺温泉入口,ko,호센지 온천 입구
宝泉寺温泉入口,ja-Hrkt,ﾎｳｾﾝｼﾞｵﾝｾﾝｲﾘｸﾞﾁ
宝泉寺温泉入口,en,Housenjionseniriguchi
上長野,ja,上長野
上長野,zh-cn,上长野
上長野,zh-tw,上長野
上長野,ko,가미나가노
上長野,ja-Hrkt,ｶﾐﾅｶﾞﾉ
上長野,en,Kaminagano
中野,ja,中野
中野,zh-cn,中野
中野,zh-tw,中野
中野,ko,나카노
中野,ja-Hrkt,ﾅｶﾉ
中野,en,Nakano
平井入口,ja,平井入口
平井入口,zh-cn,平井入口
平井入口,zh-tw,平井入口
平井入口,ko,히라이 입구
平井入口,ja-Hrkt,ﾋﾗｲｲﾘｸﾞﾁ
平井入口,en,Hiraiiriguchi
塚脇本町,ja,塚脇本町
塚脇本町,zh-cn,冢胁本町
塚脇本町,zh-tw,塚脅本町
塚脇本町,ko,츠카와키 혼마치
塚脇本町,ja-Hrkt,ﾂｶﾜｷﾎﾝﾏﾁ
塚脇本町,en,Tsukawaki Honmachi
二瀬,ja,二瀬
二瀬,zh-cn,二濑
二瀬,zh-tw,二瀨
二瀬,ko,니세
二瀬,ja-Hrkt,ﾌﾀｾ
二瀬,en,Futase
森横町,ja,森横町
森横町,zh-cn,森横町
森横町,zh-tw,森横町
森横町,ko,모리요코초
森横町,ja-Hrkt,ﾓﾘﾖｺﾏﾁ
森横町,en,MoriYokomachi
上村,ja,上村
上村,zh-cn,上村
上村,zh-tw,上村
上村,ko,우에무라
上村,ja-Hrkt,ｳｴﾑﾗ
上村,en,Uemura
伏原,ja,伏原
伏原,zh-cn,伏原
伏原,zh-tw,伏原
伏原,ko,후시하라
伏原,ja-Hrkt,ﾌｼﾊﾗ
伏原,en,Fushihara
耶馬渓平原,ja,耶馬渓平原
耶馬渓平原,zh-cn,耶马溪平原
耶馬渓平原,zh-tw,耶馬溪平原
耶馬渓平原,ko,야마케이 평원
耶馬渓平原,ja-Hrkt,ﾔﾊﾞｹｲﾋﾗﾊﾞﾙ
耶馬渓平原,en,Yabakei Hirabaru
竹の弦,ja,竹の弦
竹の弦,zh-cn,竹之弦
竹の弦,zh-tw,竹之弦
竹の弦,ko,대나무 현
竹の弦,ja-Hrkt,ﾀｹﾉﾂﾙ
竹の弦,en,Takenotsuru
下長野,ja,下長野
下長野,zh-cn,下长野
下長野,zh-tw,下長野
下長野,ko,시모나가노
下長野,ja-Hrkt,ｼﾓﾅｶﾞﾉ
下長野,en,Shimonagano
耶馬渓温泉センター,ja,耶馬渓温泉センター
耶馬渓温泉センター,zh-cn,耶马溪温泉中心
耶馬渓温泉センター,zh-tw,耶馬溪溫泉中心
耶馬渓温泉センター,ko,야마케이 온천 센터
