fare_id,route_id,origin_id,destination_id,contains_id
4320201000060_140_00,5015011,5147 9,5149 9,
4320201000060_140_00,5015011,5147 9,5148 9,
4320201000060_140_00,5015011,5149 9,5150 9,
4320201000060_140_00,5015011,5149 9,5151 9,
4320201000060_140_00,5015011,5149 9,5152 9,
4320201000060_140_00,5015011,5150 9,5151 9,
4320201000060_140_00,5015011,5150 9,5152 9,
4320201000060_140_00,5015011,5154 9,5155 2,
4320201000060_140_00,5015011,5154 9,5156 9,
4320201000060_140_00,5015011,5155 2,5156 9,
4320201000060_140_00,5015011,5155 2,5157 9,
4320201000060_140_00,5015011,5156 9,5157 9,
4320201000060_140_00,5015011,5157 9,5158 9,
4320201000060_140_00,5015011,5151 9,5153 9,
4320201000060_140_00,5015011,5151 9,5152 9,
4320201000060_140_00,5015011,5153 9,5154 9,
4320201000060_140_00,5015011,5148 9,5149 9,
4320201000060_140_00,5015011,5148 9,5150 9,
4320201000060_140_00,5015011,5148 9,5151 9,
4320201000060_140_00,5015011,5148 9,5152 9,
4320201000060_140_00,5015011,5152 9,5153 9,
4320201000060_140_00,5015022,5149 9,5150 9,
4320201000060_140_00,5015022,5149 9,5151 9,
4320201000060_140_00,5015022,5149 9,5152 9,
4320201000060_140_00,5015022,5150 9,5151 9,
4320201000060_140_00,5015022,5150 9,5152 9,
4320201000060_140_00,5015022,5154 9,5155 2,
4320201000060_140_00,5015022,5154 9,5156 9,
4320201000060_140_00,5015022,5155 2,5156 9,
4320201000060_140_00,5015022,5155 2,5157 9,
4320201000060_140_00,5015022,5156 9,5157 9,
4320201000060_140_00,5015022,5157 9,5158 9,
4320201000060_140_00,5015022,5151 9,5153 9,
4320201000060_140_00,5015022,5151 9,5152 9,
4320201000060_140_00,5015022,5153 9,5154 9,
4320201000060_140_00,5015022,5152 9,5153 9,
4320201000060_140_00,5015021,5158 9,5157 9,
4320201000060_140_00,5015021,5150 9,5149 1,
4320201000060_140_00,5015021,5154 9,5153 9,
4320201000060_140_00,5015021,5156 9,5154 9,
4320201000060_140_00,5015021,5156 9,5155 1,
4320201000060_140_00,5015021,5157 9,5156 9,
4320201000060_140_00,5015021,5157 9,5155 1,
4320201000060_140_00,5015021,5151 9,5150 9,
4320201000060_140_00,5015021,5151 9,5149 1,
4320201000060_140_00,5015021,5155 1,5154 9,
4320201000060_140_00,5015021,5153 9,5151 9,
4320201000060_140_00,5015021,5153 9,5152 9,
4320201000060_140_00,5015021,5152 9,5150 9,
4320201000060_140_00,5015021,5152 9,5151 9,
4320201000060_140_00,5015021,5152 9,5149 1,
4320201000060_140_00,5015012,5149 9,5147 9,
4320201000060_140_00,5015012,5149 9,5148 9,
4320201000060_140_00,5015012,5158 9,5157 9,
4320201000060_140_00,5015012,5150 9,5149 9,
4320201000060_140_00,5015012,5150 9,5148 9,
4320201000060_140_00,5015012,5154 9,5153 9,
4320201000060_140_00,5015012,5156 9,5154 9,
4320201000060_140_00,5015012,5156 9,5155 1,
4320201000060_140_00,5015012,5157 9,5156 9,
4320201000060_140_00,5015012,5157 9,5155 1,
4320201000060_140_00,5015012,5151 9,5149 9,
4320201000060_140_00,5015012,5151 9,5150 9,
4320201000060_140_00,5015012,5151 9,5148 9,
4320201000060_140_00,5015012,5155 1,5154 9,
4320201000060_140_00,5015012,5153 9,5151 9,
4320201000060_140_00,5015012,5153 9,5152 9,
4320201000060_140_00,5015012,5148 9,5147 9,
4320201000060_140_00,5015012,5152 9,5149 9,
4320201000060_140_00,5015012,5152 9,5150 9,
4320201000060_140_00,5015012,5152 9,5151 9,
4320201000060_140_00,5015012,5152 9,5148 9,
4320201000060_150_00,5015011,5158 9,266 1,
4320201000060_150_00,5015011,5158 9,265 2,
4320201000060_150_00,5015011,5158 9,265 1,
4320201000060_150_00,5015011,5158 9,5159 9,
4320201000060_150_00,5015011,5146 9,5149 9,
4320201000060_150_00,5015011,5146 9,5148 9,
4320201000060_150_00,5015011,265 2,266 1,
4320201000060_150_00,5015011,265 2,265 1,
4320201000060_150_00,5015011,265 2,5159 9,
4320201000060_150_00,5015011,5156 9,5158 9,
4320201000060_150_00,5015011,5157 9,266 1,
4320201000060_150_00,5015011,5157 9,265 2,
4320201000060_150_00,5015011,5157 9,265 1,
4320201000060_150_00,5015011,5157 9,5159 9,
4320201000060_150_00,5015011,265 1,266 1,
4320201000060_150_00,5015011,5159 9,266 1,
4320201000060_150_00,5015011,5159 9,265 1,
4320201000060_150_00,5015022,5158 9,266 1,
4320201000060_150_00,5015022,5158 9,265 2,
4320201000060_150_00,5015022,5158 9,265 1,
4320201000060_150_00,5015022,5158 9,5159 9,
4320201000060_150_00,5015022,265 2,266 1,
4320201000060_150_00,5015022,265 2,265 1,
4320201000060_150_00,5015022,265 2,5159 9,
4320201000060_150_00,5015022,5156 9,5158 9,
4320201000060_150_00,5015022,5157 9,266 1,
4320201000060_150_00,5015022,5157 9,265 2,
4320201000060_150_00,5015022,5157 9,265 1,
4320201000060_150_00,5015022,5157 9,5159 9,
4320201000060_150_00,5015022,265 1,266 1,
4320201000060_150_00,5015022,5159 9,266 1,
4320201000060_150_00,5015022,5159 9,265 1,
4320201000060_150_00,5015021,266 2,5158 9,
4320201000060_150_00,5015021,266 2,265 2,
4320201000060_150_00,5015021,266 2,5157 9,
4320201000060_150_00,5015021,266 2,265 1,
4320201000060_150_00,5015021,266 2,5159 9,
4320201000060_150_00,5015021,5158 9,5156 9,
4320201000060_150_00,5015021,265 2,5158 9,
4320201000060_150_00,5015021,265 2,5157 9,
4320201000060_150_00,5015021,265 2,265 1,
4320201000060_150_00,5015021,265 2,5159 9,
4320201000060_150_00,5015021,265 1,5158 9,
4320201000060_150_00,5015021,265 1,5157 9,
4320201000060_150_00,5015021,5159 9,5158 9,
4320201000060_150_00,5015021,5159 9,5157 9,
4320201000060_150_00,5015021,5159 9,265 1,
4320201000060_150_00,5015012,5149 9,5146 9,
4320201000060_150_00,5015012,266 2,5158 9,
4320201000060_150_00,5015012,266 2,265 2,
4320201000060_150_00,5015012,266 2,5157 9,
4320201000060_150_00,5015012,266 2,265 1,
4320201000060_150_00,5015012,266 2,5159 9,
4320201000060_150_00,5015012,5158 9,5156 9,
4320201000060_150_00,5015012,265 2,5158 9,
4320201000060_150_00,5015012,265 2,5157 9,
4320201000060_150_00,5015012,265 2,265 1,
4320201000060_150_00,5015012,265 2,5159 9,
4320201000060_150_00,5015012,265 1,5158 9,
4320201000060_150_00,5015012,265 1,5157 9,
4320201000060_150_00,5015012,5159 9,5158 9,
4320201000060_150_00,5015012,5159 9,5157 9,
4320201000060_150_00,5015012,5159 9,265 1,
4320201000060_150_00,5015012,5148 9,5146 9,
4320201000060_160_00,5015011,5149 9,5153 9,
4320201000060_160_00,5015011,5150 9,5153 9,
4320201000060_160_00,5015011,5151 9,5154 9,
4320201000060_160_00,5015011,5148 9,5153 9,
4320201000060_160_00,5015011,5152 9,5154 9,
4320201000060_160_00,5015022,5149 9,5153 9,
4320201000060_160_00,5015022,5150 9,5153 9,
4320201000060_160_00,5015022,5151 9,5154 9,
4320201000060_160_00,5015022,5152 9,5154 9,
4320201000060_160_00,5015021,5154 9,5151 9,
4320201000060_160_00,5015021,5154 9,5152 9,
4320201000060_160_00,5015021,5153 9,5150 9,
4320201000060_160_00,5015021,5153 9,5149 1,
4320201000060_160_00,5015012,5154 9,5151 9,
4320201000060_160_00,5015012,5154 9,5152 9,
4320201000060_160_00,5015012,5153 9,5149 9,
4320201000060_160_00,5015012,5153 9,5150 9,
4320201000060_160_00,5015012,5153 9,5148 9,
4320201000060_170_00,5015011,5147 9,5150 9,
4320201000060_170_00,5015011,5147 9,5151 9,
4320201000060_170_00,5015011,5147 9,5152 9,
4320201000060_170_00,5015011,5155 2,5158 9,
4320201000060_170_00,5015011,5156 9,266 1,
4320201000060_170_00,5015011,5156 9,265 2,
4320201000060_170_00,5015011,5156 9,265 1,
4320201000060_170_00,5015011,5156 9,5159 9,
4320201000060_170_00,5015011,5153 9,5155 2,
4320201000060_170_00,5015022,5155 2,5158 9,
4320201000060_170_00,5015022,5156 9,266 1,
4320201000060_170_00,5015022,5156 9,265 2,
4320201000060_170_00,5015022,5156 9,265 1,
4320201000060_170_00,5015022,5156 9,5159 9,
4320201000060_170_00,5015022,5153 9,5155 2,
4320201000060_170_00,5015021,266 2,5156 9,
4320201000060_170_00,5015021,5158 9,5155 1,
4320201000060_170_00,5015021,265 2,5156 9,
4320201000060_170_00,5015021,265 1,5156 9,
4320201000060_170_00,5015021,5155 1,5153 9,
4320201000060_170_00,5015021,5159 9,5156 9,
4320201000060_170_00,5015012,266 2,5156 9,
4320201000060_170_00,5015012,5158 9,5155 1,
4320201000060_170_00,5015012,5150 9,5147 9,
4320201000060_170_00,5015012,265 2,5156 9,
4320201000060_170_00,5015012,265 1,5156 9,
4320201000060_170_00,5015012,5151 9,5147 9,
4320201000060_170_00,5015012,5155 1,5153 9,
4320201000060_170_00,5015012,5159 9,5156 9,
4320201000060_170_00,5015012,5152 9,5147 9,
4320201000060_180_00,5015011,5154 9,5157 9,
4320201000060_180_00,5015022,5154 9,5157 9,
4320201000060_180_00,5015021,5157 9,5154 9,
4320201000060_180_00,5015012,5157 9,5154 9,
4320201000060_190_00,5015011,5144 2,5149 9,
4320201000060_190_00,5015011,5144 2,5148 9,
4320201000060_190_00,5015011,5146 9,5150 9,
4320201000060_190_00,5015011,5146 9,5151 9,
4320201000060_190_00,5015011,5146 9,5152 9,
4320201000060_190_00,5015011,5143 2,5149 9,
4320201000060_190_00,5015011,5143 2,5148 9,
4320201000060_190_00,5015011,5155 2,266 1,
4320201000060_190_00,5015011,5155 2,265 2,
4320201000060_190_00,5015011,5155 2,265 1,
4320201000060_190_00,5015011,5155 2,5159 9,
4320201000060_190_00,5015011,5145 2,5149 9,
4320201000060_190_00,5015011,5145 2,5148 9,
4320201000060_190_00,5015011,5153 9,5156 9,
4320201000060_190_00,5015022,5155 2,266 1,
4320201000060_190_00,5015022,5155 2,265 2,
4320201000060_190_00,5015022,5155 2,265 1,
4320201000060_190_00,5015022,5155 2,5159 9,
4320201000060_190_00,5015022,5153 9,5156 9,
4320201000060_190_00,5015021,266 2,5155 1,
4320201000060_190_00,5015021,265 2,5155 1,
4320201000060_190_00,5015021,5156 9,5153 9,
4320201000060_190_00,5015021,265 1,5155 1,
4320201000060_190_00,5015021,5159 9,5155 1,
4320201000060_190_00,5015012,5149 9,5143 1,
4320201000060_190_00,5015012,5149 9,5145 1,
4320201000060_190_00,5015012,5149 9,5144 1,
4320201000060_190_00,5015012,266 2,5155 1,
4320201000060_190_00,5015012,5150 9,5146 9,
4320201000060_190_00,5015012,265 2,5155 1,
4320201000060_190_00,5015012,5156 9,5153 9,
4320201000060_190_00,5015012,265 1,5155 1,
4320201000060_190_00,5015012,5151 9,5146 9,
4320201000060_190_00,5015012,5159 9,5155 1,
4320201000060_190_00,5015012,5148 9,5143 1,
4320201000060_190_00,5015012,5148 9,5145 1,
4320201000060_190_00,5015012,5148 9,5144 1,
4320201000060_190_00,5015012,5152 9,5146 9,
4320201000060_200_00,5021121,7028 1,7061 1,
4320201000060_200_00,5021121,7028 1,7102 1,
4320201000060_200_00,5021121,7028 1,7060 9,
4320201000060_200_00,5021121,7028 1,7101 1,
4320201000060_200_00,5021121,7028 1,7062 2,
4320201000060_200_00,5021121,7028 1,7101 2,
4320201000060_200_00,5021121,5029 2,3007 1,
4320201000060_200_00,5021121,5029 2,5252 9,
4320201000060_200_00,5021121,5029 2,5256 9,
4320201000060_200_00,5021121,5029 2,5025 2,
4320201000060_200_00,5021121,5029 2,5260 9,
4320201000060_200_00,5021121,5029 2,5024 2,
4320201000060_200_00,5021121,5029 2,5258 9,
4320201000060_200_00,5021121,5029 2,3009 1,
4320201000060_200_00,5021121,5029 2,5027 2,
4320201000060_200_00,5021121,5029 2,3010 1,
4320201000060_200_00,5021121,5029 2,5254 9,
4320201000060_200_00,5021121,5029 2,5301 9,
4320201000060_200_00,5021121,5029 2,5302 9,
4320201000060_200_00,5021121,5029 2,5328 9,
4320201000060_200_00,5021121,5029 2,5020 2,
4320201000060_200_00,5021121,5029 2,5251 9,
4320201000060_200_00,5021121,5029 2,5257 9,
4320201000060_200_00,5021121,5029 2,5028 2,
4320201000060_200_00,5021121,5029 2,5262 9,
4320201000060_200_00,5021121,5029 2,5325 9,
