trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
674c7508-9889-4f96-baff-00c063cde4b5,07:30:00,07:30:00,5378 1,1,赤崎,0,1,,
674c7508-9889-4f96-baff-00c063cde4b5,07:31:00,07:31:00,5377 1,2,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:32:00,07:32:00,5552 9,3,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:33:00,07:33:00,5553 9,4,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:34:00,07:34:00,5554 9,5,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:35:00,07:35:00,5555 9,6,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:36:00,07:36:00,5556 2,7,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:37:00,07:37:00,5557 9,8,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:38:00,07:38:00,5558 9,9,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:39:00,07:39:00,5559 2,10,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:39:00,07:39:00,5560 9,11,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:39:00,07:39:00,5559 1,12,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:40:00,07:40:00,5558 9,13,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:41:00,07:41:00,5557 9,14,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:44:00,07:44:00,5561 9,15,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:45:00,07:45:00,5562 2,16,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:46:00,07:46:00,5563 9,17,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:47:00,07:47:00,5564 9,18,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:48:00,07:48:00,5565 9,19,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:49:00,07:49:00,5566 9,20,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:52:00,07:52:00,5567 9,21,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:52:00,07:52:00,5568 9,22,赤崎,0,0,,
674c7508-9889-4f96-baff-00c063cde4b5,07:56:00,07:56:00,5569 2,23,赤崎,1,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:50:00,08:50:00,7062 1,1,臼杵港フェリーターミナル,0,1,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:51:00,08:51:00,7060 9,2,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:51:00,08:51:00,7061 2,3,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:53:00,08:53:00,7101 2,4,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:54:00,08:54:00,7102 1,5,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:55:00,08:55:00,7101 1,6,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:55:00,08:55:00,7028 2,7,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:56:00,08:56:00,7027 2,8,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:58:00,08:58:00,7026 2,9,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,08:59:00,08:59:00,7025 2,10,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:00:00,09:00:00,7024 2,11,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:01:00,09:01:00,7023 2,12,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:02:00,09:02:00,7022 2,13,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:03:00,09:03:00,7021 2,14,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:04:00,09:04:00,7020 2,15,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:05:00,09:05:00,7019 2,16,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:06:00,09:06:00,7018 2,17,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:07:00,09:07:00,7014 2,18,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:08:00,09:08:00,7016 9,19,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:10:00,09:10:00,5331 9,20,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:11:00,09:11:00,5330 9,21,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:12:00,09:12:00,5328 9,22,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:14:00,09:14:00,5327 9,23,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:15:00,09:15:00,5326 9,24,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:16:00,09:16:00,5325 9,25,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:16:00,09:16:00,5324 9,26,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:17:00,09:17:00,5323 9,27,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:18:00,09:18:00,5322 9,28,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:19:00,09:19:00,5321 9,29,臼杵港フェリーターミナル,0,0,,
aba55897-1ad8-4729-8b84-04df830b8d03,09:20:00,09:20:00,5302 9,30,臼杵港フェリーターミナル,0,0,,
