stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
265 1,,金山,,33.2485469,131.8696048,265 1,,0,,,,
265 2,,金山,,33.2485507,131.8675782,265 2,,0,,,,
266 1,,佐賀関,,33.2488929,131.8735711,266 1,,0,,,,
266 2,,佐賀関,,33.24891584,131.8736414,266 2,,0,,,,
3007 1,,日当,,33.0520975,131.6890698,3007 1,,0,,,,
3007 2,,日当,,33.0519111,131.6888499,3007 2,,0,,,,
3008 1,,野津南,,33.0421572,131.6904962,3008 1,,0,,,,
3008 2,,野津南,,33.0424565,131.6904186,3008 2,,0,,,,
3009 1,,野津南保育園前,,33.0391946,131.6896624,3009 1,,0,,,,
3009 2,,野津南保育園前,,33.0391906,131.6897836,3009 2,,0,,,,
3010 1,,板屋,,33.0362719,131.6895008,3010 1,,0,,,,
3010 2,,板屋,,33.0363002,131.6893472,3010 2,,0,,,,
3013 1,,落谷,,33.017114,131.7010966,3013 1,,0,,,,
3013 2,,落谷,,33.0163158,131.7008031,3013 2,,0,,,,
3014 9,,野津黒土,,33.0107088,131.7036686,3014 9,,0,,,,
3015 1,,清水原,,33.0079814,131.7083054,3015 1,,0,,,,
3015 2,,清水原,,33.0075399,131.708286,3015 2,,0,,,,
3016 1,,川登小学校前,,33.006392,131.7183057,3016 1,,0,,,,
3016 2,,川登小学校前,,33.0063553,131.7169403,3016 2,,0,,,,
3017 1,,今俵,,33.0058383,131.7233905,3017 1,,0,,,,
3017 2,,今俵,,33.0057281,131.7230011,3017 2,,0,,,,
3018 1,,風連鍾乳洞入口,,33.0052241,131.7339468,3018 1,,0,,,,
3018 2,,風連鍾乳洞入口,,33.0051014,131.7343118,3018 2,,0,,,,
3019 9,,内平,,33.006589,131.7410333,3019 9,,0,,,,
3020 9,,遠久原,,33.0006634,131.7482409,3020 9,,0,,,,
3021 1,,垣河内,,32.9998136,131.7511337,3021 1,,0,,,,
3021 2,,垣河内,,32.99982367,131.7509131,3021 2,,0,,,,
3022 9,,板井畑,,32.9975699,131.7535217,3022 9,,0,,,,
3023 1,,割後場,,32.9963603,131.7585693,3023 1,,0,,,,
3023 2,,割後場,,32.9962941,131.7584128,3023 2,,0,,,,
5020 1,,障子岩,,33.0927214,131.7411902,5020 1,,0,,,,
