trans_id,lang,translation
三重の原,ja,三重の原
三重の原,zh-cn,三重之原
三重の原,zh-tw,三重之原
三重の原,ko,미에노하라
三重の原,ja-Hrkt,みえのはる
三重の原,en,Mienoharu
久保泊,ja,久保泊
久保泊,zh-cn,久保泊
久保泊,zh-tw,久保泊
久保泊,ko,쿠보박
久保泊,ja-Hrkt,くぼとまり
久保泊,en,Kubotomari
清太郎,ja,清太郎
清太郎,zh-cn,清太郎
清太郎,zh-tw,清太郎
清太郎,ko,기요타로
清太郎,ja-Hrkt,せいたろう
清太郎,en,Seitaro
城崎,ja,城崎
城崎,zh-cn,城崎
城崎,zh-tw,城崎
城崎,ko,시로사키
城崎,ja-Hrkt,じようさき
城崎,en,Jyosaki
鳴川,ja,鳴川
鳴川,zh-cn,鸣川
鳴川,zh-tw,鳴川
鳴川,ko,나루카와
鳴川,ja-Hrkt,なるかわ
鳴川,en,Narukawa
警固屋,ja,警固屋
警固屋,zh-cn,警固屋
警固屋,zh-tw,警固屋
警固屋,ko,경고점
警固屋,ja-Hrkt,けごや
警固屋,en,Kegoya
野津黒土,ja,野津黒土
野津黒土,zh-cn,野津黑土
野津黒土,zh-tw,野津黑土
野津黒土,ko,노즈 흑토
野津黒土,ja-Hrkt,のつくろつち
野津黒土,en,Notsukurotsuchi
池原,ja,池原
池原,zh-cn,池原
池原,zh-tw,池原
池原,ko,이케하라
池原,ja-Hrkt,いけばる
池原,en,Ikebaru
宮田,ja,宮田
宮田,zh-cn,宫田
宮田,zh-tw,宮田
宮田,ko,미야다
宮田,ja-Hrkt,みやた
宮田,en,Miyata
菅尾駅前,ja,菅尾駅前
菅尾駅前,zh-cn,菅尾站前
菅尾駅前,zh-tw,菅尾站前
菅尾駅前,ko,스가오역 앞
菅尾駅前,ja-Hrkt,すがおえきまえ
菅尾駅前,en,Sugaoeki mae
垣河内,ja,垣河内
垣河内,zh-cn,垣河内
垣河内,zh-tw,垣河内
垣河内,ko,가키가와치
垣河内,ja-Hrkt,かきがわち
垣河内,en,Kakigawachi
楠屋,ja,楠屋
楠屋,zh-cn,楠屋
楠屋,zh-tw,楠屋
楠屋,ko,쿠스야
楠屋,ja-Hrkt,くすや
楠屋,en,Kusuya
大野,ja,大野
大野,zh-cn,大野
大野,zh-tw,大野
大野,ko,오노
大野,ja-Hrkt,おおの
大野,en,Ohno
辻口,ja,辻口
辻口,zh-cn,辻口
