service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
202_平日(共通),1,1,1,1,1,0,0,20251001,20261001
202_土曜(共通),0,0,0,0,0,1,0,20251001,20261001
202_日祝(共通),0,0,0,0,0,0,1,20251001,20261001
232_平日(共通),1,1,1,1,1,0,0,20251001,20261001
232_土曜(共通),0,0,0,0,0,1,0,20251001,20261001
232_日祝(共通),0,0,0,0,0,0,1,20251001,20261001
292_平日(共通),1,1,1,1,1,0,0,20251001,20261001
292_土曜(共通),0,0,0,0,0,1,0,20251001,20261001
292_日祝(共通),0,0,0,0,0,0,1,20251001,20261001
9432_平日(共通),1,1,1,1,1,0,0,20251001,20261001
9432_土曜(共通),0,0,0,0,0,1,0,20251001,20261001
9432_日祝(共通),0,0,0,0,0,0,1,20251001,20261001
