service_id,date,exception_type
292_平日(共通),20251013,2
292_日祝(共通),20251013,1
9432_平日(共通),20251013,2
9432_日祝(共通),20251013,1
232_平日(共通),20251013,2
232_日祝(共通),20251013,1
202_平日(共通),20251013,2
202_日祝(共通),20251013,1
292_平日(共通),20251103,2
292_日祝(共通),20251103,1
9432_平日(共通),20251103,2
9432_日祝(共通),20251103,1
232_平日(共通),20251103,2
232_日祝(共通),20251103,1
202_平日(共通),20251103,2
202_日祝(共通),20251103,1
292_平日(共通),20251124,2
292_日祝(共通),20251124,1
9432_平日(共通),20251124,2
9432_日祝(共通),20251124,1
232_平日(共通),20251124,2
232_日祝(共通),20251124,1
202_平日(共通),20251124,2
202_日祝(共通),20251124,1
292_平日(共通),20251231,2
292_日祝(共通),20251231,1
9432_平日(共通),20251231,2
9432_日祝(共通),20251231,1
232_平日(共通),20251231,2
232_日祝(共通),20251231,1
202_平日(共通),20251231,2
202_日祝(共通),20251231,1
292_平日(共通),20260101,2
292_日祝(共通),20260101,1
9432_平日(共通),20260101,2
9432_日祝(共通),20260101,1
232_平日(共通),20260101,2
232_日祝(共通),20260101,1
202_平日(共通),20260101,2
202_日祝(共通),20260101,1
292_平日(共通),20260102,2
292_日祝(共通),20260102,1
9432_平日(共通),20260102,2
9432_日祝(共通),20260102,1
232_平日(共通),20260102,2
232_日祝(共通),20260102,1
202_平日(共通),20260102,2
202_日祝(共通),20260102,1
292_平日(共通),20260112,2
292_日祝(共通),20260112,1
9432_平日(共通),20260112,2
9432_日祝(共通),20260112,1
232_平日(共通),20260112,2
232_日祝(共通),20260112,1
202_平日(共通),20260112,2
202_日祝(共通),20260112,1
292_平日(共通),20260211,2
292_日祝(共通),20260211,1
9432_平日(共通),20260211,2
9432_日祝(共通),20260211,1
232_平日(共通),20260211,2
232_日祝(共通),20260211,1
202_平日(共通),20260211,2
202_日祝(共通),20260211,1
292_平日(共通),20260223,2
292_日祝(共通),20260223,1
9432_平日(共通),20260223,2
9432_日祝(共通),20260223,1
232_平日(共通),20260223,2
232_日祝(共通),20260223,1
202_平日(共通),20260223,2
202_日祝(共通),20260223,1
292_平日(共通),20260320,2
292_日祝(共通),20260320,1
9432_平日(共通),20260320,2
9432_日祝(共通),20260320,1
232_平日(共通),20260320,2
232_日祝(共通),20260320,1
202_平日(共通),20260320,2
202_日祝(共通),20260320,1
292_平日(共通),20260429,2
292_日祝(共通),20260429,1
9432_平日(共通),20260429,2
9432_日祝(共通),20260429,1
232_平日(共通),20260429,2
232_日祝(共通),20260429,1
202_平日(共通),20260429,2
202_日祝(共通),20260429,1
292_平日(共通),20260504,2
292_日祝(共通),20260504,1
9432_平日(共通),20260504,2
9432_日祝(共通),20260504,1
232_平日(共通),20260504,2
232_日祝(共通),20260504,1
202_平日(共通),20260504,2
202_日祝(共通),20260504,1
292_平日(共通),20260505,2
292_日祝(共通),20260505,1
9432_平日(共通),20260505,2
9432_日祝(共通),20260505,1
232_平日(共通),20260505,2
232_日祝(共通),20260505,1
202_平日(共通),20260505,2
202_日祝(共通),20260505,1
292_平日(共通),20260506,2
292_日祝(共通),20260506,1
9432_平日(共通),20260506,2
9432_日祝(共通),20260506,1
232_平日(共通),20260506,2
232_日祝(共通),20260506,1
202_平日(共通),20260506,2
202_日祝(共通),20260506,1
292_平日(共通),20260720,2
292_日祝(共通),20260720,1
9432_平日(共通),20260720,2
9432_日祝(共通),20260720,1
232_平日(共通),20260720,2
232_日祝(共通),20260720,1
202_平日(共通),20260720,2
202_日祝(共通),20260720,1
292_平日(共通),20260811,2
292_日祝(共通),20260811,1
9432_平日(共通),20260811,2
9432_日祝(共通),20260811,1
232_平日(共通),20260811,2
232_日祝(共通),20260811,1
202_平日(共通),20260811,2
202_日祝(共通),20260811,1
292_平日(共通),20260921,2
292_日祝(共通),20260921,1
9432_平日(共通),20260921,2
9432_日祝(共通),20260921,1
232_平日(共通),20260921,2
232_日祝(共通),20260921,1
202_平日(共通),20260921,2
202_日祝(共通),20260921,1
292_平日(共通),20260922,2
292_日祝(共通),20260922,1
9432_平日(共通),20260922,2
9432_日祝(共通),20260922,1
232_平日(共通),20260922,2
232_日祝(共通),20260922,1
202_平日(共通),20260922,2
202_日祝(共通),20260922,1
292_平日(共通),20260923,2
292_日祝(共通),20260923,1
9432_平日(共通),20260923,2
9432_日祝(共通),20260923,1
232_平日(共通),20260923,2
232_日祝(共通),20260923,1
202_平日(共通),20260923,2
202_日祝(共通),20260923,1
