fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
3320001000286_180_00,180,JPY,0,0,,3320001000286
3320001000286_190_00,190,JPY,0,0,,3320001000286
3320001000286_200_00,200,JPY,0,0,,3320001000286
2000020442054_200_00,200,JPY,0,0,,2000020442054
4000020442011_200_00,200,JPY,0,0,,4000020442011
3320001000286_210_00,210,JPY,0,0,,3320001000286
3320001000286_220_00,220,JPY,0,0,,3320001000286
3320001000286_230_00,230,JPY,0,0,,3320001000286
3320001000286_240_00,240,JPY,0,0,,3320001000286
3320001000286_250_00,250,JPY,0,0,,3320001000286
3320001000286_260_00,260,JPY,0,0,,3320001000286
3320001000286_270_00,270,JPY,0,0,,3320001000286
3320001000286_280_00,280,JPY,0,0,,3320001000286
3320001000286_290_00,290,JPY,0,0,,3320001000286
3320001000286_300_00,300,JPY,0,0,,3320001000286
2000020442054_300_00,300,JPY,0,0,,2000020442054
3320001000286_310_00,310,JPY,0,0,,3320001000286
3320001000286_320_00,320,JPY,0,0,,3320001000286
3320001000286_330_00,330,JPY,0,0,,3320001000286
3320001000286_340_00,340,JPY,0,0,,3320001000286
3320001000286_350_00,350,JPY,0,0,,3320001000286
3320001000286_360_00,360,JPY,0,0,,3320001000286
3320001000286_370_00,370,JPY,0,0,,3320001000286
3320001000286_380_00,380,JPY,0,0,,3320001000286
3320001000286_390_00,390,JPY,0,0,,3320001000286
3320001000286_400_00,400,JPY,0,0,,3320001000286
2000020442054_400_00,400,JPY,0,0,,2000020442054
3320001000286_410_00,410,JPY,0,0,,3320001000286
3320001000286_420_00,420,JPY,0,0,,3320001000286
3320001000286_430_00,430,JPY,0,0,,3320001000286
3320001000286_440_00,440,JPY,0,0,,3320001000286
3320001000286_450_00,450,JPY,0,0,,3320001000286
3320001000286_460_00,460,JPY,0,0,,3320001000286
3320001000286_470_00,470,JPY,0,0,,3320001000286
3320001000286_480_00,480,JPY,0,0,,3320001000286
3320001000286_490_00,490,JPY,0,0,,3320001000286
3320001000286_500_00,500,JPY,0,0,,3320001000286
3320001000286_510_00,510,JPY,0,0,,3320001000286
3320001000286_520_00,520,JPY,0,0,,3320001000286
3320001000286_530_00,530,JPY,0,0,,3320001000286
3320001000286_540_00,540,JPY,0,0,,3320001000286
3320001000286_550_00,550,JPY,0,0,,3320001000286
3320001000286_560_00,560,JPY,0,0,,3320001000286
3320001000286_570_00,570,JPY,0,0,,3320001000286
3320001000286_580_00,580,JPY,0,0,,3320001000286
3320001000286_590_00,590,JPY,0,0,,3320001000286
3320001000286_600_00,600,JPY,0,0,,3320001000286
3320001000286_610_00,610,JPY,0,0,,3320001000286
3320001000286_620_00,620,JPY,0,0,,3320001000286
3320001000286_630_00,630,JPY,0,0,,3320001000286
3320001000286_640_00,640,JPY,0,0,,3320001000286
3320001000286_650_00,650,JPY,0,0,,3320001000286
3320001000286_660_00,660,JPY,0,0,,3320001000286
3320001000286_670_00,670,JPY,0,0,,3320001000286
3320001000286_680_00,680,JPY,0,0,,3320001000286
3320001000286_690_00,690,JPY,0,0,,3320001000286
3320001000286_700_00,700,JPY,0,0,,3320001000286
3320001000286_710_00,710,JPY,0,0,,3320001000286
3320001000286_720_00,720,JPY,0,0,,3320001000286
3320001000286_730_00,730,JPY,0,0,,3320001000286
3320001000286_740_00,740,JPY,0,0,,3320001000286
3320001000286_750_00,750,JPY,0,0,,3320001000286
3320001000286_760_00,760,JPY,0,0,,3320001000286
3320001000286_770_00,770,JPY,0,0,,3320001000286
3320001000286_780_00,780,JPY,0,0,,3320001000286
3320001000286_790_00,790,JPY,0,0,,3320001000286
3320001000286_800_00,800,JPY,0,0,,3320001000286
3320001000286_810_00,810,JPY,0,0,,3320001000286
3320001000286_820_00,820,JPY,0,0,,3320001000286
3320001000286_830_00,830,JPY,0,0,,3320001000286
3320001000286_840_00,840,JPY,0,0,,3320001000286
3320001000286_850_00,850,JPY,0,0,,3320001000286
3320001000286_860_00,860,JPY,0,0,,3320001000286
3320001000286_870_00,870,JPY,0,0,,3320001000286
3320001000286_880_00,880,JPY,0,0,,3320001000286
3320001000286_890_00,890,JPY,0,0,,3320001000286
3320001000286_900_00,900,JPY,0,0,,3320001000286
3320001000286_910_00,910,JPY,0,0,,3320001000286
3320001000286_920_00,920,JPY,0,0,,3320001000286
3320001000286_930_00,930,JPY,0,0,,3320001000286
3320001000286_940_00,940,JPY,0,0,,3320001000286
3320001000286_960_00,960,JPY,0,0,,3320001000286
3320001000286_970_00,970,JPY,0,0,,3320001000286
3320001000286_980_00,980,JPY,0,0,,3320001000286
3320001000286_990_00,990,JPY,0,0,,3320001000286
3320001000286_1000_00,1000,JPY,0,0,,3320001000286
3320001000286_1050_00,1050,JPY,0,0,,3320001000286
3320001000286_1100_00,1100,JPY,0,0,,3320001000286
3320001000286_1150_00,1150,JPY,0,0,,3320001000286
3320001000286_1200_00,1200,JPY,0,0,,3320001000286
3320001000286_1250_00,1250,JPY,0,0,,3320001000286
3320001000286_1300_00,1300,JPY,0,0,,3320001000286
3320001000286_1400_00,1400,JPY,0,0,,3320001000286
3320001000286_1450_00,1450,JPY,0,0,,3320001000286
3320001000286_1500_00,1500,JPY,0,0,,3320001000286
3320001000286_1550_00,1550,JPY,0,0,,3320001000286
3320001000286_1650_00,1650,JPY,0,0,,3320001000286
3320001000286_1700_00,1700,JPY,0,0,,3320001000286
3320001000286_1750_00,1750,JPY,0,0,,3320001000286
3320001000286_1800_00,1800,JPY,0,0,,3320001000286
3320001000286_1900_00,1900,JPY,0,0,,3320001000286
3320001000286_1950_00,1950,JPY,0,0,,3320001000286
3320001000286_2000_00,2000,JPY,0,0,,3320001000286
