route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1950515,3320001000286,J91,畑中線　鶴崎線,,3,,,
1092034,3320001000286,D75,佐賀関線,,3,,,
1920114,3320001000286,F21,府内大橋経由寒田団地線,,3,,,
3125025,2000020442054,,畑野浦経由蒲江線,,3,,,
2153013,3320001000286,G29,大分～わさだタウン線,,3,,,
2201016,3320001000286,55,わさだタウン～パークプレイス線,,3,,,
1411011,3320001000286,E70,猪野経由宮河内線,,3,,,
1029038,3320001000286,11,古国府循環線,,3,,,
2065021,3320001000286,L24,大学病院線,,3,,,
1312122,3320001000286,D41,萩原経由大分高校・情報科学高校線,,3,,,
1653712,3320001000286,F-1,敷戸団地・星和台線　鶴崎線,,3,,,
1471043,3320001000286,G73,大分～佐伯線,,3,,,
1480011,3320001000286,H74,大分～佐伯線,,3,,,
3113114,2000020442054,,青山経由蒲江線,,3,,,
1991112,3320001000286,L60,賀来新川線,,3,,,
1425031,3320001000286,D80,鶴崎経由丸亀線,,3,,,
3192008,3320001000286,,道の駅やよい線,,3,,,
1090022,3320001000286,D70,鶴崎線,,3,,,
1953521,3320001000286,J90,畑中線　佐賀関線,,3,,,
1663211,3320001000286,G31,敷戸団地・星和台線,,3,,,
1365021,3320001000286,32,高城駅スクール線,,3,,,
2070022,3320001000286,L22,大学病院線,,3,,,
1333021,3320001000286,E51,法勝台線,,3,,,
1367123,3320001000286,D51,高城経由パークプレイス線,,3,,,
1952514,3320001000286,H92,畑中線　鶴崎線,,3,,,
3125131,2000020442054,,畑野浦経由蒲江線,,3,,,
1411026,3320001000286,E70,猪野経由宮河内線,,3,,,
3113111,2000020442054,,青山経由蒲江線,,3,,,
1663012,3320001000286,G30,敷戸団地・星和台線,,3,,,
1944012,3320001000286,K42,宗方台線,,3,,,
1312114,3320001000286,D40,萩原経由大分高校・情報科学高校線,,3,,,
1035037,3320001000286,E16,羽田循環線,,3,,,
1318011,3320001000286,E30,米良バイパス経由・萩原経由パークプレイス線,,3,,,
1367152,3320001000286,D51,高城経由パークプレイス線,,3,,,
1318052,3320001000286,D47,米良バイパス経由・萩原経由パークプレイス線,,3,,,
1611005,3320001000286,H40,敷戸団地・大南団地線,,3,,,
1051022,3320001000286,M11,城南団地線,,3,,,
1850051,3320001000286,K30,富士見が丘・緑が丘線,,3,,,
2060212,3320001000286,L27,大学病院線,,3,,,
1611002,3320001000286,F40,敷戸団地・大南団地線,,3,,,
1311037,3320001000286,E47,明野団地線,,3,,,
2156016,3320001000286,K20,大分～わさだタウン線,,3,,,
1850052,3320001000286,K30,富士見が丘・緑が丘線,,3,,,
1017011,4000020442011,21,大分きゃんバス,,3,,,
2172121,3320001000286,53,田尻松が丘循環線,,3,,,
1830111,3320001000286,K60,富士見が丘・緑が丘線,,3,,,
1092043,3320001000286,D75,佐賀関線,,3,,,
1600021,3320001000286,F42,高江・大南団地線,,3,,,
1545032,3320001000286,G53,大分～臼杵線,,3,,,
1035026,3320001000286,E15,羽田循環線,,3,,,
1875016,3320001000286,K14,明磧経由ふじが丘・田尻グリーンハイツ線,,3,,,
1610042,3320001000286,G42,高江・大南団地線,,3,,,
1445015,3320001000286,63,鶴崎～パークプレイス線,,3,,,
1034021,3320001000286,E13,羽田循環線,,3,,,
1801112,3320001000286,K51,野津原線,,3,,,
3125051,2000020442054,,畑野浦経由蒲江線,,3,,,
1371011,3320001000286,E61,けやき台線,,3,,,
1092058,3320001000286,D75,佐賀関線,,3,,,
1890115,3320001000286,K12,明磧経由ふじが丘・田尻グリーンハイツ線,,3,,,
1318042,3320001000286,E34,米良バイパス経由・萩原経由パークプレイス線,,3,,,
1318012,3320001000286,D46,米良バイパス経由・萩原経由パークプレイス線,,3,,,
1830123,3320001000286,K61,富士見が丘・緑が丘線,,3,,,
1312112,3320001000286,D40,萩原経由大分高校・情報科学高校線,,3,,,
1430021,3320001000286,D61,皆春団地線,,3,,,
3061201,2000020442054,,上浦線,,3,,,
1052511,3320001000286,M94,城南団地線　鶴崎線,,3,,,
1102012,3320001000286,D71,城原線,,3,,,
1860724,3320001000286,K86,富士見が丘・緑が丘線,,3,,,
1445018,3320001000286,63,鶴崎～パークプレイス線,,3,,,
1545083,3320001000286,G51,大分～臼杵線,,3,,,
3173516,2000020442054,,宇目・直川線,,3,,,
1011014,3320001000286,10,上野線,,3,,,
1052516,3320001000286,M94,城南団地線　鶴崎線,,3,,,
1850053,3320001000286,K30,富士見が丘・緑が丘線,,3,,,
3113102,2000020442054,,青山経由蒲江線,,3,,,
1011021,3320001000286,C10,大洲循環線　上野線,,3,,,
1942012,3320001000286,K41,萌葱台線,,3,,,
