stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1001 2,,高城駅前,,33.24306263,131.6544099,1001 2,,0,,,,
101 1,,舞鶴橋,,33.2412257,131.6234837,101 1,,0,,,,
1011 1,,仲西橋,,33.2413513,131.6608155,1011 1,,0,,,,
1011 2,,仲西橋,,33.24131293,131.6606094,1011 2,,0,,,,
1012 1,,池の平,,33.2364666,131.6613264,1012 1,,0,,,,
1012 2,,池の平,,33.2365244,131.6611475,1012 2,,0,,,,
1013 1,,猪野団地入口,,33.2317228,131.6611353,1013 1,,0,,,,
1013 2,,猪野団地入口,,33.2325588,131.6611258,1013 2,,0,,,,
1013 3,,猪野団地入口,,33.2320368,131.6606106,1013 3,,0,,,,
1014 1,,法勝台入口,,33.2287521,131.6603675,1014 1,,0,,,,
1014 2,,法勝台入口,,33.2293809,131.6602767,1014 2,,0,,,,
1015 1,,天然塚東,,33.2261455,131.6596404,1015 1,,0,,,,
1015 2,,天然塚東,,33.2258241,131.6592997,1015 2,,0,,,,
1016 2,,法勝台３丁目,,33.2288789,131.6611553,1016 2,,0,,,,
1017 1,,法勝台公園前,,33.2274433,131.6621928,1017 1,,0,,,,
1018 2,,法勝台１丁目,,33.22636452,131.6601435,1018 2,,0,,,,
102 1,,舞鶴高校前,,33.2431404,131.6228497,102 1,,0,,,,
1021 1,,明野西町,,33.2282073,131.6466972,1021 1,,0,,,,
1021 2,,明野西町,,33.2279861,131.6465836,1021 2,,0,,,,
1022 1,,明野緑町,,33.2291368,131.6482943,1022 1,,0,,,,
1022 2,,明野緑町,,33.2292524,131.6481277,1022 2,,0,,,,
1023 1,,奥山公園前,,33.229156,131.6504375,1023 1,,0,,,,
1023 2,,奥山公園前,,33.2292669,131.6504295,1023 2,,0,,,,
1024 1,,明野北町,,33.22915,131.6526073,1024 1,,0,,,,
1024 2,,明野北町,,33.2292533,131.6526008,1024 2,,0,,,,
1025 1,,明野北小学校前,,33.2297516,131.6543704,1025 1,,0,,,,
1025 2,,明野北小学校前,,33.23043066,131.6548271,1025 2,,0,,,,
1026 1,,紅陽台,,33.2316527,131.657738,1026 1,,0,,,,
1026 2,,紅陽台,,33.2317761,131.6576657,1026 2,,0,,,,
103 1,,競技場前,,33.2458839,131.6220029,103 1,,0,,,,
1031 5,,明野南町⑤,明野西小方面,33.22522,131.6476573,1031 5,,0,,,,
1032 1,,明野西小前,,33.2217408,131.6483353,1032 1,,0,,,,
1032 2,,明野西小前,,33.2219856,131.6480419,1032 2,,0,,,,
1033 1,,明野中学校,,33.2191151,131.6514445,1033 1,,0,,,,
1033 2,,明野中学校,,33.2192151,131.6512612,1033 2,,0,,,,
1034 1,,明野中学校,,33.2196818,131.6521278,1034 1,,0,,,,
1035 9,,ボンエルフ前,,33.2176834,131.6528137,1035 9,,0,,,,
1036 1,,明野高尾一丁目,,33.2159982,131.6512581,1036 1,,0,,,,
1036 2,,明野高尾一丁目,,33.216018,131.651149,1036 2,,0,,,,
1037 1,,高尾山公園入口,,33.2149279,131.6565144,1037 1,,0,,,,
1037 2,,高尾山公園入口,,33.214669,131.6565837,1037 2,,0,,,,
1038 1,,明野東口,,33.2136549,131.6586458,1038 1,,0,,,,
1038 2,,明野東口,,33.2139017,131.6587742,1038 2,,0,,,,
1039 2,,文化体育センター前,,33.2154182,131.6588323,1039 2,,0,,,,
104 1,,大津町一丁目,,33.2479061,131.6229854,104 1,,0,,,,
1040 1,,さつき町,,33.2173431,131.6588217,1040 1,,0,,,,
1040 2,,さつき町,,33.2178377,131.6589756,1040 2,,0,,,,
1041 1,,東小入口,,33.2196113,131.6590707,1041 1,,0,,,,
1041 2,,東小入口,,33.2196908,131.6589228,1041 2,,0,,,,
1042 1,,旭町,,33.2229956,131.6590986,1042 1,,0,,,,
1042 2,,旭町,,33.2229986,131.6592055,1042 2,,0,,,,
105 1,,西新地入口,,33.2498573,131.6225148,105 1,,0,,,,
1051 1,,城東中学校前,,33.2399494,131.6468968,1051 1,,0,,,,
1051 2,,城東中学校前,,33.2406526,131.6466048,1051 2,,0,,,,
1052 1,,東原,,33.234914,131.6503519,1052 1,,0,,,,
1052 2,,東原,,33.2347456,131.6498346,1052 2,,0,,,,
1053 1,,大分高専,,33.2326634,131.652061,1053 1,,0,,,,
1053 2,,大分高専,,33.2326079,131.6518174,1053 2,,0,,,,
1054 1,,明野北町,,33.2298707,131.6520524,1054 1,,0,,,,
1054 2,,明野北町,,33.2300068,131.6518456,1054 2,,0,,,,
1055 1,,明野元町,,33.2264741,131.6520191,1055 1,,0,,,,
1055 2,,明野元町,,33.2264466,131.6517651,1055 2,,0,,,,
1056 1,,アクロス前,,33.2230072,131.6520877,1056 1,,0,,,,
1056 2,,アクロス前,,33.2235446,131.6517845,1056 2,,0,,,,
1057 1,,明野中町,,33.221426,131.6529639,1057 1,,0,,,,
1057 2,,明野中町,,33.2211693,131.6528528,1057 2,,0,,,,
1058 1,,明野中央病院前,,33.2201816,131.6567701,1058 1,,0,,,,
1058 2,,明野中央病院前,,33.2200683,131.6572161,1058 2,,0,,,,
106 1,,西新地二丁目,,33.2507115,131.6248321,106 1,,0,,,,
107 1,,大洲運動公園前,,33.2494434,131.6274773,107 1,,0,,,,
108 1,,大空団地,,33.2485021,131.6270046,108 1,,0,,,,
109 1,,東津留,,33.2408506,131.6288688,109 1,,0,,,,
11 1,,中央通り①,,33.2367678,131.6074961,11 1,,0,,,,
110 1,,津留小学校前,,33.2393929,131.630216,110 1,,0,,,,
1101 1,,米良バイパス入口,,33.2305359,131.6351576,1101 1,,0,,,,
1101 2,,米良バイパス入口,,33.2301687,131.6354327,1101 2,,0,,,,
1102 1,,下郡南,,33.2249336,131.6350918,1102 1,,0,,,,
1102 2,,下郡南,,33.2246934,131.6352956,1102 2,,0,,,,
1103 1,,長谷町,,33.2204051,131.6356167,1103 1,,0,,,,
1103 2,,長谷町,,33.220678,131.6356225,1103 2,,0,,,,
1104 1,,藤の台入口,,33.2178402,131.6375099,1104 1,,0,,,,
1104 2,,藤の台入口,,33.2179379,131.6375505,1104 2,,0,,,,
1105 1,,藤の台,,33.21451545,131.6406457,1105 1,,0,,,,
1105 2,,藤の台,,33.215013,131.640836,1105 2,,0,,,,
1106 1,,ゆめが丘,,33.212399,131.6433693,1106 1,,0,,,,
1106 2,,ゆめが丘,,33.2128853,131.6429841,1106 2,,0,,,,
1107 1,,教育会館入口,,33.2107976,131.6447485,1107 1,,0,,,,
1107 2,,教育会館入口,,33.2108105,131.64487,1107 2,,0,,,,
1108 1,,パークシティ明野西,,33.2091361,131.6460589,1108 1,,0,,,,
1108 2,,パークシティ明野西,,33.2092994,131.6462512,1108 2,,0,,,,
1109 1,,パークシティ明野中央,,33.2097406,131.6478943,1109 1,,0,,,,
1109 2,,パークシティ明野中央,,33.2098302,131.6478486,1109 2,,0,,,,
111 1,,古ヶ鶴一丁目,,33.2395466,131.6322241,111 1,,0,,,,
1110 1,,パークシティ明野ＳＣ,,33.2103951,131.6493514,1110 1,,0,,,,
1110 2,,パークシティ明野ＳＣ,,33.2105431,131.6493574,1110 2,,0,,,,
1111 1,,大分高校前,,33.2133624,131.6507166,1111 1,,0,,,,
1112 1,,情報科学高校入口,,33.2053643,131.6471017,1112 1,,0,,,,
1112 2,,情報科学高校入口,,33.2048457,131.6465741,1112 2,,0,,,,
1113 1,,情報科学高校,,33.2037596,131.6476203,1113 1,,0,,,,
1114 1,,公園西インター入口,,33.1954475,131.6471481,1114 1,,0,,,,
1114 2,,公園西インター入口,,33.1951232,131.6469144,1114 2,,0,,,,
1115 1,,運転免許センター,,33.1891205,131.6482134,1115 1,,0,,,,
1115 2,,運転免許センター,,33.1892397,131.6479705,1115 2,,0,,,,
1116 1,,パークプレイス大分,,33.1958612,131.658074,1116 1,,0,,,,
1116 2,,パークプレイス大分,,33.1958537,131.6580763,1116 2,,0,,,,
1117 1,,パークプレイス入口,,33.1949902,131.6599999,1117 1,,0,,,,
1117 2,,パークプレイス入口,,33.1944348,131.6599914,1117 2,,0,,,,
1118 1,,公園通り中央,,33.1896722,131.6575216,1118 1,,0,,,,
1119 1,,公園通り東,,33.1884742,131.6594318,1119 1,,0,,,,
112 1,,古ヶ鶴公民館入口,,33.2379173,131.6327508,112 1,,0,,,,
1120 1,,大分スポーツ公園東,,33.2027103,131.6608445,1120 1,,0,,,,
1120 2,,大分スポーツ公園東,,33.20311702,131.6609445,1120 2,,0,,,,
1121 1,,高尾水分神社前,,33.2079498,131.6605922,1121 1,,0,,,,
1121 2,,高尾水分神社前,,33.2078158,131.6607872,1121 2,,0,,,,
1122 1,,江ゴ,,33.2118709,131.6586855,1122 1,,0,,,,
1122 2,,江ゴ,,33.2118312,131.6588359,1122 2,,0,,,,
1123 9,,京が丘コスモ公園,,33.1761684,131.649094,1123 9,,0,,,,
1124 9,,京が丘センターハウス,,33.1751013,131.65204,1124 9,,0,,,,
1125 9,,京が丘ペガサス公園,,33.1730876,131.6486549,1125 9,,0,,,,
1126 1,,浄雲寺,,33.1767852,131.6601458,1126 1,,0,,,,
1126 2,,浄雲寺,,33.1770268,131.659778,1126 2,,0,,,,
1128 9,,京が丘南４丁目,,33.1740239,131.6445726,1128 9,,0,,,,
113 1,,古ヶ鶴二丁目,,33.2368371,131.6320092,113 1,,0,,,,
1131 9,,変電所正門前,,33.2288318,131.6379269,1131 9,,0,,,,
1132 9,,下郡東,,33.2252771,131.6396804,1132 9,,0,,,,
1133 9,,石鎚山前,,33.2228927,131.6386832,1133 9,,0,,,,
1134 9,,だいかく病院前,,33.2209815,131.6378538,1134 9,,0,,,,
1135 9,,長谷町,,33.2204782,131.6366047,1135 9,,0,,,,
1136 9,,市営団地入口,,33.2177275,131.6341039,1136 9,,0,,,,
1137 1,,滝尾小学校前,,33.2143582,131.6321226,1137 1,,0,,,,
1137 2,,滝尾小学校前,,33.2151184,131.6325528,1137 2,,0,,,,
1138 9,,滝尾小学校入口,,33.2133083,131.6312126,1138 9,,0,,,,
1139 9,,上片島,,33.2107573,131.6327026,1139 9,,0,,,,
114 1,,岩田町三丁目,,33.2364483,131.6302328,114 1,,0,,,,
1140 9,,滝尾保養院前,,33.2067787,131.6361652,1140 9,,0,,,,
1141 9,,米良入口,,33.2042337,131.6378467,1141 9,,0,,,,
1142 1,,米良,,33.2012486,131.6390676,1142 1,,0,,,,
1142 2,,米良,,33.2012474,131.6390904,1142 2,,0,,,,
115 1,,岩田町二丁目,,33.2359828,131.6281214,115 1,,0,,,,
1151 1,,東元町,,33.228479,131.6190029,1151 1,,0,,,,
1151 2,,東元町,,33.2284866,131.6187159,1151 2,,0,,,,
1152 1,,元町,,33.2226481,131.6184449,1152 1,,0,,,,
1152 2,,元町,,33.2227104,131.618286,1152 2,,0,,,,
1153 1,,薬師堂前,,33.220331,131.6166179,1153 1,,0,,,,
1153 2,,薬師堂前,,33.2205028,131.6165683,1153 2,,0,,,,
1154 1,,岩屋寺,,33.2173403,131.6136656,1154 1,,0,,,,
1154 2,,岩屋寺,,33.2185232,131.6146325,1154 2,,0,,,,
1155 1,,上新田,,33.2156224,131.6119925,1155 1,,0,,,,
1155 2,,上新田,,33.2147816,131.6109796,1155 2,,0,,,,
1156 1,,ＪＡ全農おおいた,,33.2130326,131.609454,1156 1,,0,,,,
1156 2,,ＪＡ全農おおいた,,33.2130277,131.6092683,1156 2,,0,,,,
1157 1,,花園,,33.2104644,131.6069458,1157 1,,0,,,,
1157 2,,花園,,33.210563,131.6069008,1157 2,,0,,,,
1158 3,,府内大橋③,元町側大分方面,33.2057378,131.6032631,1158 3,,0,,,,
116 1,,岩田町一丁目,,33.236319,131.6268825,116 1,,0,,,,
1161 1,,滝尾橋東,,33.23148,131.6259461,1161 1,,0,,,,
1161 2,,滝尾橋東,,33.2310926,131.6259061,1161 2,,0,,,,
1162 9,,下郡工業団地,,33.2290339,131.6264429,1162 9,,0,,,,
1163 1,,下郡,,33.2274288,131.6296814,1163 1,,0,,,,
1163 2,,下郡,,33.2273508,131.6296887,1163 2,,0,,,,
1164 1,,下郡中央,,33.2255152,131.631317,1164 1,,0,,,,
1164 2,,下郡中央,,33.2254949,131.6311749,1164 2,,0,,,,
1165 1,,羽田入口,,33.221839,131.6303735,1165 1,,0,,,,
1165 2,,羽田入口,,33.2218721,131.6302641,1165 2,,0,,,,
1166 1,,羽田,,33.2187302,131.6290798,1166 1,,0,,,,
1166 2,,羽田,,33.2187146,131.6289514,1166 2,,0,,,,
117 1,,岩田学園,,33.2382168,131.626308,117 1,,0,,,,
1175 1,,大分自動車学校前,,33.2135182,131.6169571,1175 1,,0,,,,
1175 2,,大分自動車学校前,,33.2138271,131.6164151,1175 2,,0,,,,
1176 1,,広瀬橋,,33.215945,131.6141338,1176 1,,0,,,,
1176 2,,広瀬橋,,33.2162311,131.6136135,1176 2,,0,,,,
1184 1,,下郡バイパス入口,,33.225702,131.6284492,1184 1,,0,,,,
1184 2,,下郡バイパス入口,,33.2257309,131.6282607,1184 2,,0,,,,
1185 1,,バイパス羽田,,33.2209813,131.6247401,1185 1,,0,,,,
1185 2,,バイパス羽田,,33.2212173,131.6247135,1185 2,,0,,,,
1186 1,,バイパス片島,,33.21798142,131.6222137,1186 1,,0,,,,
1186 2,,バイパス片島,,33.2181522,131.6221265,1186 2,,0,,,,
1187 1,,大分こども病院前,,33.2154739,131.6201346,1187 1,,0,,,,
1187 2,,大分こども病院前,,33.2156079,131.6199707,1187 2,,0,,,,
1188 1,,大分自動車学校入口,,33.214426,131.6192387,1188 1,,0,,,,
1188 2,,大分自動車学校入口,,33.2137038,131.618347,1188 2,,0,,,,
1189 1,,滝尾校区公民館前,,33.2163692,131.6281195,1189 1,,0,,,,
1189 2,,滝尾校区公民館前,,33.2164178,131.6279771,1189 2,,0,,,,
1190 1,,片島中,,33.2165086,131.6251827,1190 1,,0,,,,
1190 2,,片島中,,33.2169197,131.6242865,1190 2,,0,,,,
12 2,,中央通り②,,33.2366208,131.6075081,12 2,,0,,,,
1201 1,,末広町,,33.2361296,131.6039293,1201 1,,0,,,,
1201 2,,末広町,,33.2366916,131.6032545,1201 2,,0,,,,
1202 1,,大道小学校前,,33.2337968,131.6001675,1202 1,,0,,,,
1202 2,,大道小学校前,,33.23316273,131.5993982,1202 2,,0,,,,
1203 1,,大道四丁目,,33.2300665,131.5976903,1203 1,,0,,,,
1203 2,,大道四丁目,,33.2295089,131.5970034,1203 2,,0,,,,
1204 1,,椎迫入口,,33.2273085,131.5959118,1204 1,,0,,,,
1204 2,,椎迫入口,,33.2274812,131.5956799,1204 2,,0,,,,
1205 1,,南太平寺,,33.2190871,131.5950292,1205 1,,0,,,,
1205 2,,南太平寺,,33.2174512,131.5951603,1205 2,,0,,,,
1206 1,,羽屋新町,,33.2126384,131.5968591,1206 1,,0,,,,
1206 2,,羽屋新町,,33.21261488,131.5965661,1206 2,,0,,,,
