trans_id,lang,translation
加納,ja,加納
加納,ja-Hrkt,かのう
加納,en,Kano
加納,ko,가노
加納,zh-cn,加纳
加納,zh-tw,加納
大分スポーツ公園東,ja,大分スポーツ公園東
大分スポーツ公園東,ja-Hrkt,おおいたすぽーつこうえんひがし
日吉原レジャープール,ja,日吉原レジャープール
日吉原レジャープール,ja-Hrkt,ひよしばるれじゃーぷーる
農協前,ja,農協前
農協前,ja-Hrkt,のうきょうまえ
犬飼遊船のりば,ja,犬飼遊船のりば
犬飼遊船のりば,ja-Hrkt,いぬかいゆうせんのりば
犬飼遊船のりば,en,Inukai Yusen Noriba
犬飼遊船のりば,ko,이누카이유센노리바
犬飼遊船のりば,zh-cn,犬饲游船搭乘处
犬飼遊船のりば,zh-tw,犬飼遊船搭乘處
大分南署前,ja,大分南署前
大分南署前,ja-Hrkt,おおいたみなみしょまえ
大分南署前,en,Oita Minamisho Mae
大分南署前,ko,오이타미나미쇼마에
大分南署前,zh-cn,大分南署前
大分南署前,zh-tw,大分南署前
井手淵,ja,井手淵
井手淵,ja-Hrkt,いでぶち
大柳,ja,大柳
大柳,ja-Hrkt,おやなぎ
法勝台入口,ja,法勝台入口
法勝台入口,ja-Hrkt,ほうしょうだいいりぐち
後田,ja,後田
後田,ja-Hrkt,うしろだ
風連鍾乳洞入口,ja,風連鍾乳洞入口
風連鍾乳洞入口,ja-Hrkt,ふうれんしょうにゅうどういりぐち
浜田入口,ja,浜田入口
浜田入口,ja-Hrkt,はまだいりぐち
仲西橋,ja,仲西橋
仲西橋,ja-Hrkt,なかにしばし
仲西橋,en,Nakanishibashi
仲西橋,ko,나카니시바시
仲西橋,zh-cn,仲西桥
仲西橋,zh-tw,仲西橋
道の駅やよい前,ja,道の駅やよい前
道の駅やよい前,ja-Hrkt,みちのえきやよいまえ
道の駅やよい前,en,Michinoeki Yayoi Mae
道の駅やよい前,ko,미치노에키야요이마에
道の駅やよい前,zh-cn,道之站弥生前
道の駅やよい前,zh-tw,道路休息站彌生前
三佐郵便局前,ja,三佐郵便局前
三佐郵便局前,ja-Hrkt,みさゆうびんきょくまえ
尾浦トンネル入口,ja,尾浦トンネル入口
尾浦トンネル入口,ja-Hrkt,おうらとんねるいりぐち
間庭,ja,間庭
間庭,ja-Hrkt,まにわ
敷戸南,ja,敷戸南
敷戸南,ja-Hrkt,しきどみなみ
間庭,en,Maniwa
間庭,ko,마니와
間庭,zh-cn,間庭
間庭,zh-tw,间庭
大分高校前,ja,大分高校前
大分高校前,ja-Hrkt,おおいたこうこうまえ
大分高校前,en,Oita Koko Mae
大分高校前,ko,오이타코코마에
大分高校前,zh-cn,大分高校前
大分高校前,zh-tw,大分高校前
中島,ja,中島
中島,ja-Hrkt,なかしま
中島,en,Nakashima
中島,ko,나카시마
中島,zh-cn,中岛
中島,zh-tw,中島
仲川原,ja,仲川原
仲川原,ja-Hrkt,なかがわら
下松岡,ja,下松岡
下松岡,ja-Hrkt,しもまつおか
打水,ja,打水
打水,ja-Hrkt,うちみず
打水,en,Uchimizu
打水,ko,우치미즈
打水,zh-cn,打水
打水,zh-tw,打水
米良,ja,米良
米良,ja-Hrkt,めら
米良,en,Mera
米良,ko,메라
米良,zh-cn,米良
米良,zh-tw,米良
仲西町,ja,仲西町
仲西町,ja-Hrkt,なかにしまち
梅が丘二丁目南,ja,梅が丘二丁目南
梅が丘二丁目南,ja-Hrkt,うめがおかにちょうめみなみ
緑が丘二丁目,ja,緑が丘二丁目
緑が丘二丁目,ja-Hrkt,みどりがおかにちょうめ
緑が丘二丁目,en,Midorigaoka 2 Chome
緑が丘二丁目,ko,미도리가오카니초메
緑が丘二丁目,zh-cn,绿丘二丁目
緑が丘二丁目,zh-tw,綠丘二丁目
医大バイパス入口,ja,医大バイパス入口
医大バイパス入口,ja-Hrkt,いだいばいぱすいりぐち
陽光台北,ja,陽光台北
陽光台北,ja-Hrkt,ようこうだいきた
陽光台北,en,Yokodai Kita
陽光台北,ko,요코다이키타
陽光台北,zh-cn,阳光台北
陽光台北,zh-tw,陽光台北
法勝台公園前,ja,法勝台公園前
法勝台公園前,ja-Hrkt,ほうしょうだいこうえんまえ
法勝台公園前,en,Hoshodai Koen Mae
法勝台公園前,ko,호쇼다이코엔마에
法勝台公園前,zh-cn,法胜台公园前
法勝台公園前,zh-tw,法勝台公園前
波津久,ja,波津久
波津久,ja-Hrkt,はづく
古庵,ja,古庵
古庵,ja-Hrkt,ふるあん
新貝,ja,新貝
新貝,ja-Hrkt,しんがい
新貝,en,Shingai
新貝,ko,신가이
新貝,zh-cn,新贝
新貝,zh-tw,新貝
恵良,ja,恵良
恵良,ja-Hrkt,えら
恵良,en,Era [Oitashi]
恵良,ko,에라 [오이타시]
恵良,zh-cn,惠良［大分市］
恵良,zh-tw,惠良［大分市］
光吉新町,ja,光吉新町
光吉新町,ja-Hrkt,みつよししんまち
光吉新町,en,Mitsuyoshi Shimmachi
光吉新町,ko,미쓰요시신마치
光吉新町,zh-cn,光吉新町
光吉新町,zh-tw,光吉新町
板屋町,ja,板屋町
板屋町,ja-Hrkt,いたやまち
浜田入口,en,Hamada Iriguchi
浜田入口,ko,하마다이리구치
浜田入口,zh-cn,滨田入口
浜田入口,zh-tw,濱田入口
田尻ＧＨ入口,ja,田尻ＧＨ入口
田尻ＧＨ入口,ja-Hrkt,たじりぐりーんはいついりぐち
田尻ＧＨ入口,en,Tajiri Green Heights Iriguchi
田尻ＧＨ入口,ko,다지리그린하이츠이리구치
田尻ＧＨ入口,zh-cn,田尻绿地住宅区入口
田尻ＧＨ入口,zh-tw,田尻綠地公寓入口
大分スポーツ公園東,en,Oita Sports Koen Higashi
大分スポーツ公園東,ko,오이타스포츠코엔히가시
大分スポーツ公園東,zh-cn,大分体育公园东
大分スポーツ公園東,zh-tw,大分體育公園東
戸次,ja,戸次
戸次,ja-Hrkt,へつぎ
城原,ja,城原
城原,ja-Hrkt,じょうはる
城原,en,Joharu [Oita]
城原,ko,조하루 [오이타]
城原,zh-cn,城原［大分］
城原,zh-tw,城原［大分］
大分高専,ja,大分高専
大分高専,ja-Hrkt,おおいたこうせん
岩屋寺,ja,岩屋寺
岩屋寺,ja-Hrkt,いわやじ
岩屋寺,en,Iwayaji
岩屋寺,ko,이와야지
岩屋寺,zh-cn,岩屋寺
岩屋寺,zh-tw,岩屋寺
蒲戸,ja,蒲戸
蒲戸,ja-Hrkt,かまど
宮崎台,ja,宮崎台
宮崎台,ja-Hrkt,みやざきだい
宮崎台,en,Miyazakidai
宮崎台,ko,미야자키다이
宮崎台,zh-cn,宫崎台
宮崎台,zh-tw,宮崎台
光吉公園前,ja,光吉公園前
光吉公園前,ja-Hrkt,みつよしこうえんまえ
光吉公園前,en,Mitsuyoshi Koen Mae
光吉公園前,ko,미쓰요시코엔마에
光吉公園前,zh-cn,光吉公园前
光吉公園前,zh-tw,光吉公園前
桃園団地中,ja,桃園団地中
桃園団地中,ja-Hrkt,ももぞのだんちなか
桃園団地中,en,Momozono Danchi Naka
桃園団地中,ko,모모조노단치나카
桃園団地中,zh-cn,桃园团地中
桃園団地中,zh-tw,桃園團地中
中の島東町,ja,中の島東町
中の島東町,ja-Hrkt,なかのしまひがしまち
鍛治屋橋,ja,鍛治屋橋
鍛治屋橋,ja-Hrkt,かじやばし
府坂,ja,府坂
府坂,ja-Hrkt,ふさか
府坂,en,Fusaka
府坂,ko,후사카
