service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10_平日(共通),1,1,1,1,1,0,0,20251116,20261116
10_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
10_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
11_平日(共通),1,1,1,1,1,0,0,20251116,20261116
11_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
11_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
12_平日(共通),1,1,1,1,1,0,0,20251116,20261116
12_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
12_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
13_平日(共通),1,1,1,1,1,0,0,20251116,20261116
13_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
13_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
14_平日(共通),1,1,1,1,1,0,0,20251116,20261116
14_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
14_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
16_平日(共通),1,1,1,1,1,0,0,20251116,20261116
16_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
16_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
6_平日(共通),1,1,1,1,1,0,0,20251116,20261116
6_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
6_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
7_平日(共通),1,1,1,1,1,0,0,20251116,20261116
7_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
7_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
8_平日(共通),1,1,1,1,1,0,0,20251116,20261116
8_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
8_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
9_平日(共通),1,1,1,1,1,0,0,20251116,20261116
9_土曜(共通),0,0,0,0,0,1,0,20251116,20261116
9_日祝(共通),0,0,0,0,0,0,1,20251116,20261116
休校日 仕業増_改土曜,0,0,0,0,0,1,0,20251116,20261116
休校日 仕業増_改日祝,0,0,0,0,0,0,1,20251116,20261116
休日かつAPU休校日,0,0,0,0,0,0,1,20251116,20261116
休日かつAPU登校日,0,0,0,0,0,0,0,20251116,20261116
登校日　仕業組み換え10.01,1,1,1,1,1,0,0,20251116,20261116
土曜かつAPU休校日,0,0,0,0,0,1,0,20251116,20261116
土曜かつAPU登校日,0,0,0,0,0,0,0,20251116,20261116
平日かつAPU休校日,0,0,0,0,0,0,0,20251116,20261116
平日かつAPU登校日,1,1,1,1,1,0,0,20251116,20261116
