fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
4320001000062_0_00,0,JPY,0,0,,4320001000062
4320001000062_150_00,150,JPY,0,0,,4320001000062
4320001000062_160_00,160,JPY,0,0,,4320001000062
4320001000062_170_00,170,JPY,0,0,,4320001000062
4320001000062_180_00,180,JPY,0,0,,4320001000062
4320001000062_190_00,190,JPY,0,0,,4320001000062
4320001000062_200_00,200,JPY,0,0,,4320001000062
4320001000062_210_00,210,JPY,0,0,,4320001000062
4320001000062_220_00,220,JPY,0,0,,4320001000062
4320001000062_230_00,230,JPY,0,0,,4320001000062
4320001000062_240_00,240,JPY,0,0,,4320001000062
4320001000062_250_00,250,JPY,0,0,,4320001000062
4320001000062_260_00,260,JPY,0,0,,4320001000062
4320001000062_270_00,270,JPY,0,0,,4320001000062
4320001000062_280_00,280,JPY,0,0,,4320001000062
4320001000062_290_00,290,JPY,0,0,,4320001000062
4320001000062_300_00,300,JPY,0,0,,4320001000062
4320001000062_310_00,310,JPY,0,0,,4320001000062
4320001000062_320_00,320,JPY,0,0,,4320001000062
4320001000062_330_00,330,JPY,0,0,,4320001000062
4320001000062_340_00,340,JPY,0,0,,4320001000062
4320001000062_350_00,350,JPY,0,0,,4320001000062
4320001000062_360_00,360,JPY,0,0,,4320001000062
4320001000062_370_00,370,JPY,0,0,,4320001000062
4320001000062_380_00,380,JPY,0,0,,4320001000062
4320001000062_390_00,390,JPY,0,0,,4320001000062
4320001000062_400_00,400,JPY,0,0,,4320001000062
4320001000062_410_00,410,JPY,0,0,,4320001000062
4320001000062_420_00,420,JPY,0,0,,4320001000062
4320001000062_430_00,430,JPY,0,0,,4320001000062
4320001000062_440_00,440,JPY,0,0,,4320001000062
4320001000062_450_00,450,JPY,0,0,,4320001000062
4320001000062_460_00,460,JPY,0,0,,4320001000062
4320001000062_470_00,470,JPY,0,0,,4320001000062
4320001000062_480_00,480,JPY,0,0,,4320001000062
4320001000062_490_00,490,JPY,0,0,,4320001000062
4320001000062_500_00,500,JPY,0,0,,4320001000062
4320001000062_510_00,510,JPY,0,0,,4320001000062
4320001000062_520_00,520,JPY,0,0,,4320001000062
4320001000062_530_00,530,JPY,0,0,,4320001000062
4320001000062_540_00,540,JPY,0,0,,4320001000062
4320001000062_550_00,550,JPY,0,0,,4320001000062
4320001000062_560_00,560,JPY,0,0,,4320001000062
4320001000062_570_00,570,JPY,0,0,,4320001000062
4320001000062_580_00,580,JPY,0,0,,4320001000062
4320001000062_590_00,590,JPY,0,0,,4320001000062
4320001000062_600_00,600,JPY,0,0,,4320001000062
4320001000062_610_00,610,JPY,0,0,,4320001000062
4320001000062_620_00,620,JPY,0,0,,4320001000062
4320001000062_630_00,630,JPY,0,0,,4320001000062
4320001000062_640_00,640,JPY,0,0,,4320001000062
4320001000062_650_00,650,JPY,0,0,,4320001000062
4320001000062_660_00,660,JPY,0,0,,4320001000062
4320001000062_670_00,670,JPY,0,0,,4320001000062
4320001000062_680_00,680,JPY,0,0,,4320001000062
4320001000062_690_00,690,JPY,0,0,,4320001000062
4320001000062_700_00,700,JPY,0,0,,4320001000062
4320001000062_710_00,710,JPY,0,0,,4320001000062
4320001000062_720_00,720,JPY,0,0,,4320001000062
4320001000062_730_00,730,JPY,0,0,,4320001000062
4320001000062_740_00,740,JPY,0,0,,4320001000062
4320001000062_750_00,750,JPY,0,0,,4320001000062
4320001000062_760_00,760,JPY,0,0,,4320001000062
4320001000062_770_00,770,JPY,0,0,,4320001000062
4320001000062_780_00,780,JPY,0,0,,4320001000062
4320001000062_790_00,790,JPY,0,0,,4320001000062
4320001000062_800_00,800,JPY,0,0,,4320001000062
4320001000062_810_00,810,JPY,0,0,,4320001000062
4320001000062_820_00,820,JPY,0,0,,4320001000062
4320001000062_830_00,830,JPY,0,0,,4320001000062
4320001000062_840_00,840,JPY,0,0,,4320001000062
4320001000062_850_00,850,JPY,0,0,,4320001000062
4320001000062_860_00,860,JPY,0,0,,4320001000062
4320001000062_870_00,870,JPY,0,0,,4320001000062
4320001000062_880_00,880,JPY,0,0,,4320001000062
4320001000062_890_00,890,JPY,0,0,,4320001000062
4320001000062_900_00,900,JPY,0,0,,4320001000062
4320001000062_910_00,910,JPY,0,0,,4320001000062
4320001000062_920_00,920,JPY,0,0,,4320001000062
4320001000062_930_00,930,JPY,0,0,,4320001000062
4320001000062_940_00,940,JPY,0,0,,4320001000062
4320001000062_950_00,950,JPY,0,0,,4320001000062
4320001000062_960_00,960,JPY,0,0,,4320001000062
4320001000062_970_00,970,JPY,0,0,,4320001000062
4320001000062_990_00,990,JPY,0,0,,4320001000062
4320001000062_1000_00,1000,JPY,0,0,,4320001000062
4320001000062_1050_00,1050,JPY,0,0,,4320001000062
4320001000062_1100_00,1100,JPY,0,0,,4320001000062
4320001000062_1150_00,1150,JPY,0,0,,4320001000062
4320001000062_1200_00,1200,JPY,0,0,,4320001000062
4320001000062_1250_00,1250,JPY,0,0,,4320001000062
4320001000062_1300_00,1300,JPY,0,0,,4320001000062
4320001000062_1500_00,1500,JPY,0,0,,4320001000062
4320001000062_1600_00,1600,JPY,0,0,,4320001000062
4320001000062_2000_00,2000,JPY,0,0,,4320001000062
4320001000062_2100_00,2100,JPY,0,0,,4320001000062
4320001000062_2500_00,2500,JPY,0,0,,4320001000062
4320001000062_3000_00,3000,JPY,0,0,,4320001000062
