fare_id,route_id,origin_id,destination_id,contains_id
4320001000062_0_00,111,7000 1,82 0,
4320001000062_0_00,111,7000 1,85 0,
4320001000062_0_00,111,85 0,82 0,
4320001000062_0_00,110,85 3,7000 0,
4320001000062_0_00,110,82 4,85 3,
4320001000062_0_00,110,82 4,7000 0,
4320001000062_150_00,612,329 1,330 1,
4320001000062_150_00,612,331 1,333 1,
4320001000062_150_00,612,331 1,332 1,
4320001000062_150_00,612,331 1,334 1,
4320001000062_150_00,612,333 1,119 0,
4320001000062_150_00,612,333 1,1891 1,
4320001000062_150_00,612,333 1,336 1,
4320001000062_150_00,612,333 1,334 1,
4320001000062_150_00,612,333 1,335 1,
4320001000062_150_00,612,332 1,333 1,
4320001000062_150_00,612,332 1,334 1,
4320001000062_150_00,612,330 1,331 1,
4320001000062_150_00,612,330 1,333 1,
4320001000062_150_00,612,330 1,332 1,
4320001000062_150_00,612,330 1,334 1,
4320001000062_150_00,612,1891 1,119 0,
4320001000062_150_00,612,328 1,329 1,
4320001000062_150_00,612,328 1,330 1,
4320001000062_150_00,612,336 1,119 0,
4320001000062_150_00,612,336 1,1891 1,
4320001000062_150_00,612,334 1,119 0,
4320001000062_150_00,612,334 1,1891 1,
4320001000062_150_00,612,334 1,336 1,
4320001000062_150_00,612,334 1,335 1,
4320001000062_150_00,612,335 1,119 0,
4320001000062_150_00,612,335 1,1891 1,
4320001000062_150_00,612,335 1,336 1,
4320001000062_150_00,3360,368 1,370 1,
4320001000062_150_00,3360,368 1,371 1,
4320001000062_150_00,3360,368 1,369 1,
4320001000062_150_00,3360,368 1,372 1,
4320001000062_150_00,3360,368 1,2030 1,
4320001000062_150_00,3360,380 1,381 1,
4320001000062_150_00,3360,380 1,382 1,
4320001000062_150_00,3360,381 1,384 1,
4320001000062_150_00,3360,381 1,383 1,
4320001000062_150_00,3360,381 1,382 1,
4320001000062_150_00,3360,373 1,375 1,
4320001000062_150_00,3360,373 1,376 1,
4320001000062_150_00,3360,373 1,374 1,
4320001000062_150_00,3360,375 1,376 1,
4320001000062_150_00,3360,370 1,371 1,
4320001000062_150_00,3360,370 1,372 1,
4320001000062_150_00,3360,376 1,377 1,
4320001000062_150_00,3360,567 1,1704 0,
4320001000062_150_00,3360,384 1,567 1,
4320001000062_150_00,3360,384 1,551 1,
4320001000062_150_00,3360,384 1,1705 1,
4320001000062_150_00,3360,384 1,566 1,
4320001000062_150_00,3360,383 1,384 1,
4320001000062_150_00,3360,1853 1,1894 1,
4320001000062_150_00,3360,1853 1,367 1,
4320001000062_150_00,3360,1853 1,1852 1,
4320001000062_150_00,3360,371 1,373 1,
4320001000062_150_00,3360,371 1,375 1,
4320001000062_150_00,3360,371 1,376 1,
4320001000062_150_00,3360,371 1,374 1,
4320001000062_150_00,3360,371 1,372 1,
4320001000062_150_00,3360,374 1,375 1,
4320001000062_150_00,3360,374 1,376 1,
4320001000062_150_00,3360,551 1,567 1,
4320001000062_150_00,3360,551 1,1705 1,
4320001000062_150_00,3360,551 1,566 1,
4320001000062_150_00,3360,363 1,1853 1,
4320001000062_150_00,3360,363 1,1894 1,
4320001000062_150_00,3360,363 1,367 1,
4320001000062_150_00,3360,363 1,1852 1,
4320001000062_150_00,3360,362 1,1853 1,
4320001000062_150_00,3360,362 1,363 1,
4320001000062_150_00,3360,362 1,1894 1,
4320001000062_150_00,3360,362 1,367 1,
4320001000062_150_00,3360,362 1,1852 1,
4320001000062_150_00,3360,382 1,384 1,
4320001000062_150_00,3360,382 1,383 1,
4320001000062_150_00,3360,1705 1,567 1,
4320001000062_150_00,3360,1705 1,1704 0,
4320001000062_150_00,3360,1705 1,566 1,
4320001000062_150_00,3360,378 1,379 1,
4320001000062_150_00,3360,369 1,370 1,
4320001000062_150_00,3360,369 1,371 1,
4320001000062_150_00,3360,369 1,372 1,
4320001000062_150_00,3360,369 1,2030 1,
4320001000062_150_00,3360,566 1,567 1,
4320001000062_150_00,3360,566 1,1704 0,
4320001000062_150_00,3360,372 1,373 1,
4320001000062_150_00,3360,372 1,375 1,
4320001000062_150_00,3360,372 1,376 1,
4320001000062_150_00,3360,372 1,374 1,
4320001000062_150_00,3360,361 1,363 1,
4320001000062_150_00,3360,361 1,362 1,
4320001000062_150_00,3360,379 1,380 1,
4320001000062_150_00,3360,379 1,381 1,
4320001000062_150_00,3360,379 1,382 1,
4320001000062_150_00,3360,377 1,378 1,
4320001000062_150_00,3360,377 1,379 1,
4320001000062_150_00,3360,1894 1,367 1,
4320001000062_150_00,3360,1894 1,1852 1,
4320001000062_150_00,3360,2030 1,370 1,
4320001000062_150_00,3360,2030 1,371 1,
4320001000062_150_00,3360,2030 1,372 1,
4320001000062_150_00,3360,367 1,368 1,
4320001000062_150_00,3360,367 1,369 1,
4320001000062_150_00,3360,1852 1,367 1,
4320001000062_150_00,2671,380 1,379 2,
4320001000062_150_00,2671,375 1,372 1,
4320001000062_150_00,2671,375 1,374 2,
4320001000062_150_00,2671,375 1,371 2,
4320001000062_150_00,2671,375 1,373 2,
4320001000062_150_00,2671,363 2,361 0,
4320001000062_150_00,2671,363 2,362 2,
4320001000062_150_00,2671,551 2,384 2,
4320001000062_150_00,2671,370 2,2030 2,
4320001000062_150_00,2671,370 2,368 2,
4320001000062_150_00,2671,370 2,369 1,
4320001000062_150_00,2671,2030 2,368 2,
4320001000062_150_00,2671,2030 2,369 1,
4320001000062_150_00,2671,376 1,375 1,
4320001000062_150_00,2671,376 1,372 1,
4320001000062_150_00,2671,376 1,374 2,
4320001000062_150_00,2671,376 1,371 2,
4320001000062_150_00,2671,376 1,373 2,
4320001000062_150_00,2671,379 2,378 2,
4320001000062_150_00,2671,379 2,377 2,
4320001000062_150_00,2671,381 2,380 1,
4320001000062_150_00,2671,381 2,379 2,
4320001000062_150_00,2671,1803 2,381 2,
4320001000062_150_00,2671,1803 2,1946 1,
4320001000062_150_00,2671,1803 2,1802 2,
4320001000062_150_00,2671,384 2,381 2,
4320001000062_150_00,2671,384 2,1803 2,
4320001000062_150_00,2671,384 2,1946 1,
4320001000062_150_00,2671,384 2,1802 2,
4320001000062_150_00,2671,1852 2,363 2,
4320001000062_150_00,2671,1852 2,1853 1,
4320001000062_150_00,2671,1852 2,1894 2,
4320001000062_150_00,2671,1852 2,362 2,
4320001000062_150_00,2671,1853 1,363 2,
4320001000062_150_00,2671,1853 1,362 2,
4320001000062_150_00,2671,378 2,377 2,
4320001000062_150_00,2671,1894 2,363 2,
4320001000062_150_00,2671,1894 2,1853 1,
4320001000062_150_00,2671,1894 2,362 2,
4320001000062_150_00,2671,368 2,367 1,
4320001000062_150_00,2671,362 2,361 0,
4320001000062_150_00,2671,369 1,368 2,
4320001000062_150_00,2671,369 1,367 1,
4320001000062_150_00,2671,1946 1,381 2,
4320001000062_150_00,2671,567 2,551 2,
4320001000062_150_00,2671,567 2,384 2,
4320001000062_150_00,2671,567 2,566 2,
4320001000062_150_00,2671,567 2,1705 2,
