route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
401,4320001000062,AS60,鉄輪線,,3,,,
241,4320001000062,13P,県立図書館線,,3,,,
480,4320001000062,K,大分空港線（エアライナー）,,3,,,
7081,4320001000062,S,大分空港線（サウスライナー）,,3,,,
271,4320001000062,BR15,県立図書館線,,3,,,
51,4320001000062,X,大分空港線（エアライナー）,,3,,,
7080,4320001000062,S,大分空港線（サウスライナー）,,3,,,
3811,4320001000062,P13,青葉台線,,3,,,
612,4320001000062,,国杵線,,3,,,
260,4320001000062,BP3,県立図書館線,,3,,,
4711,4320001000062,51,APU線,,3,,FF0000,000000
270,4320001000062,BR2,県立図書館線,,3,,,
240,4320001000062,3P,県立図書館線,,3,,,
3360,4320001000062,,国中スクール線,,3,,,
410,4320001000062,60,鉄輪線,,3,,,
4041,4320001000062,HL,ハーモニーライナー,,3,,,
4801,4320001000062,55,APU線,,3,,800080,FFFFFF
290,4320001000062,B12,5号地線,,3,,,
130,4320001000062,AS71,別大線,,3,,,
291,4320001000062,B13,5号地線,,3,,,
4040,4320001000062,HL,ハーモニーライナー,,3,,,
481,4320001000062,K,大分空港線（エアライナー）,,3,,,
301,4320001000062,A1,5号地線,,3,,,
111,4320001000062,HT,ホーバーシャトルバス,,3,,,
4710,4320001000062,51,APU線,,3,,FF0000,000000
2671,4320001000062,,国中スクール線,,3,,,
4720,4320001000062,B,大分空港線（エアライナー）,,3,,,
631,4320001000062,,国杵線,,3,,,
3151,4320001000062,Q14,スカイタウン高崎線,,3,,,
411,4320001000062,60,鉄輪線,,3,,,
61,4320001000062,Y,大分空港線（湯布院ライナー）,,3,,,
261,4320001000062,BP13,県立図書館線,,3,,,
613,4320001000062,,国杵線,,3,,,
4760,4320001000062,52,APU線,,3,,FFA500,000000
3150,4320001000062,Q8,スカイタウン高崎線,,3,,,
4660,4320001000062,50,APU線,,3,,000000,FFFFFF
30,4320001000062,Z,大分空港線（エアライナー）,,3,,,
60,4320001000062,Y,大分空港線（湯布院ライナー）,,3,,,
300,4320001000062,A1,5号地線,,3,,,
4670,4320001000062,53,APU線,,3,,0000FF,FFFFFF
3861,4320001000062,P13,青葉台線,,3,,,
50,4320001000062,X,大分空港線（エアライナー）,,3,,,
131,4320001000062,AS71,別大線,,3,,,
400,4320001000062,AS60,鉄輪線,,3,,,
630,4320001000062,,国杵線,,3,,,
3810,4320001000062,P23,青葉台線,,3,,,
4721,4320001000062,B,大分空港線（エアライナー）,,3,,,
3800,4320001000062,P24,青葉台線,,3,,,
110,4320001000062,HT,ホーバーシャトルバス,,3,,,
4761,4320001000062,52,APU線,,3,,FFA500,000000
4680,4320001000062,AS54,APU線,,3,,64C800,000000
4661,4320001000062,50,APU線,,3,,000000,FFFFFF
4800,4320001000062,55,APU線,,3,,800080,FFFFFF
