stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1 1,,東別府駅前,,33.2682404,131.5107609,1 1,,0,,,,
1 2,,東別府駅前,,33.2684728,131.5109195,1 2,,0,,,,
10 0,,餅ヶ浜,,33.2935823,131.5027152,10 0,,0,,,,
10 1,,餅ヶ浜,,33.292488,131.5028035,10 1,,0,,,,
10 2,,餅ヶ浜,,33.2935919,131.5027159,10 2,,0,,,,
11 1,,別府郵便局前,,33.2952398,131.5021539,11 1,,0,,,,
11 2,,別府郵便局前,,33.29505442,131.5024034,11 2,,0,,,,
119 0,,杵築バスターミナル,,33.41877,131.6227298,119 0,,0,,,,
119 1,,杵築バスターミナル,,33.418771,131.6227314,119 1,,0,,,,
119 2,,杵築バスターミナル,,33.4187597,131.6227139,119 2,,0,,,,
12 0,,別府交通センター,,33.29850405,131.5027032,12 0,,0,,,,
12 1,,別府交通センター,,33.2984185,131.5031352,12 1,,0,,,,3
12 2,,別府交通センター,,33.29850405,131.5027532,12 2,,0,,,,2
12 3,,観光港,,33.3001386,131.5020826,12 3,,0,,,,1
121 0,,関の江大交車庫前,,33.3441503,131.492028,121 0,,0,,,,
121 1,,関の江大交車庫前,,33.3441302,131.492035,121 1,,0,,,,
123 1,,昭和通り,,33.23894556,131.6057974,123 1,,0,,,,
123 2,,昭和通り,,33.2391595,131.6054154,123 2,,0,,,,
124 1,,オアシスひろば前,,33.2388788,131.6017828,124 1,,0,,,,
124 2,,オアシスひろば前,,33.2390912,131.6016866,124 2,,0,,,,
125 1,,高砂町,,33.2388756,131.599335,125 1,,0,,,,
125 2,,高砂町,,33.2390518,131.5994957,125 2,,0,,,,
126 1,,春日町,,33.2378281,131.5979822,126 1,,0,,,,
126 2,,春日町,,33.2380327,131.5978591,126 2,,0,,,,
127 1,,田室町,,33.2347798,131.5976092,127 1,,0,,,,
127 2,,田室町,,33.2348455,131.5975142,127 2,,0,,,,
128 1,,南春日町,,33.2347541,131.5958071,128 1,,0,,,,
128 2,,南春日町,,33.2348118,131.5957958,128 2,,0,,,,
129 1,,大分市営グランド前,,33.2347713,131.5931586,129 1,,0,,,,
129 2,,大分市営グランド前,,33.2348483,131.5935527,129 2,,0,,,,
13 1,,第三埠頭入口,,33.3010233,131.5029347,13 1,,0,,,,
13 2,,第三埠頭入口,,33.3008397,131.5031124,13 2,,0,,,,
130 2,,附属中学校前,,33.2369382,131.592697,130 2,,0,,,,
131 2,,附属特別支援学校前,,33.2387477,131.5916683,131 2,,0,,,,
131 3,,附属特別支援学校前,,33.2388322,131.5909774,131 3,,0,,,,
132 1,,王子南町,,33.2411078,131.5913898,132 1,,0,,,,
132 2,,王子南町,,33.2411011,131.5914783,132 2,,0,,,,
133 1,,王子西町,,33.2422416,131.5908285,133 1,,0,,,,
133 2,,王子西町,,33.2425631,131.5906426,133 2,,0,,,,
134 1,,東生石,,33.243185,131.5889387,134 1,,0,,,,
134 2,,東生石,,33.2433074,131.5891705,134 2,,0,,,,
135 0,,生石,,33.2448576,131.5862085,135 0,,0,,,,
135 1,,生石,,33.2447478,131.5859132,135 1,,0,,,,1
14 1,,春木川,,33.3065981,131.5019911,14 1,,0,,,,
14 2,,春木川,,33.3063637,131.5022265,14 2,,0,,,,
15 1,,深町,,33.3091095,131.501691,15 1,,0,,,,
15 2,,深町,,33.3094244,131.5018599,15 2,,0,,,,
153 0,,５号地大交車庫,,33.2588703,131.612327,153 0,,0,,,,
153 1,,５号地大交車庫,,33.2588695,131.6123178,153 1,,0,,,,
154 1,,弁天三丁目,,33.2561794,131.6134715,154 1,,0,,,,
154 2,,弁天三丁目,,33.256254,131.6137283,154 2,,0,,,,
155 1,,卸売市場前,,33.2553231,131.6120313,155 1,,0,,,,
155 2,,卸売市場前,,33.2551127,131.6118259,155 2,,0,,,,
156 1,,豊海三丁目,,33.2531857,131.609121,156 1,,0,,,,
156 2,,豊海三丁目,,33.25331075,131.6091632,156 2,,0,,,,
157 1,,泉町,,33.2502938,131.613216,157 1,,0,,,,
157 2,,泉町,,33.2502871,131.6133456,157 2,,0,,,,
158 1,,豊町,,33.249425,131.6139548,158 1,,0,,,,
158 2,,豊町,,33.2493591,131.6141391,158 2,,0,,,,
159 1,,十条,,33.2477715,131.6148601,159 1,,0,,,,
159 2,,十条,,33.2472933,131.6150283,159 2,,0,,,,
16 0,,六勝園,,33.3122034,131.5012244,16 0,,0,,,,
16 1,,六勝園,,33.3129844,131.500761,16 1,,0,,,,
16 2,,六勝園,,33.3122036,131.5012107,16 2,,0,,,,
160 1,,八条,,33.2455635,131.6151639,160 1,,0,,,,
160 2,,八条,,33.2455686,131.6152661,160 2,,0,,,,
161 1,,六条,,33.2443766,131.6153219,161 1,,0,,,,
161 2,,六条,,33.2438613,131.6155077,161 2,,0,,,,
162 1,,三条,,33.2424886,131.6155834,162 1,,0,,,,
162 2,,三条,,33.242492,131.6156857,162 2,,0,,,,
163 1,,一条,,33.2405327,131.6156793,163 1,,0,,,,
163 2,,一条,,33.2403635,131.6157965,163 2,,0,,,,
164 1,,県庁前,,33.2393202,131.6129093,164 1,,0,,,,
164 2,,県庁前,,33.2390915,131.6128085,164 2,,0,,,,
165 1,,合同新聞社前,,33.2390582,131.6104797,165 1,,0,,,,
17 1,,上人ヶ浜公園前,,33.3144396,131.5004043,17 1,,0,,,,
17 2,,上人ヶ浜公園前,,33.3145625,131.5006428,17 2,,0,,,,
1704 0,,国東中学校前,,33.5754751,131.7298899,1704 0,,0,,,,
1704 1,,国東中学校前,,33.5754707,131.7298926,1704 1,,0,,,,
1705 1,,国東市役所前,,33.5635191,131.7326725,1705 1,,0,,,,
1705 2,,国東市役所前,,33.5624387,131.7329171,1705 2,,0,,,,
1733 1,,春日町小学校前,,33.2396753,131.5964553,1733 1,,0,,,,
1733 2,,春日町小学校前,,33.2398057,131.5965635,1733 2,,0,,,,
