service_id,date,exception_type
428_平日(共通),20251013,2
428_日祝(共通),20251013,1
431_平日(共通),20251013,2
431_日祝(共通),20251013,1
428_平日(共通),20251103,2
428_日祝(共通),20251103,1
431_平日(共通),20251103,2
431_日祝(共通),20251103,1
428_平日(共通),20251124,2
428_日祝(共通),20251124,1
431_平日(共通),20251124,2
431_日祝(共通),20251124,1
428_平日(共通),20260101,2
428_日祝(共通),20260101,1
431_平日(共通),20260101,2
431_日祝(共通),20260101,1
428_平日(共通),20260112,2
428_日祝(共通),20260112,1
431_平日(共通),20260112,2
431_日祝(共通),20260112,1
428_平日(共通),20260211,2
428_日祝(共通),20260211,1
431_平日(共通),20260211,2
431_日祝(共通),20260211,1
428_平日(共通),20260223,2
428_日祝(共通),20260223,1
431_平日(共通),20260223,2
431_日祝(共通),20260223,1
428_平日(共通),20260320,2
428_日祝(共通),20260320,1
431_平日(共通),20260320,2
431_日祝(共通),20260320,1
428_平日(共通),20260429,2
428_日祝(共通),20260429,1
431_平日(共通),20260429,2
431_日祝(共通),20260429,1
428_平日(共通),20260504,2
428_日祝(共通),20260504,1
431_平日(共通),20260504,2
431_日祝(共通),20260504,1
428_平日(共通),20260505,2
428_日祝(共通),20260505,1
431_平日(共通),20260505,2
431_日祝(共通),20260505,1
428_平日(共通),20260506,2
428_日祝(共通),20260506,1
431_平日(共通),20260506,2
431_日祝(共通),20260506,1
428_平日(共通),20260720,2
428_日祝(共通),20260720,1
431_平日(共通),20260720,2
431_日祝(共通),20260720,1
428_平日(共通),20260811,2
428_日祝(共通),20260811,1
431_平日(共通),20260811,2
431_日祝(共通),20260811,1
428_平日(共通),20260921,2
428_日祝(共通),20260921,1
431_平日(共通),20260921,2
431_日祝(共通),20260921,1
428_平日(共通),20260922,2
428_日祝(共通),20260922,1
431_平日(共通),20260922,2
431_日祝(共通),20260922,1
428_平日(共通),20260923,2
428_日祝(共通),20260923,1
431_平日(共通),20260923,2
431_日祝(共通),20260923,1
