fare_id,route_id,origin_id,destination_id,contains_id
3320001009575_150_00,8009043,8044 2,8304 9,
3320001009575_150_00,8009043,8044 2,8302 9,
3320001009575_150_00,8009043,8044 2,8047 2,
3320001009575_150_00,8009043,8044 2,8303 2,
3320001009575_150_00,8009043,8044 2,8048 2,
3320001009575_150_00,8009043,8044 2,8301 9,
3320001009575_150_00,8009043,8044 2,8046 2,
3320001009575_150_00,8009043,8044 2,8050 9,
3320001009575_150_00,8009043,8044 2,8045 2,
3320001009575_150_00,8009043,8302 9,8304 9,
3320001009575_150_00,8009043,8302 9,8303 2,
3320001009575_150_00,8009043,8043 1,8304 9,
3320001009575_150_00,8009043,8043 1,8044 2,
3320001009575_150_00,8009043,8043 1,8302 9,
3320001009575_150_00,8009043,8043 1,8047 2,
3320001009575_150_00,8009043,8043 1,8303 2,
3320001009575_150_00,8009043,8043 1,8048 2,
3320001009575_150_00,8009043,8043 1,8301 9,
3320001009575_150_00,8009043,8043 1,8046 2,
3320001009575_150_00,8009043,8043 1,8050 9,
3320001009575_150_00,8009043,8043 1,8045 2,
3320001009575_150_00,8009043,8047 2,8304 9,
3320001009575_150_00,8009043,8047 2,8302 9,
3320001009575_150_00,8009043,8047 2,8303 2,
3320001009575_150_00,8009043,8047 2,8048 2,
3320001009575_150_00,8009043,8047 2,8301 9,
3320001009575_150_00,8009043,8047 2,8050 9,
3320001009575_150_00,8009043,8303 2,8304 9,
3320001009575_150_00,8009043,8048 2,8304 9,
3320001009575_150_00,8009043,8048 2,8302 9,
3320001009575_150_00,8009043,8048 2,8303 2,
3320001009575_150_00,8009043,8048 2,8301 9,
3320001009575_150_00,8009043,8042 2,8304 9,
3320001009575_150_00,8009043,8042 2,8044 2,
3320001009575_150_00,8009043,8042 2,8302 9,
3320001009575_150_00,8009043,8042 2,8043 1,
3320001009575_150_00,8009043,8042 2,8047 2,
3320001009575_150_00,8009043,8042 2,8303 2,
3320001009575_150_00,8009043,8042 2,8048 2,
3320001009575_150_00,8009043,8042 2,8301 9,
3320001009575_150_00,8009043,8042 2,8046 2,
3320001009575_150_00,8009043,8042 2,8050 9,
3320001009575_150_00,8009043,8042 2,8045 2,
3320001009575_150_00,8009043,8301 9,8304 9,
3320001009575_150_00,8009043,8301 9,8302 9,
3320001009575_150_00,8009043,8301 9,8303 2,
3320001009575_150_00,8009043,8040 1,8304 9,
3320001009575_150_00,8009043,8040 1,8044 2,
3320001009575_150_00,8009043,8040 1,8302 9,
3320001009575_150_00,8009043,8040 1,8043 1,
3320001009575_150_00,8009043,8040 1,8047 2,
3320001009575_150_00,8009043,8040 1,8303 2,
3320001009575_150_00,8009043,8040 1,8048 2,
3320001009575_150_00,8009043,8040 1,8042 2,
3320001009575_150_00,8009043,8040 1,8301 9,
3320001009575_150_00,8009043,8040 1,8041 1,
3320001009575_150_00,8009043,8040 1,8046 2,
3320001009575_150_00,8009043,8040 1,8050 9,
3320001009575_150_00,8009043,8040 1,8045 2,
3320001009575_150_00,8009043,8041 1,8304 9,
3320001009575_150_00,8009043,8041 1,8044 2,
3320001009575_150_00,8009043,8041 1,8302 9,
3320001009575_150_00,8009043,8041 1,8043 1,
3320001009575_150_00,8009043,8041 1,8047 2,
3320001009575_150_00,8009043,8041 1,8303 2,
3320001009575_150_00,8009043,8041 1,8048 2,
3320001009575_150_00,8009043,8041 1,8042 2,
3320001009575_150_00,8009043,8041 1,8301 9,
3320001009575_150_00,8009043,8041 1,8046 2,
3320001009575_150_00,8009043,8041 1,8050 9,
3320001009575_150_00,8009043,8041 1,8045 2,
3320001009575_150_00,8009043,8046 2,8304 9,
3320001009575_150_00,8009043,8046 2,8302 9,
3320001009575_150_00,8009043,8046 2,8047 2,
3320001009575_150_00,8009043,8046 2,8303 2,
3320001009575_150_00,8009043,8046 2,8048 2,
3320001009575_150_00,8009043,8046 2,8301 9,
3320001009575_150_00,8009043,8046 2,8050 9,
3320001009575_150_00,8009043,8050 9,8304 9,
3320001009575_150_00,8009043,8050 9,8302 9,
3320001009575_150_00,8009043,8050 9,8303 2,
3320001009575_150_00,8009043,8050 9,8048 2,
3320001009575_150_00,8009043,8050 9,8301 9,
3320001009575_150_00,8009043,8045 2,8304 9,
3320001009575_150_00,8009043,8045 2,8302 9,
3320001009575_150_00,8009043,8045 2,8047 2,
3320001009575_150_00,8009043,8045 2,8303 2,
3320001009575_150_00,8009043,8045 2,8048 2,
3320001009575_150_00,8009043,8045 2,8301 9,
3320001009575_150_00,8009043,8045 2,8046 2,
3320001009575_150_00,8009043,8045 2,8050 9,
3320001009575_150_00,8025051,8047 1,8385 2,
3320001009575_150_00,8025051,8047 1,8382 9,
3320001009575_150_00,8025051,8047 1,8381 9,
3320001009575_150_00,8025051,8047 1,8046 1,
3320001009575_150_00,8025051,8047 1,8042 2,
3320001009575_150_00,8025051,8047 1,8383 9,
3320001009575_150_00,8025051,8047 1,8044 1,
3320001009575_150_00,8025051,8047 1,8384 2,
3320001009575_150_00,8025051,8047 1,8043 2,
3320001009575_150_00,8025051,8047 1,8045 1,
3320001009575_150_00,8025051,8303 1,8385 2,
3320001009575_150_00,8025051,8303 1,8047 1,
3320001009575_150_00,8025051,8303 1,8048 1,
3320001009575_150_00,8025051,8303 1,8302 9,
3320001009575_150_00,8025051,8303 1,8382 9,
3320001009575_150_00,8025051,8303 1,8381 9,
3320001009575_150_00,8025051,8303 1,8046 1,
3320001009575_150_00,8025051,8303 1,8042 2,
3320001009575_150_00,8025051,8303 1,8301 9,
3320001009575_150_00,8025051,8303 1,8383 9,
3320001009575_150_00,8025051,8303 1,8044 1,
3320001009575_150_00,8025051,8303 1,8384 2,
3320001009575_150_00,8025051,8303 1,8043 2,
3320001009575_150_00,8025051,8303 1,8045 1,
3320001009575_150_00,8025051,8303 1,8050 9,
3320001009575_150_00,8025051,8304 9,8385 2,
3320001009575_150_00,8025051,8304 9,8047 1,
3320001009575_150_00,8025051,8304 9,8303 1,
3320001009575_150_00,8025051,8304 9,8048 1,
3320001009575_150_00,8025051,8304 9,8302 9,
3320001009575_150_00,8025051,8304 9,8382 9,
3320001009575_150_00,8025051,8304 9,8381 9,
3320001009575_150_00,8025051,8304 9,8046 1,
3320001009575_150_00,8025051,8304 9,8042 2,
3320001009575_150_00,8025051,8304 9,8301 9,
3320001009575_150_00,8025051,8304 9,8383 9,
3320001009575_150_00,8025051,8304 9,8044 1,
3320001009575_150_00,8025051,8304 9,8384 2,
3320001009575_150_00,8025051,8304 9,8043 2,
3320001009575_150_00,8025051,8304 9,8045 1,
3320001009575_150_00,8025051,8304 9,8050 9,
3320001009575_150_00,8025051,8048 1,8385 2,
3320001009575_150_00,8025051,8048 1,8047 1,
3320001009575_150_00,8025051,8048 1,8382 9,
3320001009575_150_00,8025051,8048 1,8381 9,
3320001009575_150_00,8025051,8048 1,8046 1,
3320001009575_150_00,8025051,8048 1,8042 2,
3320001009575_150_00,8025051,8048 1,8383 9,
3320001009575_150_00,8025051,8048 1,8044 1,
3320001009575_150_00,8025051,8048 1,8384 2,
3320001009575_150_00,8025051,8048 1,8043 2,
3320001009575_150_00,8025051,8048 1,8045 1,
3320001009575_150_00,8025051,8048 1,8050 9,
3320001009575_150_00,8025051,8302 9,8385 2,
3320001009575_150_00,8025051,8302 9,8047 1,
3320001009575_150_00,8025051,8302 9,8048 1,
3320001009575_150_00,8025051,8302 9,8382 9,
3320001009575_150_00,8025051,8302 9,8381 9,
3320001009575_150_00,8025051,8302 9,8046 1,
3320001009575_150_00,8025051,8302 9,8042 2,
3320001009575_150_00,8025051,8302 9,8301 9,
3320001009575_150_00,8025051,8302 9,8383 9,
3320001009575_150_00,8025051,8302 9,8044 1,
3320001009575_150_00,8025051,8302 9,8384 2,
3320001009575_150_00,8025051,8302 9,8043 2,
3320001009575_150_00,8025051,8302 9,8045 1,
3320001009575_150_00,8025051,8302 9,8050 9,
3320001009575_150_00,8025051,8382 9,8385 2,
3320001009575_150_00,8025051,8382 9,8383 9,
3320001009575_150_00,8025051,8382 9,8384 2,
3320001009575_150_00,8025051,8381 9,8385 2,
3320001009575_150_00,8025051,8381 9,8382 9,
3320001009575_150_00,8025051,8381 9,8383 9,
3320001009575_150_00,8025051,8381 9,8384 2,
3320001009575_150_00,8025051,8046 1,8385 2,
3320001009575_150_00,8025051,8046 1,8382 9,
3320001009575_150_00,8025051,8046 1,8381 9,
3320001009575_150_00,8025051,8046 1,8042 2,
3320001009575_150_00,8025051,8046 1,8383 9,
3320001009575_150_00,8025051,8046 1,8044 1,
3320001009575_150_00,8025051,8046 1,8384 2,
3320001009575_150_00,8025051,8046 1,8043 2,
3320001009575_150_00,8025051,8046 1,8045 1,
3320001009575_150_00,8025051,8042 2,8385 2,
3320001009575_150_00,8025051,8042 2,8382 9,
3320001009575_150_00,8025051,8042 2,8381 9,
3320001009575_150_00,8025051,8042 2,8383 9,
3320001009575_150_00,8025051,8042 2,8384 2,
3320001009575_150_00,8025051,8301 9,8385 2,
3320001009575_150_00,8025051,8301 9,8047 1,
3320001009575_150_00,8025051,8301 9,8048 1,
3320001009575_150_00,8025051,8301 9,8382 9,
3320001009575_150_00,8025051,8301 9,8381 9,
3320001009575_150_00,8025051,8301 9,8046 1,
3320001009575_150_00,8025051,8301 9,8042 2,
3320001009575_150_00,8025051,8301 9,8383 9,
3320001009575_150_00,8025051,8301 9,8044 1,
3320001009575_150_00,8025051,8301 9,8384 2,
3320001009575_150_00,8025051,8301 9,8043 2,
3320001009575_150_00,8025051,8301 9,8045 1,
3320001009575_150_00,8025051,8301 9,8050 9,
3320001009575_150_00,8025051,8383 9,8385 2,
3320001009575_150_00,8025051,8383 9,8384 2,
3320001009575_150_00,8025051,4101 1,8385 2,
3320001009575_150_00,8025051,4101 1,8047 1,
3320001009575_150_00,8025051,4101 1,8303 1,
3320001009575_150_00,8025051,4101 1,8304 9,
3320001009575_150_00,8025051,4101 1,8048 1,
3320001009575_150_00,8025051,4101 1,8302 9,
3320001009575_150_00,8025051,4101 1,8382 9,
3320001009575_150_00,8025051,4101 1,8381 9,
3320001009575_150_00,8025051,4101 1,8046 1,
3320001009575_150_00,8025051,4101 1,8042 2,
3320001009575_150_00,8025051,4101 1,8301 9,
3320001009575_150_00,8025051,4101 1,8383 9,
3320001009575_150_00,8025051,4101 1,8044 1,
3320001009575_150_00,8025051,4101 1,8384 2,
3320001009575_150_00,8025051,4101 1,8043 2,
3320001009575_150_00,8025051,4101 1,8045 1,
3320001009575_150_00,8025051,4101 1,8050 9,
3320001009575_150_00,8025051,8044 1,8385 2,
3320001009575_150_00,8025051,8044 1,8382 9,
3320001009575_150_00,8025051,8044 1,8381 9,
3320001009575_150_00,8025051,8044 1,8042 2,
3320001009575_150_00,8025051,8044 1,8383 9,
3320001009575_150_00,8025051,8044 1,8384 2,
3320001009575_150_00,8025051,8044 1,8043 2,
3320001009575_150_00,8025051,8384 2,8385 2,
3320001009575_150_00,8025051,8043 2,8385 2,
3320001009575_150_00,8025051,8043 2,8382 9,
3320001009575_150_00,8025051,8043 2,8381 9,
3320001009575_150_00,8025051,8043 2,8042 2,
3320001009575_150_00,8025051,8043 2,8383 9,
3320001009575_150_00,8025051,8043 2,8384 2,
3320001009575_150_00,8025051,8045 1,8385 2,
3320001009575_150_00,8025051,8045 1,8382 9,
3320001009575_150_00,8025051,8045 1,8381 9,
3320001009575_150_00,8025051,8045 1,8042 2,
3320001009575_150_00,8025051,8045 1,8383 9,
3320001009575_150_00,8025051,8045 1,8044 1,
3320001009575_150_00,8025051,8045 1,8384 2,
3320001009575_150_00,8025051,8045 1,8043 2,
