stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3007 1,,日当,,33.0520975,131.6890698,3007 1,,0,,,,
3007 2,,日当,,33.0519111,131.6888499,3007 2,,0,,,,
3008 1,,野津南,,33.0421572,131.6904962,3008 1,,0,,,,
3008 2,,野津南,,33.0424565,131.6904186,3008 2,,0,,,,
3009 1,,野津南保育園前,,33.0391946,131.6896624,3009 1,,0,,,,
3009 2,,野津南保育園前,,33.0391906,131.6897836,3009 2,,0,,,,
3010 1,,板屋,,33.0362719,131.6895008,3010 1,,0,,,,
3010 2,,板屋,,33.0363002,131.6893472,3010 2,,0,,,,
4101 1,,竹田玉来,,32.952594,131.3737655,4101 1,,0,,,,
4101 2,,竹田玉来,,32.9527414,131.3738084,4101 2,,0,,,,
5020 1,,障子岩,,33.0927214,131.7411902,5020 1,,0,,,,
5020 2,,障子岩,,33.09259691,131.7409929,5020 2,,0,,,,
5021 1,,籠の瀬,,33.0949515,131.7475455,5021 1,,0,,,,
5021 2,,籠の瀬,,33.0947988,131.7474515,5021 2,,0,,,,
5022 1,,竹場,,33.0938976,131.7576834,5022 1,,0,,,,
5022 2,,竹場,,33.09396371,131.7571249,5022 2,,0,,,,
5023 1,,深田,,33.09461373,131.7625244,5023 1,,0,,,,
5023 2,,深田,,33.09474707,131.7634743,5023 2,,0,,,,
5024 2,,臼杵石仏,,33.091864,131.7621745,5024 2,,0,,,,
5025 1,,望月,,33.09819681,131.7694903,5025 1,,0,,,,
5025 2,,望月,,33.0982378,131.7697536,5025 2,,0,,,,
5027 1,,粟手原,,33.10269633,131.7700067,5027 1,,0,,,,
5027 2,,粟手原,,33.102613,131.7702373,5027 2,,0,,,,
5028 1,,清太郎,,33.10681261,131.772723,5028 1,,0,,,,
5028 2,,清太郎,,33.1067397,131.7728362,5028 2,,0,,,,
5029 1,,白馬渓,,33.10876245,131.7758893,5029 1,,0,,,,
5029 2,,白馬渓,,33.108599,131.7759526,5029 2,,0,,,,
5030 1,,野田入口,,33.1100457,131.7795223,5030 1,,0,,,,
5030 2,,野田入口,,33.109862,131.7795696,5030 2,,0,,,,
5031 1,,手無地蔵,,33.1114151,131.7833074,5031 1,,0,,,,
5031 2,,手無地蔵,,33.11124565,131.7833886,5031 2,,0,,,,
5032 1,,温井入口,,33.112769,131.7871694,5032 1,,0,,,,
5032 2,,温井入口,,33.1127025,131.7872363,5032 2,,0,,,,
5033 1,,土橋,,33.1145894,131.7919974,5033 1,,0,,,,
5033 2,,土橋,,33.1141766,131.791308,5033 2,,0,,,,
5035 1,,平清水,,33.1173701,131.7950456,5035 1,,0,,,,
5035 2,,平清水,,33.1174546,131.795232,5035 2,,0,,,,
5036 1,,住吉橋,,33.1197972,131.7957766,5036 1,,0,,,,
5036 2,,住吉橋,,33.11949499,131.7957705,5036 2,,0,,,,
5037 1,,辻口,,33.12224477,131.8004866,5037 1,,0,,,,
5037 2,,辻口,,33.1220545,131.7995041,5037 2,,0,,,,
5039 1,,城北,,33.12292811,131.8045696,5039 1,,0,,,,
5039 2,,城北,,33.1225856,131.8033537,5039 2,,0,,,,
5044 1,,城南,,33.1215942,131.8059928,5044 1,,0,,,,
5044 2,,城南,,33.121375,131.8061577,5044 2,,0,,,,
5045 1,,臼杵駅,,33.11869527,131.8072862,5045 1,,0,,,,
5045 2,,臼杵駅,,33.1186766,131.8073016,5045 2,,0,,,,
5048 9,,臼杵港フェリーターミナル,,33.1227779,131.8165695,5048 9,,0,,,,
5101 9,,清流橋,,33.1203526,131.8082472,5101 9,,0,,,,
5102 9,,下り松,,33.1208288,131.8133063,5102 9,,0,,,,
5251 9,,木ケ畑橋,,33.091648,131.735901,5251 9,,0,,,,
5252 9,,勘場,,33.0901022,131.7318958,5252 9,,0,,,,
5253 9,,一ノ瀬,,33.0846921,131.7299937,5253 9,,0,,,,
5254 9,,生の原,,33.0698023,131.7140567,5254 9,,0,,,,
5255 9,,下り松,,33.0668577,131.7112225,5255 9,,0,,,,
5256 9,,池原,,33.064713,131.709473,5256 9,,0,,,,
5257 9,,野津筒井,,33.061317,131.7052822,5257 9,,0,,,,
5258 9,,赤迫,,33.0570835,131.700876,5258 9,,0,,,,
5259 9,,心行院前,,33.05595,131.696167,5259 9,,0,,,,
5260 9,,乙丸橋,,33.0555706,131.6927367,5260 9,,0,,,,
5261 9,,野津北町,,33.046734,131.691803,5261 9,,0,,,,
5262 9,,野津辻,,33.044468,131.693451,5262 9,,0,,,,
5263 2,,野津市,,33.0430392,131.6919021,5263 2,,0,,,,
5263 9,,野津市,,33.0430409,131.6918874,5263 9,,0,,,,
5301 9,,野口,,33.031445,131.688461,5301 9,,0,,,,
5302 9,,西ノ口,,33.0288553,131.6876441,5302 9,,0,,,,
5321 9,,前河内,,33.0231327,131.6871384,5321 9,,0,,,,
5322 9,,原口,,33.020248,131.681137,5322 9,,0,,,,
5323 9,,大久保,,33.018745,131.672836,5323 9,,0,,,,
5324 9,,川平,,33.015649,131.6660328,5324 9,,0,,,,
5325 9,,尾原入口,,33.0142255,131.6659021,5325 9,,0,,,,
5326 9,,栃原,,33.009113,131.66301,5326 9,,0,,,,
5327 9,,花香,,33.004814,131.65593,5327 9,,0,,,,
5328 9,,鼓石,,33.006817,131.647827,5328 9,,0,,,,
5330 9,,東光寺,,33.008808,131.641479,5330 9,,0,,,,
5331 9,,柳井瀬,,33.0099516,131.6367773,5331 9,,0,,,,
5361 1,,辻,,33.1201343,131.7998918,5361 1,,0,,,,
7001 2,,犬飼駅,,33.0784126,131.6368683,7001 2,,0,,,,
7001 9,,犬飼駅,,33.0784047,131.6369513,7001 9,,0,,,,
7002 9,,天神町,,33.0742975,131.6348919,7002 9,,0,,,,
7003 9,,犬飼,,33.0718177,131.6347113,7003 9,,0,,,,
7004 1,,小福手,,33.0686537,131.6348693,7004 1,,0,,,,
7004 2,,小福手,,33.0685874,131.6347613,7004 2,,0,,,,
7005 1,,トンネル口,,33.063145,131.636749,7005 1,,0,,,,
7005 2,,トンネル口,,33.0631619,131.636639,7005 2,,0,,,,
7006 1,,津留,,33.0589325,131.6370867,7006 1,,0,,,,
7006 2,,津留,,33.0589011,131.6369339,7006 2,,0,,,,
7007 9,,発電所入口,,33.054752,131.638748,7007 9,,0,,,,
7008 1,,高松,,33.0496631,131.6418871,7008 1,,0,,,,
7008 2,,高松,,33.0496316,131.6417261,7008 2,,0,,,,
7009 1,,山奥,,33.0455048,131.6414594,7009 1,,0,,,,
7009 2,,山奥,,33.0455706,131.6413353,7009 2,,0,,,,
7010 1,,戸ノ口,,33.0397366,131.6354888,7010 1,,0,,,,
7010 2,,戸ノ口,,33.039794,131.6353412,7010 2,,0,,,,
7011 1,,深野,,33.037399,131.629349,7011 1,,0,,,,
7011 2,,深野,,33.0374968,131.6293289,7011 2,,0,,,,
7012 1,,宮尾入口,,33.0263432,131.6206913,7012 1,,0,,,,
7012 2,,宮尾入口,,33.0263702,131.6205329,7012 2,,0,,,,
7013 1,,菅尾小学校入口,,33.0177322,131.6184646,7013 1,,0,,,,
7013 2,,菅尾小学校入口,,33.017658,131.618317,7013 2,,0,,,,
7014 1,,菅尾駅前,,33.0132814,131.6174648,7014 1,,0,,,,
7014 2,,菅尾駅前,,33.0133151,131.6173052,7014 2,,0,,,,
7016 9,,緑ヶ丘,,33.0118878,131.6208414,7016 9,,0,,,,
7017 1,,菅尾駅前,,33.0146314,131.6181948,7017 1,,0,,,,
7017 2,,菅尾駅前,,33.0145278,131.6179561,7017 2,,0,,,,
7018 1,,亀の甲,,33.010208,131.61644,7018 1,,0,,,,
7018 2,,亀の甲,,33.0101923,131.6162415,7018 2,,0,,,,
7019 1,,金田入口,,33.001408,131.6154649,7019 1,,0,,,,
7019 2,,金田入口,,33.0013855,131.6153308,7019 2,,0,,,,
7020 1,,三重の原,,32.9959697,131.6162145,7020 1,,0,,,,
7020 2,,三重の原,,32.9959876,131.6160173,7020 2,,0,,,,
7021 1,,東営住宅前,,32.9944571,131.6150119,7021 1,,0,,,,
7021 2,,東営住宅前,,32.9945363,131.61493,7021 2,,0,,,,
7022 1,,谷川原,,32.9924074,131.6126837,7022 1,,0,,,,
7022 2,,谷川原,,32.9925007,131.6125925,7022 2,,0,,,,
