trans_id,lang,translation
手無地蔵,ja,手無地蔵
手無地蔵,zh-cn,手无地藏
手無地蔵,zh-tw,手無地藏
手無地蔵,ko,손무지장
手無地蔵,ja-Hrkt,てなしじぞう
手無地蔵,en,tenashijizou
三重の原,ja,三重の原
三重の原,zh-cn,三重之原
三重の原,zh-tw,三重之原
三重の原,ko,미에노하라
三重の原,ja-Hrkt,みえのはる
三重の原,en,Mienoharu
原口,ja,原口
原口,zh-cn,原口
原口,zh-tw,原口
原口,ko,하라구치
原口,ja-Hrkt,はらぐち
原口,en,Haraguchi
深田,ja,深田
深田,zh-cn,深田
深田,zh-tw,深田
深田,ko,후카다
深田,ja-Hrkt,ふかた
深田,en,Fukata
塚山,ja,塚山
塚山,zh-cn,冢山
塚山,zh-tw,塚山
塚山,ko,츠카야마
塚山,ja-Hrkt,つかやま
塚山,en,Tsukayama
乙丸橋,ja,乙丸橋
乙丸橋,zh-cn,乙丸桥
乙丸橋,zh-tw,乙丸橋
乙丸橋,ko,을마루바시
乙丸橋,ja-Hrkt,おとまるばし
乙丸橋,en,Otomarubashi
野田入口,ja,野田入口
野田入口,zh-cn,野田入口
野田入口,zh-tw,野田入口
野田入口,ko,노다 입구
野田入口,ja-Hrkt,のだいりぐち
野田入口,en,Nodaiguchi
三重中学校,ja,三重中学校
三重中学校,zh-cn,三重中学
三重中学校,zh-tw,三重中學
三重中学校,ko,미에 중학교
三重中学校,ja-Hrkt,みえちゅうがっこう
三重中学校,en,Miechugakkou
真竹,ja,真竹
真竹,zh-cn,真竹
真竹,zh-tw,真竹
真竹,ko,마타케
真竹,ja-Hrkt,またけ
真竹,en,Matake
栗ヶ畑入口,ja,栗ヶ畑入口
栗ヶ畑入口,zh-cn,栗旗入口
栗ヶ畑入口,zh-tw,栗畑入口
栗ヶ畑入口,ko,쿠리가하타 입구
栗ヶ畑入口,ja-Hrkt,くりがばたいりぐち
栗ヶ畑入口,en,Kurigabatariguchi
今市,ja,今市
今市,zh-cn,今市
今市,zh-tw,今市
今市,ko,이마이치
今市,ja-Hrkt,いまいち
今市,en,Imaichi
山田,ja,山田
山田,zh-cn,山田
山田,zh-tw,山田
山田,ko,야마다
山田,ja-Hrkt,やまだ
山田,en,Yamada
土橋,ja,土橋
土橋,zh-cn,土桥
土橋,zh-tw,土橋
土橋,ko,도교
土橋,ja-Hrkt,どばし
土橋,en,Dobashi
十一,ja,十一
十一,zh-cn,十一
十一,zh-tw,十一
十一,ko,십일
十一,ja-Hrkt,じゅういち
十一,en,Juichi
監督署前,ja,監督署前
監督署前,zh-cn,监察室前
監督署前,zh-tw,監察室前
監督署前,ko,감독서 앞
監督署前,ja-Hrkt,かんとくしょまえ
監督署前,en,Kantokusho Mae
緑豊小学校入口,ja,緑豊小学校入口
緑豊小学校入口,zh-cn,绿峰小学入口
緑豊小学校入口,zh-tw,綠峰小學入口
緑豊小学校入口,ko,미도리 초등학교 입구
緑豊小学校入口,ja-Hrkt,りょくほうしょうがっこういりぐち
緑豊小学校入口,en,Ryokuhoushogakkou iriguchi
野尻,ja,野尻
野尻,zh-cn,野尻
野尻,zh-tw,野尻
野尻,ko,노지리
野尻,ja-Hrkt,のじり
野尻,en,Nojiri
田中,ja,田中
田中,zh-cn,田中
田中,zh-tw,田中
田中,ko,다나카
田中,ja-Hrkt,たなか
田中,en,Tanaka
薮園,ja,薮園
薮園,zh-cn,丛林花园
薮園,zh-tw,叢林花園
薮園,ko,수원
薮園,ja-Hrkt,やぶぞの
薮園,en,Yabuzono
都野局前,ja,都野局前
都野局前,zh-cn,都野站前
都野局前,zh-tw,都野站前
都野局前,ko,도노국 앞
都野局前,ja-Hrkt,みやこのきょくまえ
都野局前,en,Miyakonokyoku mae
池原,ja,池原
池原,zh-cn,池原
池原,zh-tw,池原
池原,ko,이케하라
池原,ja-Hrkt,いけばる
池原,en,Ikebaru
金田入口,ja,金田入口
金田入口,zh-cn,金田入口
金田入口,zh-tw,金田入口
金田入口,ko,가네다 입구
金田入口,ja-Hrkt,きんだいりぐち
金田入口,en,Kindai iriguchi
中鹿口,ja,中鹿口
中鹿口,zh-cn,中鹿口
中鹿口,zh-tw,中鹿口
中鹿口,ko,나카가구치
中鹿口,ja-Hrkt,なかかぐち
中鹿口,en,Nakakaguchi
平井,ja,平井
平井,zh-cn,平井
平井,zh-tw,平井
平井,ko,히라이
平井,ja-Hrkt,ひらい
平井,en,Hirai
菅尾小学校入口,ja,菅尾小学校入口
菅尾小学校入口,zh-cn,菅尾小入口
菅尾小学校入口,zh-tw,菅尾小入口
菅尾小学校入口,ko,스가오 초등학교 입구
菅尾小学校入口,ja-Hrkt,すがおしょうがっこういりぐち
菅尾小学校入口,en,Sugaoshogakkou iriguchi
大久保,ja,大久保
大久保,zh-cn,大久保
大久保,zh-tw,大久保
大久保,ko,오쿠보
大久保,ja-Hrkt,おおくぼ
大久保,en,Okubo
今川,ja,今川
今川,zh-cn,今川
今川,zh-tw,今川
今川,ko,이마가와
今川,ja-Hrkt,いまがわ
今川,en,Imagawa
踏切下,ja,踏切下
踏切下,zh-cn,踏切下
踏切下,zh-tw,踏切下
踏切下,ko,건널목 아래
踏切下,ja-Hrkt,ふみきりした
踏切下,en,Fumikirishita
松本,ja,松本
松本,zh-cn,松本
松本,zh-tw,松本
松本,ko,마츠모토
松本,ja-Hrkt,まつもと
松本,en,Matsumoto
菅生小学校前,ja,菅生小学校前
菅生小学校前,zh-cn,须乡小学前
菅生小学校前,zh-tw,須鄉小學前
菅生小学校前,ko,스가 초등학교 앞
菅生小学校前,ja-Hrkt,すごうしょうがっこうまえ
菅生小学校前,en,Sugoushogakkou mae
法泉庵,ja,法泉庵
法泉庵,zh-cn,法泉庵
法泉庵,zh-tw,法泉庵
法泉庵,ko,호센안
法泉庵,ja-Hrkt,ほうせんあん
法泉庵,en,Hosenan
直入支所前,ja,直入支所前
直入支所前,zh-cn,直入公司前
直入支所前,zh-tw,直入公司前
直入支所前,ko,직입지소 앞
直入支所前,ja-Hrkt,なおいりししょまえ
直入支所前,en,Naoirishisho mae
高松,ja,高松
高松,zh-cn,高松
高松,zh-tw,高松
高松,ko,다카마쓰
高松,ja-Hrkt,たかまつ
高松,en,Takamatsu
臼杵駅,ja,臼杵駅
臼杵駅,zh-cn,臼杵站
臼杵駅,zh-tw,臼杵站
臼杵駅,ko,우스키역
臼杵駅,ja-Hrkt,うすきえき
臼杵駅,en,Usuki station
山奥,ja,山奥
山奥,zh-cn,山深处
山奥,zh-tw,山深處
山奥,ko,산 안쪽
山奥,ja-Hrkt,やまおく
山奥,en,Yamaoku
大恩寺前,ja,大恩寺前
大恩寺前,zh-cn,大恩寺前
大恩寺前,zh-tw,大恩寺前
大恩寺前,ko,다이온지마에
大恩寺前,ja-Hrkt,だいおんじまえ
大恩寺前,en,Daionji mae
下津留,ja,下津留
下津留,zh-cn,下津留
下津留,zh-tw,下津留
下津留,ko,시모쓰루
下津留,ja-Hrkt,しもづる
下津留,en,Shimozuru
釘戸,ja,釘戸
釘戸,zh-cn,钉户
釘戸,zh-tw,釘戶
釘戸,ko,쿠시도
釘戸,ja-Hrkt,くぎと
釘戸,en,Kugito
柴北,ja,柴北
柴北,zh-cn,柴北
柴北,zh-tw,柴北
柴北,ko,시바키타
柴北,ja-Hrkt,しばきた
柴北,en,Shibakita
野口,ja,野口
野口,zh-cn,野口
野口,zh-tw,野口
野口,ko,노구치
野口,ja-Hrkt,のぐち
野口,en,Noguchi
須崎,ja,須崎
須崎,zh-cn,须崎
